{'gen': 0, 'nevals': 200, 'min': 14658.364506929856, 'avg': 23644.27201482203}
{'gen': 1, 'nevals': 158, 'min': 14418.501355458802, 'avg': 21335.01026111652}
{'gen': 2, 'nevals': 170, 'min': 14163.725270211593, 'avg': 20599.32167566394}
{'gen': 3, 'nevals': 164, 'min': 14021.81260635364, 'avg': 19840.949967668494}
{'gen': 4, 'nevals': 153, 'min': 12609.76865662884, 'avg': 18918.659614016968}
{'gen': 5, 'nevals': 154, 'min': 12609.76865662884, 'avg': 18340.60608466043}
{'gen': 6, 'nevals': 170, 'min': 11707.708218422504, 'avg': 18288.73194810529}
{'gen': 7, 'nevals': 160, 'min': 11697.670488551947, 'avg': 18089.025085317622}
{'gen': 8, 'nevals': 160, 'min': 11672.159333888818, 'avg': 17157.017090985904}
{'gen': 9, 'nevals': 166, 'min': 11672.159333888818, 'avg': 16701.633225111782}
{'gen': 10, 'nevals': 166, 'min': 11602.409876659116, 'avg': 16157.077364366101}
{'gen': 11, 'nevals': 162, 'min': 11602.409876659116, 'avg': 15761.176449402072}
{'gen': 12, 'nevals': 164, 'min': 11152.03492506836, 'avg': 15304.020541831454}
{'gen': 13, 'nevals': 162, 'min': 11097.357618147891, 'avg': 14859.191292614802}
{'gen': 14, 'nevals': 153, 'min': 10887.314184788349, 'avg': 14381.333932884254}
{'gen': 15, 'nevals': 154, 'min': 10887.314184788349, 'avg': 13862.737975965547}
{'gen': 16, 'nevals': 164, 'min': 10809.261492060885, 'avg': 13555.353480008449}
{'gen': 17, 'nevals': 163, 'min': 10809.261492060885, 'avg': 13184.49177371466}
{'gen': 18, 'nevals': 163, 'min': 10207.571240802245, 'avg': 12655.365771379282}
{'gen': 19, 'nevals': 156, 'min': 10020.947753224349, 'avg': 12525.597737674712}
{'gen': 20, 'nevals': 163, 'min': 10020.947753224349, 'avg': 12102.07722946568}
{'gen': 21, 'nevals': 160, 'min': 10020.947753224349, 'avg': 11736.78960932274}
{'gen': 22, 'nevals': 158, 'min': 9934.021464364929, 'avg': 11573.52187018108}
{'gen': 23, 'nevals': 168, 'min': 9934.021464364929, 'avg': 11366.782448099424}
{'gen': 24, 'nevals': 157, 'min': 9517.535787633053, 'avg': 11084.559320627619}
{'gen': 25, 'nevals': 174, 'min': 9517.535787633053, 'avg': 10903.81864366103}
{'gen': 26, 'nevals': 164, 'min': 9517.535787633053, 'avg': 10698.44275480865}
{'gen': 27, 'nevals': 171, 'min': 9517.535787633053, 'avg': 10575.208775862271}
{'gen': 28, 'nevals': 170, 'min': 9101.234511976154, 'avg': 10407.022517984768}
{'gen': 29, 'nevals': 162, 'min': 9101.234511976154, 'avg': 10226.55204457171}
{'gen': 30, 'nevals': 162, 'min': 8964.938083111336, 'avg': 10064.685069122532}
{'gen': 31, 'nevals': 166, 'min': 8943.15179965028, 'avg': 9907.021124209314}
{'gen': 32, 'nevals': 170, 'min': 8943.15179965028, 'avg': 9715.056789205619}
{'gen': 33, 'nevals': 160, 'min': 8877.930994824612, 'avg': 9578.580771261926}
{'gen': 34, 'nevals': 162, 'min': 8767.564856649962, 'avg': 9460.301317904967}
{'gen': 35, 'nevals': 166, 'min': 8722.489361702128, 'avg': 9328.676561828872}
{'gen': 36, 'nevals': 160, 'min': 8383.723462933189, 'avg': 9215.640892607762}
{'gen': 37, 'nevals': 162, 'min': 8383.723462933189, 'avg': 9123.816723545082}
{'gen': 38, 'nevals': 162, 'min': 8383.723462933189, 'avg': 9000.966044583447}
{'gen': 39, 'nevals': 148, 'min': 8383.723462933189, 'avg': 8930.534601577261}
{'gen': 40, 'nevals': 154, 'min': 8383.723462933189, 'avg': 8871.1796539766}
{'gen': 41, 'nevals': 158, 'min': 8383.723462933189, 'avg': 8776.044922955956}
{'gen': 42, 'nevals': 152, 'min': 8280.763786365611, 'avg': 8703.062108882656}
{'gen': 43, 'nevals': 169, 'min': 8280.763786365611, 'avg': 8629.988754796916}
{'gen': 44, 'nevals': 166, 'min': 8203.411120629966, 'avg': 8582.24544771215}
{'gen': 45, 'nevals': 153, 'min': 8155.036556313152, 'avg': 8540.318468038166}
{'gen': 46, 'nevals': 154, 'min': 8155.036556313152, 'avg': 8501.615726608066}
{'gen': 47, 'nevals': 168, 'min': 8155.036556313152, 'avg': 8436.173200291043}
{'gen': 48, 'nevals': 154, 'min': 8155.036556313152, 'avg': 8405.3312706106}
{'gen': 49, 'nevals': 169, 'min': 8087.411496168335, 'avg': 8367.700428348453}
{'gen': 50, 'nevals': 166, 'min': 8079.461454507047, 'avg': 8328.761465949232}
{'gen': 51, 'nevals': 156, 'min': 8046.395770499114, 'avg': 8282.137505016957}
{'gen': 52, 'nevals': 152, 'min': 7914.3575477344475, 'avg': 8237.064702385842}
{'gen': 53, 'nevals': 156, 'min': 7901.733872387368, 'avg': 8196.900345143233}
{'gen': 54, 'nevals': 174, 'min': 7901.733872387368, 'avg': 8155.601773245238}
{'gen': 55, 'nevals': 176, 'min': 7901.733872387368, 'avg': 8136.131410381288}
{'gen': 56, 'nevals': 150, 'min': 7820.972139747216, 'avg': 8094.466631831571}
{'gen': 57, 'nevals': 170, 'min': 7820.972139747216, 'avg': 8050.496853281853}
{'gen': 58, 'nevals': 168, 'min': 7795.613488868808, 'avg': 7994.436148267242}
{'gen': 59, 'nevals': 162, 'min': 7748.8594078229335, 'avg': 7952.68839844621}
{'gen': 60, 'nevals': 174, 'min': 7694.781377991105, 'avg': 7906.485698149299}
{'gen': 61, 'nevals': 166, 'min': 7674.736149088732, 'avg': 7865.5238803088805}
{'gen': 62, 'nevals': 162, 'min': 7672.595110959853, 'avg': 7830.83943880485}
{'gen': 63, 'nevals': 170, 'min': 7653.7489173932945, 'avg': 7793.193139618124}
{'gen': 64, 'nevals': 160, 'min': 7647.9869852483835, 'avg': 7769.432556418772}
{'gen': 65, 'nevals': 163, 'min': 7637.291488188144, 'avg': 7737.934164485806}
{'gen': 66, 'nevals': 168, 'min': 7586.691201840138, 'avg': 7714.802820175799}
{'gen': 67, 'nevals': 164, 'min': 7586.437173604347, 'avg': 7692.882399514147}
{'gen': 68, 'nevals': 166, 'min': 7575.03794111089, 'avg': 7668.640950640176}
{'gen': 69, 'nevals': 166, 'min': 7566.008813416108, 'avg': 7647.822283860066}
{'gen': 70, 'nevals': 166, 'min': 7534.793242656465, 'avg': 7622.322986234171}
{'gen': 71, 'nevals': 160, 'min': 7519.606130663881, 'avg': 7603.634986386734}
{'gen': 72, 'nevals': 156, 'min': 7515.601647674596, 'avg': 7584.120896597858}
{'gen': 73, 'nevals': 160, 'min': 7491.885378648297, 'avg': 7563.6984785415025}
{'gen': 74, 'nevals': 164, 'min': 7483.661956789616, 'avg': 7544.862287556771}
{'gen': 75, 'nevals': 166, 'min': 7456.738061987302, 'avg': 7533.380558848036}
{'gen': 76, 'nevals': 158, 'min': 7413.541714097945, 'avg': 7514.84260441727}
{'gen': 77, 'nevals': 164, 'min': 7413.541714097945, 'avg': 7501.169046132542}
{'gen': 78, 'nevals': 166, 'min': 7394.885848071259, 'avg': 7482.680180551807}
{'gen': 79, 'nevals': 166, 'min': 7394.885848071259, 'avg': 7469.470289399256}
{'gen': 80, 'nevals': 156, 'min': 7385.030195632019, 'avg': 7453.031519580804}
{'gen': 81, 'nevals': 160, 'min': 7359.774723920621, 'avg': 7440.749776613349}
{'gen': 82, 'nevals': 166, 'min': 7359.774723920621, 'avg': 7424.921784570067}
{'gen': 83, 'nevals': 168, 'min': 7352.672319301499, 'avg': 7412.833720705073}
{'gen': 84, 'nevals': 160, 'min': 7347.895588597717, 'avg': 7397.573821454977}
{'gen': 85, 'nevals': 152, 'min': 7342.710366032555, 'avg': 7384.89037219373}
{'gen': 86, 'nevals': 162, 'min': 7323.217072913121, 'avg': 7375.070907922685}
{'gen': 87, 'nevals': 162, 'min': 7323.217072913121, 'avg': 7363.762899214891}
{'gen': 88, 'nevals': 160, 'min': 7289.085493656922, 'avg': 7352.147619380126}
{'gen': 89, 'nevals': 166, 'min': 7265.656593632278, 'avg': 7340.536043996666}
{'gen': 90, 'nevals': 152, 'min': 7265.656593632278, 'avg': 7332.0117806973285}
{'gen': 91, 'nevals': 172, 'min': 7265.656593632278, 'avg': 7322.716540059382}
{'gen': 92, 'nevals': 161, 'min': 7265.656593632278, 'avg': 7313.4738176995925}
{'gen': 93, 'nevals': 160, 'min': 7265.656593632278, 'avg': 7303.620989426248}
{'gen': 94, 'nevals': 160, 'min': 7257.558096959313, 'avg': 7295.795780180964}
{'gen': 95, 'nevals': 172, 'min': 7246.957587635399, 'avg': 7288.585849655562}
{'gen': 96, 'nevals': 162, 'min': 7240.968443041392, 'avg': 7279.488086866718}
{'gen': 97, 'nevals': 165, 'min': 7232.44040088721, 'avg': 7271.10275539543}
{'gen': 98, 'nevals': 158, 'min': 7226.675875180435, 'avg': 7265.172808792292}
{'gen': 99, 'nevals': 168, 'min': 7218.00498761897, 'avg': 7258.430686531081}
{'gen': 100, 'nevals': 162, 'min': 7218.00498761897, 'avg': 7253.164579573061}
{'gen': 101, 'nevals': 156, 'min': 7213.2883665254485, 'avg': 7245.513225815916}
{'gen': 102, 'nevals': 173, 'min': 7213.2883665254485, 'avg': 7238.052373050428}
{'gen': 103, 'nevals': 158, 'min': 7209.485911443358, 'avg': 7231.065440025348}
{'gen': 104, 'nevals': 162, 'min': 7201.089260776191, 'avg': 7226.582977491169}
{'gen': 105, 'nevals': 157, 'min': 7201.089260776191, 'avg': 7223.3921773010525}
{'gen': 106, 'nevals': 168, 'min': 7201.089260776191, 'avg': 7218.430265517363}
{'gen': 107, 'nevals': 174, 'min': 7196.559176632125, 'avg': 7214.269159850254}
{'gen': 108, 'nevals': 164, 'min': 7193.207391064534, 'avg': 7210.370020889322}
{'gen': 109, 'nevals': 172, 'min': 7185.711210993886, 'avg': 7206.7527553954305}
{'gen': 110, 'nevals': 160, 'min': 7185.711210993886, 'avg': 7203.5587803804665}
{'gen': 111, 'nevals': 162, 'min': 7181.876635645633, 'avg': 7200.200320498527}
{'gen': 112, 'nevals': 162, 'min': 7180.168534578869, 'avg': 7197.696871706704}
{'gen': 113, 'nevals': 158, 'min': 7180.168534578869, 'avg': 7194.11730275434}
{'gen': 114, 'nevals': 166, 'min': 7177.924282076257, 'avg': 7192.167250765747}
{'gen': 115, 'nevals': 164, 'min': 7175.900810928167, 'avg': 7188.259893969089}
{'gen': 116, 'nevals': 168, 'min': 7171.334569480466, 'avg': 7185.425578211734}
{'gen': 117, 'nevals': 170, 'min': 7170.381230122872, 'avg': 7182.310346551502}
{'gen': 118, 'nevals': 163, 'min': 7168.542500381406, 'avg': 7180.23666821185}
{'gen': 119, 'nevals': 158, 'min': 7164.630998345284, 'avg': 7177.704180035442}
{'gen': 120, 'nevals': 158, 'min': 7161.377545152621, 'avg': 7174.734097123611}
{'gen': 121, 'nevals': 170, 'min': 7160.211416366432, 'avg': 7171.602977667203}
{'gen': 122, 'nevals': 170, 'min': 7153.373637206464, 'avg': 7168.653155167759}
{'gen': 123, 'nevals': 162, 'min': 7153.225545997582, 'avg': 7166.056258640316}
{'gen': 124, 'nevals': 158, 'min': 7151.190022414947, 'avg': 7163.333332726995}
{'gen': 125, 'nevals': 159, 'min': 7149.890706598913, 'avg': 7160.765076809333}
{'gen': 126, 'nevals': 154, 'min': 7148.745021182711, 'avg': 7158.310683186443}
{'gen': 127, 'nevals': 162, 'min': 7146.892971564704, 'avg': 7156.517377627302}
{'gen': 128, 'nevals': 160, 'min': 7145.381570454519, 'avg': 7154.839416037835}
{'gen': 129, 'nevals': 164, 'min': 7142.492941052212, 'avg': 7152.86487683515}
{'gen': 130, 'nevals': 158, 'min': 7142.492941052212, 'avg': 7150.929177160226}
{'gen': 131, 'nevals': 152, 'min': 7137.637640680194, 'avg': 7148.3401465773195}
{'gen': 132, 'nevals': 154, 'min': 7137.637640680194, 'avg': 7146.230856579549}
{'gen': 133, 'nevals': 162, 'min': 7136.467169731607, 'avg': 7144.3066056612415}
