{'gen': 0, 'nevals': 200, 'min': 36068.05921395107, 'avg': 45831.3305744404}
{'gen': 1, 'nevals': 174, 'min': 36068.05921395107, 'avg': 44978.12969013534}
{'gen': 2, 'nevals': 164, 'min': 32551.600364393544, 'avg': 44455.10580609057}
{'gen': 3, 'nevals': 165, 'min': 32551.600364393544, 'avg': 43722.17423672566}
{'gen': 4, 'nevals': 154, 'min': 32551.600364393544, 'avg': 43194.40782847475}
{'gen': 5, 'nevals': 168, 'min': 32551.600364393544, 'avg': 42280.41087024987}
{'gen': 6, 'nevals': 170, 'min': 32551.600364393544, 'avg': 42042.66663001041}
{'gen': 7, 'nevals': 151, 'min': 32551.600364393544, 'avg': 41179.20988040083}
{'gen': 8, 'nevals': 158, 'min': 32110.088547631443, 'avg': 40977.49231585112}
{'gen': 9, 'nevals': 166, 'min': 31878.391020301926, 'avg': 40592.3476238938}
{'gen': 10, 'nevals': 160, 'min': 31373.406663196252, 'avg': 40107.33831884435}
{'gen': 11, 'nevals': 164, 'min': 31373.406663196252, 'avg': 39726.254105153566}
{'gen': 12, 'nevals': 162, 'min': 30823.50359187923, 'avg': 39142.667076132224}
{'gen': 13, 'nevals': 166, 'min': 30823.50359187923, 'avg': 38968.02718532015}
{'gen': 14, 'nevals': 166, 'min': 30103.602264445602, 'avg': 37950.86064992191}
{'gen': 15, 'nevals': 174, 'min': 28445.625273295158, 'avg': 37175.53656285789}
{'gen': 16, 'nevals': 152, 'min': 28408.95434669443, 'avg': 36395.38147709526}
{'gen': 17, 'nevals': 159, 'min': 28408.95434669443, 'avg': 35422.28576847995}
{'gen': 18, 'nevals': 163, 'min': 26980.575091098388, 'avg': 34483.19478513795}
{'gen': 19, 'nevals': 162, 'min': 26980.575091098388, 'avg': 33224.61563365435}
{'gen': 20, 'nevals': 160, 'min': 26480.448516397708, 'avg': 31641.31143571057}
{'gen': 21, 'nevals': 156, 'min': 26480.448516397708, 'avg': 30152.39903748048}
{'gen': 22, 'nevals': 162, 'min': 26480.448516397708, 'avg': 29220.959988807914}
{'gen': 23, 'nevals': 163, 'min': 26208.400598646538, 'avg': 28386.84030947423}
{'gen': 24, 'nevals': 168, 'min': 25945.157444039563, 'avg': 28026.37475130141}
{'gen': 25, 'nevals': 156, 'min': 25945.157444039563, 'avg': 27553.15887519521}
{'gen': 26, 'nevals': 170, 'min': 25912.79213951067, 'avg': 27206.498114003123}
{'gen': 27, 'nevals': 168, 'min': 25394.119390942218, 'avg': 26929.605763014053}
{'gen': 28, 'nevals': 162, 'min': 24934.774180114524, 'avg': 26853.52430882353}
{'gen': 29, 'nevals': 162, 'min': 24776.40645497137, 'avg': 26445.07204711088}
{'gen': 30, 'nevals': 166, 'min': 24776.40645497137, 'avg': 26258.410888079125}
{'gen': 31, 'nevals': 160, 'min': 24425.286413326394, 'avg': 26065.323884435187}
{'gen': 32, 'nevals': 162, 'min': 24395.857600208226, 'avg': 26036.474134955755}
{'gen': 33, 'nevals': 160, 'min': 24395.857600208226, 'avg': 25822.272437792817}
{'gen': 34, 'nevals': 166, 'min': 24183.996069755336, 'avg': 25880.107591228527}
{'gen': 35, 'nevals': 162, 'min': 23643.588105153565, 'avg': 25567.396566501822}
{'gen': 36, 'nevals': 168, 'min': 23398.582404997396, 'avg': 25221.041679984388}
{'gen': 37, 'nevals': 172, 'min': 23339.523373243104, 'avg': 24702.04230361791}
{'gen': 38, 'nevals': 158, 'min': 23015.358381051537, 'avg': 24441.22535072879}
{'gen': 39, 'nevals': 166, 'min': 22832.02623633524, 'avg': 24112.008336153045}
{'gen': 40, 'nevals': 174, 'min': 22637.640786048934, 'avg': 23865.735248308174}
{'gen': 41, 'nevals': 160, 'min': 22637.640786048934, 'avg': 23628.127183237895}
{'gen': 42, 'nevals': 160, 'min': 22460.178500780843, 'avg': 23384.80181103592}
{'gen': 43, 'nevals': 167, 'min': 22330.83045288912, 'avg': 23193.911503774078}
{'gen': 44, 'nevals': 168, 'min': 22325.652368558043, 'avg': 22952.93731246746}
{'gen': 45, 'nevals': 152, 'min': 22095.660463300363, 'avg': 22786.963784357104}
{'gen': 46, 'nevals': 173, 'min': 21797.346121811555, 'avg': 22644.686938703795}
{'gen': 47, 'nevals': 174, 'min': 21619.10007808433, 'avg': 22461.545755986463}
{'gen': 48, 'nevals': 162, 'min': 21619.10007808433, 'avg': 22318.207825351376}
{'gen': 49, 'nevals': 162, 'min': 21545.30137948985, 'avg': 22127.15956389901}
{'gen': 50, 'nevals': 164, 'min': 21473.85346173868, 'avg': 22033.476282144715}
{'gen': 51, 'nevals': 156, 'min': 21309.580036439354, 'avg': 21919.03349856845}
{'gen': 52, 'nevals': 168, 'min': 20973.037142113484, 'avg': 21833.160368948465}
{'gen': 53, 'nevals': 176, 'min': 20826.832404997396, 'avg': 21672.8634062988}
{'gen': 54, 'nevals': 160, 'min': 20826.832404997396, 'avg': 21607.380448984903}
{'gen': 55, 'nevals': 162, 'min': 20765.88276939094, 'avg': 21453.217326392503}
{'gen': 56, 'nevals': 156, 'min': 20654.959578344613, 'avg': 21306.895916319623}
{'gen': 57, 'nevals': 164, 'min': 20509.814055179595, 'avg': 21178.380179984382}
{'gen': 58, 'nevals': 158, 'min': 20509.814055179595, 'avg': 21003.157562597607}
{'gen': 59, 'nevals': 162, 'min': 20456.442972410205, 'avg': 20881.223009890684}
{'gen': 60, 'nevals': 168, 'min': 20276.569833420093, 'avg': 20770.686692217594}
{'gen': 61, 'nevals': 166, 'min': 20272.93815720979, 'avg': 20659.488058953673}
{'gen': 62, 'nevals': 150, 'min': 20105.888703800105, 'avg': 20557.455347865693}
{'gen': 63, 'nevals': 170, 'min': 19992.152811035918, 'avg': 20499.362524466425}
{'gen': 64, 'nevals': 162, 'min': 19986.346746486204, 'avg': 20387.806716033316}
{'gen': 65, 'nevals': 166, 'min': 19924.03695991671, 'avg': 20281.59230192608}
{'gen': 66, 'nevals': 165, 'min': 19814.200832899533, 'avg': 20218.704752732952}
{'gen': 67, 'nevals': 160, 'min': 19802.65364393545, 'avg': 20138.061456793333}
{'gen': 68, 'nevals': 160, 'min': 19738.146798542424, 'avg': 20050.64000052056}
{'gen': 69, 'nevals': 152, 'min': 19637.021577303487, 'avg': 19946.5708815721}
{'gen': 70, 'nevals': 170, 'min': 19602.70434669443, 'avg': 19875.671918141594}
{'gen': 71, 'nevals': 164, 'min': 19581.76590317543, 'avg': 19818.41038053097}
{'gen': 72, 'nevals': 164, 'min': 19484.99047371161, 'avg': 19761.59427837064}
{'gen': 73, 'nevals': 178, 'min': 19468.36087975013, 'avg': 19714.20758992712}
{'gen': 74, 'nevals': 166, 'min': 19433.958433107757, 'avg': 19646.991989718896}
