{'gen': 0, 'nevals': 200, 'min': 35229.341853201455, 'avg': 48892.60918219677}
{'gen': 1, 'nevals': 168, 'min': 35229.341853201455, 'avg': 46483.638114263405}
{'gen': 2, 'nevals': 164, 'min': 33939.8628058303, 'avg': 43935.84285007809}
{'gen': 3, 'nevals': 156, 'min': 31142.11298802707, 'avg': 42093.66987792816}
{'gen': 4, 'nevals': 166, 'min': 31142.11298802707, 'avg': 40889.52959344091}
{'gen': 5, 'nevals': 158, 'min': 31040.694403956273, 'avg': 39648.71394130661}
{'gen': 6, 'nevals': 160, 'min': 31040.694403956273, 'avg': 38094.296381962515}
{'gen': 7, 'nevals': 172, 'min': 30244.476652785008, 'avg': 37408.09646902655}
{'gen': 8, 'nevals': 168, 'min': 30244.476652785008, 'avg': 36890.104439614784}
{'gen': 9, 'nevals': 158, 'min': 29064.414705882355, 'avg': 36088.794550754814}
{'gen': 10, 'nevals': 160, 'min': 29064.414705882355, 'avg': 35499.515670744404}
{'gen': 11, 'nevals': 157, 'min': 29064.414705882355, 'avg': 34975.447467595004}
{'gen': 12, 'nevals': 162, 'min': 29057.446824570536, 'avg': 34337.16457847475}
{'gen': 13, 'nevals': 158, 'min': 28584.823477355545, 'avg': 33705.089107626234}
{'gen': 14, 'nevals': 162, 'min': 28238.75671525247, 'avg': 33267.86476119209}
{'gen': 15, 'nevals': 164, 'min': 26011.833420093702, 'avg': 32640.21954151483}
{'gen': 16, 'nevals': 166, 'min': 26011.833420093702, 'avg': 32064.59692738157}
{'gen': 17, 'nevals': 168, 'min': 24617.099557522124, 'avg': 31379.608525247266}
{'gen': 18, 'nevals': 170, 'min': 24617.099557522124, 'avg': 30903.412245835505}
{'gen': 19, 'nevals': 164, 'min': 24466.59273815721, 'avg': 30652.264172696512}
{'gen': 20, 'nevals': 162, 'min': 24390.074830817284, 'avg': 29495.606556741277}
{'gen': 21, 'nevals': 156, 'min': 23915.741749089015, 'avg': 28893.019038261325}
{'gen': 22, 'nevals': 164, 'min': 23887.954997397188, 'avg': 28628.189629359706}
{'gen': 23, 'nevals': 158, 'min': 23887.954997397188, 'avg': 27600.970935059864}
{'gen': 24, 'nevals': 160, 'min': 23691.781650182198, 'avg': 27104.634056090577}
{'gen': 25, 'nevals': 154, 'min': 23258.703097345133, 'avg': 26678.836344091622}
{'gen': 26, 'nevals': 158, 'min': 22370.64718896408, 'avg': 26275.95357457054}
{'gen': 27, 'nevals': 167, 'min': 22158.21173867777, 'avg': 25974.034506376887}
{'gen': 28, 'nevals': 160, 'min': 21819.04435190005, 'avg': 25470.186310775633}
