{'gen': 0, 'nevals': 250, 'min': 23796.770015948965, 'avg': 27807.067900350878}
{'gen': 1, 'nevals': 200, 'min': 23063.566475279105, 'avg': 27389.971349665077}
{'gen': 2, 'nevals': 212, 'min': 22796.217033492823, 'avg': 27263.11906232855}
{'gen': 3, 'nevals': 205, 'min': 20766.511706539073, 'avg': 26888.71511323764}
{'gen': 4, 'nevals': 196, 'min': 20766.511706539073, 'avg': 26546.302704816586}
{'gen': 5, 'nevals': 200, 'min': 20766.511706539073, 'avg': 26337.868978373208}
{'gen': 6, 'nevals': 202, 'min': 20766.511706539073, 'avg': 26055.88687451356}
{'gen': 7, 'nevals': 208, 'min': 20766.511706539073, 'avg': 25822.42529263158}
{'gen': 8, 'nevals': 210, 'min': 20766.511706539073, 'avg': 25591.918842998406}
{'gen': 9, 'nevals': 211, 'min': 20766.511706539073, 'avg': 25579.585624625197}
{'gen': 10, 'nevals': 206, 'min': 20766.511706539073, 'avg': 25211.9937277193}
{'gen': 11, 'nevals': 203, 'min': 20186.330015948963, 'avg': 24887.101633939394}
{'gen': 12, 'nevals': 215, 'min': 19762.82226475279, 'avg': 24639.46599604466}
{'gen': 13, 'nevals': 212, 'min': 19762.82226475279, 'avg': 24459.959956363633}
{'gen': 14, 'nevals': 206, 'min': 19380.921371610846, 'avg': 24126.163226539076}
{'gen': 15, 'nevals': 198, 'min': 19211.074768740033, 'avg': 23864.460434322165}
{'gen': 16, 'nevals': 214, 'min': 18404.761977671453, 'avg': 23590.3245076874}
{'gen': 17, 'nevals': 202, 'min': 18404.761977671453, 'avg': 23319.853942456142}
{'gen': 18, 'nevals': 204, 'min': 17523.823827751195, 'avg': 22818.7428230941}
{'gen': 19, 'nevals': 202, 'min': 17523.823827751195, 'avg': 22566.63240523126}
{'gen': 20, 'nevals': 212, 'min': 17523.823827751195, 'avg': 22161.763151132378}
{'gen': 21, 'nevals': 210, 'min': 17523.823827751195, 'avg': 21807.873664051032}
{'gen': 22, 'nevals': 212, 'min': 17523.823827751195, 'avg': 21487.11248216906}
{'gen': 23, 'nevals': 216, 'min': 17245.237320574164, 'avg': 21022.007881722486}
{'gen': 24, 'nevals': 202, 'min': 17052.668038277512, 'avg': 20572.692820031898}
{'gen': 25, 'nevals': 203, 'min': 16934.54503987241, 'avg': 20195.26793862839}
{'gen': 26, 'nevals': 207, 'min': 16357.512567783095, 'avg': 19834.265761786282}
{'gen': 27, 'nevals': 208, 'min': 16353.821371610846, 'avg': 19438.727971802236}
{'gen': 28, 'nevals': 200, 'min': 16130.647687400318, 'avg': 19018.801592599684}
{'gen': 29, 'nevals': 204, 'min': 15970.365933014355, 'avg': 18684.127241977672}
{'gen': 30, 'nevals': 211, 'min': 15970.365933014355, 'avg': 18287.17557167464}
{'gen': 31, 'nevals': 218, 'min': 15504.13480063796, 'avg': 17886.611610590113}
{'gen': 32, 'nevals': 209, 'min': 15305.373971291867, 'avg': 17619.916980287082}
{'gen': 33, 'nevals': 203, 'min': 15177.377926634768, 'avg': 17330.73865722488}
{'gen': 34, 'nevals': 201, 'min': 15058.155853269538, 'avg': 17084.44221958533}
{'gen': 35, 'nevals': 201, 'min': 14645.177607655502, 'avg': 16799.316478979268}
{'gen': 36, 'nevals': 208, 'min': 14607.03534290271, 'avg': 16566.807766379585}
{'gen': 37, 'nevals': 216, 'min': 14511.732185007975, 'avg': 16372.778050781497}
{'gen': 38, 'nevals': 198, 'min': 14393.320318979266, 'avg': 16134.32865288676}
{'gen': 39, 'nevals': 216, 'min': 13997.539489633175, 'avg': 15930.65716185008}
{'gen': 40, 'nevals': 200, 'min': 13997.539489633175, 'avg': 15719.202934481658}
