{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 253, 'min': 23113.373397129188, 'avg': 27884.67698617757}
{'gen': 2, 'nevals': 258, 'min': 23113.373397129188, 'avg': 27703.354993301436}
{'gen': 3, 'nevals': 253, 'min': 22569.06851674641, 'avg': 27432.691107283357}
{'gen': 4, 'nevals': 248, 'min': 22500.298724082935, 'avg': 27306.39770728336}
{'gen': 5, 'nevals': 262, 'min': 22008.519872408295, 'avg': 27116.45008835726}
{'gen': 6, 'nevals': 254, 'min': 22008.519872408295, 'avg': 26956.02847666135}
{'gen': 7, 'nevals': 252, 'min': 21013.470175438597, 'avg': 26972.774496757047}
{'gen': 8, 'nevals': 251, 'min': 21013.470175438597, 'avg': 26893.72712982456}
{'gen': 9, 'nevals': 260, 'min': 21013.470175438597, 'avg': 26706.219493886234}
{'gen': 10, 'nevals': 240, 'min': 21013.470175438597, 'avg': 26574.179008825093}
{'gen': 11, 'nevals': 252, 'min': 21013.470175438597, 'avg': 26550.28236640085}
{'gen': 12, 'nevals': 252, 'min': 21013.470175438597, 'avg': 26371.28215013291}
{'gen': 13, 'nevals': 259, 'min': 21013.470175438597, 'avg': 26281.188799893676}
{'gen': 14, 'nevals': 252, 'min': 20084.693811802234, 'avg': 26028.810674003187}
{'gen': 15, 'nevals': 252, 'min': 20084.693811802234, 'avg': 25902.0204466773}
{'gen': 16, 'nevals': 254, 'min': 20084.693811802234, 'avg': 25746.27183625731}
{'gen': 17, 'nevals': 251, 'min': 20084.693811802234, 'avg': 25607.25092578416}
{'gen': 18, 'nevals': 237, 'min': 20084.693811802234, 'avg': 25455.376166613507}
{'gen': 19, 'nevals': 258, 'min': 20084.693811802234, 'avg': 25373.003813503456}
{'gen': 20, 'nevals': 252, 'min': 20084.693811802234, 'avg': 25257.01544901648}
{'gen': 21, 'nevals': 264, 'min': 20084.693811802234, 'avg': 25127.077959808616}
{'gen': 22, 'nevals': 248, 'min': 20084.693811802234, 'avg': 25033.185407974477}
{'gen': 23, 'nevals': 254, 'min': 20084.693811802234, 'avg': 24846.149411802235}
{'gen': 24, 'nevals': 256, 'min': 19896.13346092504, 'avg': 24808.99713758639}
{'gen': 25, 'nevals': 255, 'min': 19896.13346092504, 'avg': 24658.053218500798}
{'gen': 26, 'nevals': 258, 'min': 19896.13346092504, 'avg': 24506.937027432217}
{'gen': 27, 'nevals': 248, 'min': 19713.945071770337, 'avg': 24289.26893907496}
{'gen': 28, 'nevals': 254, 'min': 19242.085645933013, 'avg': 24142.516863157896}
{'gen': 29, 'nevals': 240, 'min': 19242.085645933013, 'avg': 24011.27462222222}
{'gen': 30, 'nevals': 250, 'min': 19242.085645933013, 'avg': 23860.399945986177}
{'gen': 31, 'nevals': 258, 'min': 18698.95081339713, 'avg': 23712.125705050505}
{'gen': 32, 'nevals': 254, 'min': 18698.95081339713, 'avg': 23535.569102604997}
{'gen': 33, 'nevals': 252, 'min': 18698.95081339713, 'avg': 23276.91212418926}
{'gen': 34, 'nevals': 240, 'min': 18698.95081339713, 'avg': 23151.15703774588}
{'gen': 35, 'nevals': 242, 'min': 18456.926507177035, 'avg': 22991.475464327483}
{'gen': 36, 'nevals': 250, 'min': 18456.926507177035, 'avg': 22725.76944391281}
{'gen': 37, 'nevals': 245, 'min': 18185.796140350878, 'avg': 22505.429129292927}
{'gen': 38, 'nevals': 262, 'min': 17453.92331738437, 'avg': 22460.051472939922}
{'gen': 39, 'nevals': 251, 'min': 17453.92331738437, 'avg': 22278.035124720893}
{'gen': 40, 'nevals': 254, 'min': 17083.831802232853, 'avg': 21981.349769909622}
{'gen': 41, 'nevals': 251, 'min': 17012.937129186605, 'avg': 21712.663274960127}
{'gen': 42, 'nevals': 251, 'min': 16697.093779904306, 'avg': 21503.18026485912}
{'gen': 43, 'nevals': 256, 'min': 16697.093779904306, 'avg': 21294.122345773525}
{'gen': 44, 'nevals': 262, 'min': 16686.4736523126, 'avg': 21004.37437118554}
{'gen': 45, 'nevals': 252, 'min': 16388.838437001596, 'avg': 20573.551775544925}
