{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 250, 'min': 22463.11011164274, 'avg': 27341.443797767148}
{'gen': 2, 'nevals': 252, 'min': 22463.11011164274, 'avg': 26928.72297012228}
{'gen': 3, 'nevals': 252, 'min': 22305.767464114833, 'avg': 26706.232769484315}
{'gen': 4, 'nevals': 246, 'min': 22305.767464114833, 'avg': 26425.1553661882}
{'gen': 5, 'nevals': 254, 'min': 22305.767464114833, 'avg': 25970.744788091444}
{'gen': 6, 'nevals': 256, 'min': 20991.54519936204, 'avg': 25647.115637958534}
{'gen': 7, 'nevals': 268, 'min': 20991.54519936204, 'avg': 25483.385857522597}
{'gen': 8, 'nevals': 252, 'min': 20991.54519936204, 'avg': 25223.905047634238}
{'gen': 9, 'nevals': 250, 'min': 20991.54519936204, 'avg': 25004.924534077618}
{'gen': 10, 'nevals': 238, 'min': 20232.479681020734, 'avg': 24336.285569909625}
{'gen': 11, 'nevals': 257, 'min': 20232.479681020734, 'avg': 24233.29725358852}
{'gen': 12, 'nevals': 264, 'min': 19175.63923444976, 'avg': 24058.94908080808}
{'gen': 13, 'nevals': 256, 'min': 19175.63923444976, 'avg': 23831.950704944178}
{'gen': 14, 'nevals': 245, 'min': 19104.63649122807, 'avg': 23562.859420095694}
{'gen': 15, 'nevals': 244, 'min': 19104.63649122807, 'avg': 23282.548109516214}
{'gen': 16, 'nevals': 248, 'min': 19104.63649122807, 'avg': 23043.467901754386}
{'gen': 17, 'nevals': 254, 'min': 19104.63649122807, 'avg': 22794.058640935677}
{'gen': 18, 'nevals': 263, 'min': 19104.63649122807, 'avg': 22606.28179500266}
{'gen': 19, 'nevals': 256, 'min': 18381.28596491228, 'avg': 22356.55799266348}
{'gen': 20, 'nevals': 242, 'min': 18381.28596491228, 'avg': 22141.632557150453}
{'gen': 21, 'nevals': 262, 'min': 17886.13148325359, 'avg': 21843.58632472089}
{'gen': 22, 'nevals': 248, 'min': 17886.13148325359, 'avg': 21691.09636693248}
{'gen': 23, 'nevals': 253, 'min': 17886.13148325359, 'avg': 21571.475322700688}
{'gen': 24, 'nevals': 244, 'min': 17886.13148325359, 'avg': 21168.03919383307}
{'gen': 25, 'nevals': 266, 'min': 17699.19926634769, 'avg': 20796.656889420523}
{'gen': 26, 'nevals': 260, 'min': 17353.02861244019, 'avg': 20393.35511887294}
{'gen': 27, 'nevals': 255, 'min': 17353.02861244019, 'avg': 19768.10315002658}
