{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 254, 'min': 22896.086570972886, 'avg': 27427.324153960657}
{'gen': 2, 'nevals': 256, 'min': 22615.677671451354, 'avg': 27018.039673684212}
{'gen': 3, 'nevals': 260, 'min': 22615.677671451354, 'avg': 26725.017607868158}
{'gen': 4, 'nevals': 259, 'min': 20826.544593301434, 'avg': 26484.983458479535}
{'gen': 5, 'nevals': 249, 'min': 20707.99489633174, 'avg': 26091.914279744815}
{'gen': 6, 'nevals': 258, 'min': 20707.99489633174, 'avg': 25973.85594577352}
{'gen': 7, 'nevals': 262, 'min': 20707.99489633174, 'avg': 25664.688374587986}
{'gen': 8, 'nevals': 254, 'min': 20707.99489633174, 'avg': 25450.54432259436}
{'gen': 9, 'nevals': 254, 'min': 19939.52625199362, 'avg': 25188.57507347156}
{'gen': 10, 'nevals': 247, 'min': 19939.52625199362, 'avg': 24873.317006379584}
{'gen': 11, 'nevals': 254, 'min': 19939.52625199362, 'avg': 24659.006317809675}
{'gen': 12, 'nevals': 270, 'min': 19939.52625199362, 'avg': 24429.090488888887}
{'gen': 13, 'nevals': 250, 'min': 19939.52625199362, 'avg': 24089.67513492823}
{'gen': 14, 'nevals': 256, 'min': 19939.52625199362, 'avg': 24041.660473896864}
{'gen': 15, 'nevals': 246, 'min': 19414.26567783094, 'avg': 23585.05862892079}
{'gen': 16, 'nevals': 260, 'min': 19414.26567783094, 'avg': 23438.52924965444}
{'gen': 17, 'nevals': 250, 'min': 19334.73725677831, 'avg': 23212.05533216374}
{'gen': 18, 'nevals': 244, 'min': 18460.36370015949, 'avg': 22979.194517065393}
{'gen': 19, 'nevals': 242, 'min': 18460.36370015949, 'avg': 22685.478434024455}
{'gen': 20, 'nevals': 250, 'min': 18460.36370015949, 'avg': 22688.318993726738}
{'gen': 21, 'nevals': 261, 'min': 18460.36370015949, 'avg': 22262.473069962783}
{'gen': 22, 'nevals': 250, 'min': 18460.36370015949, 'avg': 21990.09520116959}
{'gen': 23, 'nevals': 247, 'min': 18460.36370015949, 'avg': 21877.74605093036}
{'gen': 24, 'nevals': 252, 'min': 18460.36370015949, 'avg': 21859.803565231257}
{'gen': 25, 'nevals': 232, 'min': 18257.345263157895, 'avg': 21513.779971717173}
{'gen': 26, 'nevals': 245, 'min': 17891.05043062201, 'avg': 21367.758907070707}
{'gen': 27, 'nevals': 248, 'min': 17891.05043062201, 'avg': 21172.1893138756}
{'gen': 28, 'nevals': 262, 'min': 17891.05043062201, 'avg': 20967.972000850612}
{'gen': 29, 'nevals': 242, 'min': 17769.534704944177, 'avg': 20787.97582892079}
{'gen': 30, 'nevals': 260, 'min': 16871.46749601276, 'avg': 20482.356942796385}
{'gen': 31, 'nevals': 256, 'min': 16871.46749601276, 'avg': 20304.524750558212}
{'gen': 32, 'nevals': 259, 'min': 16871.46749601276, 'avg': 20101.945624561402}
{'gen': 33, 'nevals': 260, 'min': 16871.46749601276, 'avg': 19889.741995534292}
{'gen': 34, 'nevals': 254, 'min': 15862.880223285487, 'avg': 19678.277095800106}
{'gen': 35, 'nevals': 258, 'min': 15862.880223285487, 'avg': 19276.636077937266}
{'gen': 36, 'nevals': 242, 'min': 15862.880223285487, 'avg': 19035.004062838914}
{'gen': 37, 'nevals': 271, 'min': 15862.880223285487, 'avg': 18780.255174800637}
{'gen': 38, 'nevals': 268, 'min': 15862.880223285487, 'avg': 18623.34680956938}
{'gen': 39, 'nevals': 236, 'min': 15202.735119617224, 'avg': 18280.025831578947}
{'gen': 40, 'nevals': 261, 'min': 14994.311802232854, 'avg': 18090.558314407233}
{'gen': 41, 'nevals': 258, 'min': 14994.311802232854, 'avg': 17963.511711217438}
{'gen': 42, 'nevals': 256, 'min': 14927.085422647528, 'avg': 17748.67966028708}
{'gen': 43, 'nevals': 256, 'min': 14775.869027113238, 'avg': 17470.338757044126}
{'gen': 44, 'nevals': 244, 'min': 14775.869027113238, 'avg': 17228.51126964381}
{'gen': 45, 'nevals': 270, 'min': 14372.837129186602, 'avg': 17030.660088144603}
{'gen': 46, 'nevals': 254, 'min': 14247.961594896331, 'avg': 16861.917182243484}
{'gen': 47, 'nevals': 260, 'min': 14247.961594896331, 'avg': 16545.711470069113}
{'gen': 48, 'nevals': 248, 'min': 13941.763795853269, 'avg': 16417.526621690587}
{'gen': 49, 'nevals': 255, 'min': 13102.545231259968, 'avg': 16131.712716108452}
{'gen': 50, 'nevals': 257, 'min': 13102.545231259968, 'avg': 16122.321360446569}
{'gen': 51, 'nevals': 252, 'min': 13102.545231259968, 'avg': 15907.64497235513}
{'gen': 52, 'nevals': 254, 'min': 12878.340733652312, 'avg': 15681.074987453483}
{'gen': 53, 'nevals': 252, 'min': 12878.340733652312, 'avg': 15583.85519223817}
{'gen': 54, 'nevals': 242, 'min': 12846.543636363636, 'avg': 15269.661683253587}
{'gen': 55, 'nevals': 248, 'min': 12846.543636363636, 'avg': 15184.84074885699}
{'gen': 56, 'nevals': 258, 'min': 12846.543636363636, 'avg': 14895.174269112174}
{'gen': 57, 'nevals': 250, 'min': 12077.207336523126, 'avg': 14653.406785326953}
{'gen': 58, 'nevals': 244, 'min': 12077.207336523126, 'avg': 14440.594714938865}
{'gen': 59, 'nevals': 255, 'min': 11945.150781499202, 'avg': 14347.875170122277}
{'gen': 60, 'nevals': 242, 'min': 11936.50995215311, 'avg': 14093.438748219032}
{'gen': 61, 'nevals': 256, 'min': 11824.252089314195, 'avg': 14007.569858692183}
{'gen': 62, 'nevals': 259, 'min': 11824.252089314195, 'avg': 13829.02795364168}
{'gen': 63, 'nevals': 246, 'min': 11812.811866028707, 'avg': 13685.238622647526}
{'gen': 64, 'nevals': 248, 'min': 11637.957192982456, 'avg': 13514.286949707603}
{'gen': 65, 'nevals': 251, 'min': 11108.377384370016, 'avg': 13346.442671664008}
{'gen': 66, 'nevals': 242, 'min': 11108.377384370016, 'avg': 13218.05139787347}
{'gen': 67, 'nevals': 246, 'min': 11108.377384370016, 'avg': 13059.005592131844}
{'gen': 68, 'nevals': 239, 'min': 10754.981020733652, 'avg': 12899.797402551836}
{'gen': 69, 'nevals': 256, 'min': 10754.981020733652, 'avg': 12701.576172567782}
