{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 267, 'min': 0.9060496096950508, 'avg': 0.921399773841348}
{'gen': 2, 'nevals': 244, 'min': 0.9060496096950508, 'avg': 0.9207345129977811}
{'gen': 3, 'nevals': 243, 'min': 0.9053171768576983, 'avg': 0.919650651784854}
{'gen': 4, 'nevals': 244, 'min': 0.9030058098406619, 'avg': 0.9197321048369826}
{'gen': 5, 'nevals': 260, 'min': 0.9030058098406619, 'avg': 0.9195198533575158}
{'gen': 6, 'nevals': 252, 'min': 0.9030058098406619, 'avg': 0.9197080268429094}
{'gen': 7, 'nevals': 250, 'min': 0.8966563786994198, 'avg': 0.9192885054652727}
{'gen': 8, 'nevals': 257, 'min': 0.8966563786994198, 'avg': 0.9192960495796031}
{'gen': 9, 'nevals': 254, 'min': 0.8966563786994198, 'avg': 0.9186621822583512}
{'gen': 10, 'nevals': 264, 'min': 0.8966563786994198, 'avg': 0.9186893666289222}
{'gen': 11, 'nevals': 245, 'min': 0.8966563786994198, 'avg': 0.9184594326613372}
{'gen': 12, 'nevals': 249, 'min': 0.8966563786994198, 'avg': 0.9189335809355678}
{'gen': 13, 'nevals': 250, 'min': 0.8966563786994198, 'avg': 0.9184852811587357}
{'gen': 14, 'nevals': 250, 'min': 0.8959247981114936, 'avg': 0.9179476153810647}
{'gen': 15, 'nevals': 242, 'min': 0.8939146569737388, 'avg': 0.9167959952083138}
{'gen': 16, 'nevals': 250, 'min': 0.8939146569737388, 'avg': 0.916439283642856}
{'gen': 17, 'nevals': 256, 'min': 0.8923891284309403, 'avg': 0.9163575770411285}
{'gen': 18, 'nevals': 250, 'min': 0.8886412192820256, 'avg': 0.915670857375006}
{'gen': 19, 'nevals': 258, 'min': 0.8886412192820256, 'avg': 0.9147507979174092}
{'gen': 20, 'nevals': 253, 'min': 0.8875413368287879, 'avg': 0.9142311810788093}
