{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 253, 'min': 0.9060057471150261, 'avg': 0.9212543138738692}
{'gen': 2, 'nevals': 258, 'min': 0.9036809548819305, 'avg': 0.9212199777448357}
{'gen': 3, 'nevals': 253, 'min': 0.9031940565118605, 'avg': 0.920436462766217}
{'gen': 4, 'nevals': 248, 'min': 0.8958545999672013, 'avg': 0.920391003286904}
{'gen': 5, 'nevals': 262, 'min': 0.8958545999672013, 'avg': 0.9205174021520518}
{'gen': 6, 'nevals': 254, 'min': 0.8958545999672013, 'avg': 0.9197068638345908}
{'gen': 7, 'nevals': 252, 'min': 0.8958545999672013, 'avg': 0.9203464637724149}
{'gen': 8, 'nevals': 251, 'min': 0.8895011435509974, 'avg': 0.9194552640048435}
{'gen': 9, 'nevals': 260, 'min': 0.8895011435509974, 'avg': 0.9195682527665557}
{'gen': 10, 'nevals': 240, 'min': 0.8895011435509974, 'avg': 0.9192291035491026}
{'gen': 11, 'nevals': 252, 'min': 0.8895011435509974, 'avg': 0.9188700952927252}
{'gen': 12, 'nevals': 252, 'min': 0.8895011435509974, 'avg': 0.9188557801012519}
{'gen': 13, 'nevals': 259, 'min': 0.8895011435509974, 'avg': 0.9187765856740736}
{'gen': 14, 'nevals': 252, 'min': 0.8895011435509974, 'avg': 0.9187362175068688}
{'gen': 15, 'nevals': 252, 'min': 0.8895011435509974, 'avg': 0.918549187376756}
{'gen': 16, 'nevals': 254, 'min': 0.8895011435509974, 'avg': 0.9183183333247005}
{'gen': 17, 'nevals': 251, 'min': 0.8895011435509974, 'avg': 0.9184518871086652}
{'gen': 18, 'nevals': 237, 'min': 0.8895011435509974, 'avg': 0.9182841473577569}
{'gen': 19, 'nevals': 258, 'min': 0.8895011435509974, 'avg': 0.9181410725053726}
{'gen': 20, 'nevals': 252, 'min': 0.8895011435509974, 'avg': 0.9173523362540673}
{'gen': 21, 'nevals': 264, 'min': 0.8798988299938393, 'avg': 0.9172432683608979}
{'gen': 22, 'nevals': 248, 'min': 0.8798988299938393, 'avg': 0.9172737653692009}
{'gen': 23, 'nevals': 254, 'min': 0.8798988299938393, 'avg': 0.9159505175457597}
{'gen': 24, 'nevals': 256, 'min': 0.87573076566403, 'avg': 0.9143220983472959}
{'gen': 25, 'nevals': 255, 'min': 0.87573076566403, 'avg': 0.9122350476503258}
{'gen': 26, 'nevals': 258, 'min': 0.87573076566403, 'avg': 0.9098420598524467}
{'gen': 27, 'nevals': 248, 'min': 0.8745984139354013, 'avg': 0.907508374531414}
{'gen': 28, 'nevals': 254, 'min': 0.8745984139354013, 'avg': 0.9051171152734787}
{'gen': 29, 'nevals': 240, 'min': 0.8745984139354013, 'avg': 0.9024789547763151}
{'gen': 30, 'nevals': 250, 'min': 0.8699724318526417, 'avg': 0.8999049449937454}
{'gen': 31, 'nevals': 258, 'min': 0.8687096694218962, 'avg': 0.8972938449655832}
{'gen': 32, 'nevals': 254, 'min': 0.8687096694218962, 'avg': 0.8943513412664744}
{'gen': 33, 'nevals': 252, 'min': 0.8681090822202671, 'avg': 0.891494508614273}
{'gen': 34, 'nevals': 240, 'min': 0.8667387329022201, 'avg': 0.8882775115312113}
{'gen': 35, 'nevals': 242, 'min': 0.8644510711175111, 'avg': 0.8850529606397667}
{'gen': 36, 'nevals': 250, 'min': 0.8631730440993647, 'avg': 0.8820698321744728}
{'gen': 37, 'nevals': 245, 'min': 0.8612202619626629, 'avg': 0.8788529163219617}
{'gen': 38, 'nevals': 262, 'min': 0.8602817120967104, 'avg': 0.8763025030193266}
{'gen': 39, 'nevals': 251, 'min': 0.8593866236026473, 'avg': 0.8742040090639865}
{'gen': 40, 'nevals': 254, 'min': 0.8576545721681333, 'avg': 0.8722830346133251}
{'gen': 41, 'nevals': 251, 'min': 0.8557824277610977, 'avg': 0.8705042367158035}
{'gen': 42, 'nevals': 251, 'min': 0.8546968446404974, 'avg': 0.8689013300605057}
{'gen': 43, 'nevals': 256, 'min': 0.8546968446404974, 'avg': 0.867481721322635}
{'gen': 44, 'nevals': 262, 'min': 0.852361647164439, 'avg': 0.8659403006542128}
{'gen': 45, 'nevals': 252, 'min': 0.8494962560642467, 'avg': 0.8644667039850674}
{'gen': 46, 'nevals': 247, 'min': 0.8485980024237106, 'avg': 0.8630013811108698}
{'gen': 47, 'nevals': 242, 'min': 0.8485159373377883, 'avg': 0.8616180161934968}
{'gen': 48, 'nevals': 252, 'min': 0.8476781290066753, 'avg': 0.860120684627229}
{'gen': 49, 'nevals': 250, 'min': 0.8473778808402344, 'avg': 0.8586260408671526}
{'gen': 50, 'nevals': 246, 'min': 0.8464983011249166, 'avg': 0.8571211221935187}
{'gen': 51, 'nevals': 252, 'min': 0.8464983011249166, 'avg': 0.8558789546061191}
{'gen': 52, 'nevals': 254, 'min': 0.8459599846710327, 'avg': 0.8545997937837482}
{'gen': 53, 'nevals': 256, 'min': 0.8451196716509669, 'avg': 0.8533845477384829}
{'gen': 54, 'nevals': 246, 'min': 0.8437421408824861, 'avg': 0.8522433906609866}
{'gen': 55, 'nevals': 252, 'min': 0.8437421408824861, 'avg': 0.8511477265173839}
{'gen': 56, 'nevals': 242, 'min': 0.8426384975373827, 'avg': 0.8502034069535964}
{'gen': 57, 'nevals': 252, 'min': 0.842065172743574, 'avg': 0.8492551264333327}
{'gen': 58, 'nevals': 261, 'min': 0.8415863100134898, 'avg': 0.8483817809911676}
{'gen': 59, 'nevals': 264, 'min': 0.8411665803606593, 'avg': 0.8475765988418353}
{'gen': 60, 'nevals': 255, 'min': 0.8402593597016503, 'avg': 0.846812889074388}
{'gen': 61, 'nevals': 256, 'min': 0.8402593597016503, 'avg': 0.8460966266120249}
{'gen': 62, 'nevals': 260, 'min': 0.8402593597016503, 'avg': 0.8454495587942492}
{'gen': 63, 'nevals': 258, 'min': 0.8395619963630777, 'avg': 0.8448611306554459}
{'gen': 64, 'nevals': 254, 'min': 0.8386451145867813, 'avg': 0.8443171257587789}
{'gen': 65, 'nevals': 264, 'min': 0.8378598882160683, 'avg': 0.843776508909673}
{'gen': 66, 'nevals': 253, 'min': 0.8367047863862929, 'avg': 0.8432578408650089}
{'gen': 67, 'nevals': 258, 'min': 0.8367047863862929, 'avg': 0.8427579051081917}
{'gen': 68, 'nevals': 256, 'min': 0.8359393269264049, 'avg': 0.8421705156671779}
{'gen': 69, 'nevals': 240, 'min': 0.8359015736254691, 'avg': 0.841587812998054}
{'gen': 70, 'nevals': 256, 'min': 0.8357902022995809, 'avg': 0.8410064559953846}
{'gen': 71, 'nevals': 256, 'min': 0.8356154488111495, 'avg': 0.8404226594809181}
{'gen': 72, 'nevals': 248, 'min': 0.8353944093914734, 'avg': 0.8398390215376521}
{'gen': 73, 'nevals': 248, 'min': 0.8351329519933143, 'avg': 0.839292826656306}
{'gen': 74, 'nevals': 247, 'min': 0.8351329519933143, 'avg': 0.8387545967665277}
{'gen': 75, 'nevals': 256, 'min': 0.8349596707716377, 'avg': 0.8382802571384221}
{'gen': 76, 'nevals': 254, 'min': 0.8349559610185028, 'avg': 0.8378354846995535}
{'gen': 77, 'nevals': 248, 'min': 0.834944547216007, 'avg': 0.8373631618347082}
{'gen': 78, 'nevals': 253, 'min': 0.834944547216007, 'avg': 0.8369317038203221}
{'gen': 79, 'nevals': 253, 'min': 0.8348316312235685, 'avg': 0.8365287372387491}
{'gen': 80, 'nevals': 236, 'min': 0.8347668929000569, 'avg': 0.8361738230711618}
{'gen': 81, 'nevals': 262, 'min': 0.8347668929000569, 'avg': 0.8358709617563868}
{'gen': 82, 'nevals': 258, 'min': 0.8347668929000569, 'avg': 0.8356305985008767}
{'gen': 83, 'nevals': 258, 'min': 0.8347153189003196, 'avg': 0.8354512108829533}
{'gen': 84, 'nevals': 248, 'min': 0.8346988590002188, 'avg': 0.8352923020447673}
{'gen': 85, 'nevals': 256, 'min': 0.8345155032497931, 'avg': 0.8351786921514055}
{'gen': 86, 'nevals': 256, 'min': 0.83443614832098, 'avg': 0.8350820203368701}
{'gen': 87, 'nevals': 242, 'min': 0.83443614832098, 'avg': 0.8349985060132576}
{'gen': 88, 'nevals': 251, 'min': 0.83443614832098, 'avg': 0.8349311399782299}
{'gen': 89, 'nevals': 246, 'min': 0.83443614832098, 'avg': 0.8348732052506904}
{'gen': 90, 'nevals': 248, 'min': 0.83443614832098, 'avg': 0.8348188783905334}
{'gen': 91, 'nevals': 264, 'min': 0.83443614832098, 'avg': 0.8347671764587529}
{'gen': 92, 'nevals': 252, 'min': 0.83443614832098, 'avg': 0.834724808266601}
{'gen': 93, 'nevals': 258, 'min': 0.8342037017638883, 'avg': 0.8346844709610229}
{'gen': 94, 'nevals': 252, 'min': 0.8341165653579304, 'avg': 0.8346484776012376}
{'gen': 95, 'nevals': 259, 'min': 0.8339995479429261, 'avg': 0.8346128601738082}
{'gen': 96, 'nevals': 244, 'min': 0.8339995479429261, 'avg': 0.834575432157276}
{'gen': 97, 'nevals': 264, 'min': 0.8339995479429261, 'avg': 0.8345341531608119}
{'gen': 98, 'nevals': 258, 'min': 0.8339995479429261, 'avg': 0.8344879928160189}
{'gen': 99, 'nevals': 244, 'min': 0.8339855552314569, 'avg': 0.8344397060579561}
{'gen': 100, 'nevals': 254, 'min': 0.8339297496756206, 'avg': 0.834389277771136}
{'gen': 101, 'nevals': 252, 'min': 0.8337309347640639, 'avg': 0.8343410392730926}
{'gen': 102, 'nevals': 256, 'min': 0.8337136557353728, 'avg': 0.8342920365113273}
{'gen': 103, 'nevals': 246, 'min': 0.8336376744889664, 'avg': 0.8342403807707397}
{'gen': 104, 'nevals': 238, 'min': 0.8336360866965273, 'avg': 0.8341925586800439}
{'gen': 105, 'nevals': 256, 'min': 0.8335615688967765, 'avg': 0.8341440040661918}
{'gen': 106, 'nevals': 246, 'min': 0.8335614765434518, 'avg': 0.8340935079691314}
{'gen': 107, 'nevals': 243, 'min': 0.8335588575268397, 'avg': 0.8340399874752582}
{'gen': 108, 'nevals': 256, 'min': 0.8335588575268397, 'avg': 0.8339926830027735}
{'gen': 109, 'nevals': 250, 'min': 0.8335225305837435, 'avg': 0.8339317740232919}
{'gen': 110, 'nevals': 248, 'min': 0.8334771971527684, 'avg': 0.8338736160792193}
{'gen': 111, 'nevals': 258, 'min': 0.8334596553845643, 'avg': 0.8338170073229975}
{'gen': 112, 'nevals': 259, 'min': 0.8334322416508747, 'avg': 0.833765557027571}
{'gen': 113, 'nevals': 248, 'min': 0.833399649102201, 'avg': 0.8337221734778185}
{'gen': 114, 'nevals': 256, 'min': 0.8329846609340066, 'avg': 0.8336791472278308}
{'gen': 115, 'nevals': 238, 'min': 0.832919518777707, 'avg': 0.8336396158012672}
{'gen': 116, 'nevals': 246, 'min': 0.8329079830772234, 'avg': 0.8336053882737637}
{'gen': 117, 'nevals': 241, 'min': 0.8329079830772234, 'avg': 0.8335600540583797}
{'gen': 118, 'nevals': 252, 'min': 0.8329079830772234, 'avg': 0.8335206568241337}
{'gen': 119, 'nevals': 248, 'min': 0.8329079830772234, 'avg': 0.8334914415175202}
{'gen': 120, 'nevals': 254, 'min': 0.8329079830772234, 'avg': 0.8334585159639922}
{'gen': 121, 'nevals': 248, 'min': 0.8329079830772234, 'avg': 0.8334350018333487}
{'gen': 122, 'nevals': 256, 'min': 0.8329079830772234, 'avg': 0.8333935784591006}
{'gen': 123, 'nevals': 252, 'min': 0.8329079830772234, 'avg': 0.833351010203307}
{'gen': 124, 'nevals': 265, 'min': 0.8329079830772234, 'avg': 0.8333121739504121}
{'gen': 125, 'nevals': 260, 'min': 0.8329079830772234, 'avg': 0.8332678304241159}
{'gen': 126, 'nevals': 262, 'min': 0.8329079830772234, 'avg': 0.8332260771791443}
{'gen': 127, 'nevals': 242, 'min': 0.8328297737760314, 'avg': 0.8331878565481072}
{'gen': 128, 'nevals': 240, 'min': 0.8328297737760314, 'avg': 0.8331508953058726}
{'gen': 129, 'nevals': 252, 'min': 0.8328297737760314, 'avg': 0.8331145840896098}
{'gen': 130, 'nevals': 238, 'min': 0.8328297737760314, 'avg': 0.8330785733072594}
{'gen': 131, 'nevals': 245, 'min': 0.8328293483603576, 'avg': 0.8330497288908592}
{'gen': 132, 'nevals': 243, 'min': 0.8328293483603576, 'avg': 0.8330094098378794}
{'gen': 133, 'nevals': 251, 'min': 0.8328293483603576, 'avg': 0.8329743172652601}
{'gen': 134, 'nevals': 252, 'min': 0.8324642665290781, 'avg': 0.8329346453152433}
{'gen': 135, 'nevals': 238, 'min': 0.8317175147462759, 'avg': 0.8328996732920457}
{'gen': 136, 'nevals': 236, 'min': 0.8312050419371961, 'avg': 0.8328806018446444}
{'gen': 137, 'nevals': 258, 'min': 0.8312050419371961, 'avg': 0.8328572484233014}
{'gen': 138, 'nevals': 272, 'min': 0.8312050419371961, 'avg': 0.8328202456889134}
{'gen': 139, 'nevals': 244, 'min': 0.8312050419371961, 'avg': 0.8327585468517481}
{'gen': 140, 'nevals': 256, 'min': 0.8312050419371961, 'avg': 0.8326867907080245}
{'gen': 141, 'nevals': 248, 'min': 0.8312050419371961, 'avg': 0.8326046676534316}
{'gen': 142, 'nevals': 252, 'min': 0.8312050419371961, 'avg': 0.832521874871713}
{'gen': 143, 'nevals': 242, 'min': 0.8312050419371961, 'avg': 0.8324320973033787}
{'gen': 144, 'nevals': 254, 'min': 0.8312050419371961, 'avg': 0.8323458847151896}
{'gen': 145, 'nevals': 254, 'min': 0.8312050419371961, 'avg': 0.8322579105872248}
{'gen': 146, 'nevals': 236, 'min': 0.8307947222290873, 'avg': 0.8321695256873721}
{'gen': 147, 'nevals': 238, 'min': 0.8307043696641245, 'avg': 0.8320810283398365}
{'gen': 148, 'nevals': 258, 'min': 0.8307043696641245, 'avg': 0.8319791632347913}
{'gen': 149, 'nevals': 262, 'min': 0.8307043696641245, 'avg': 0.8318564092450316}
{'gen': 150, 'nevals': 252, 'min': 0.8307043696641245, 'avg': 0.8317292873806271}
{'gen': 151, 'nevals': 244, 'min': 0.8307043696641245, 'avg': 0.8316025872557281}
{'gen': 152, 'nevals': 254, 'min': 0.8307043696641245, 'avg': 0.8314770396032634}
{'gen': 153, 'nevals': 239, 'min': 0.8306854898619929, 'avg': 0.831372823034993}
{'gen': 154, 'nevals': 244, 'min': 0.8306854898619929, 'avg': 0.8312968578341337}
{'gen': 155, 'nevals': 256, 'min': 0.8306854898619929, 'avg': 0.8312342576056515}
