{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 254, 'min': 0.9049251157209387, 'avg': 0.9205437727460901}
{'gen': 2, 'nevals': 256, 'min': 0.9049251157209387, 'avg': 0.9201318762012102}
{'gen': 3, 'nevals': 260, 'min': 0.900938376359843, 'avg': 0.9196574011104559}
{'gen': 4, 'nevals': 259, 'min': 0.900938376359843, 'avg': 0.9194499770476402}
{'gen': 5, 'nevals': 249, 'min': 0.8944451094319511, 'avg': 0.918302941741222}
{'gen': 6, 'nevals': 258, 'min': 0.8944451094319511, 'avg': 0.9183934998383095}
{'gen': 7, 'nevals': 262, 'min': 0.8944451094319511, 'avg': 0.9183956263178515}
{'gen': 8, 'nevals': 254, 'min': 0.8944451094319511, 'avg': 0.9178655299795897}
{'gen': 9, 'nevals': 254, 'min': 0.8944451094319511, 'avg': 0.9175198397678939}
{'gen': 10, 'nevals': 247, 'min': 0.8944451094319511, 'avg': 0.9177646000131765}
{'gen': 11, 'nevals': 254, 'min': 0.8944451094319511, 'avg': 0.9168437143477007}
{'gen': 12, 'nevals': 270, 'min': 0.8944451094319511, 'avg': 0.9168653780543912}
{'gen': 13, 'nevals': 250, 'min': 0.8944451094319511, 'avg': 0.9165789251037608}
{'gen': 14, 'nevals': 256, 'min': 0.8944451094319511, 'avg': 0.916161179366598}
{'gen': 15, 'nevals': 246, 'min': 0.8944451094319511, 'avg': 0.9153337529529004}
{'gen': 16, 'nevals': 260, 'min': 0.8944451094319511, 'avg': 0.91403322885062}
{'gen': 17, 'nevals': 250, 'min': 0.8944451094319511, 'avg': 0.9145104272970248}
{'gen': 18, 'nevals': 244, 'min': 0.8941732998622426, 'avg': 0.9130998200856254}
{'gen': 19, 'nevals': 242, 'min': 0.8884442742127553, 'avg': 0.9120392314019526}
{'gen': 20, 'nevals': 250, 'min': 0.8884442742127553, 'avg': 0.9118154316829642}
{'gen': 21, 'nevals': 261, 'min': 0.8884442742127553, 'avg': 0.9114990774301653}
{'gen': 22, 'nevals': 250, 'min': 0.8861240454035952, 'avg': 0.9106499941397882}
{'gen': 23, 'nevals': 247, 'min': 0.8861240454035952, 'avg': 0.9104607575027122}
{'gen': 24, 'nevals': 252, 'min': 0.8840602191112467, 'avg': 0.9096331482431155}
{'gen': 25, 'nevals': 232, 'min': 0.8840602191112467, 'avg': 0.9080911770175525}
{'gen': 26, 'nevals': 245, 'min': 0.8832477352382601, 'avg': 0.9067405416468755}
{'gen': 27, 'nevals': 248, 'min': 0.8832477352382601, 'avg': 0.9059738658873351}
{'gen': 28, 'nevals': 262, 'min': 0.8832477352382601, 'avg': 0.905635821048154}
{'gen': 29, 'nevals': 242, 'min': 0.8806986300999113, 'avg': 0.9040713874270724}
{'gen': 30, 'nevals': 260, 'min': 0.8795713375899548, 'avg': 0.9028841682627355}
{'gen': 31, 'nevals': 256, 'min': 0.8795713375899548, 'avg': 0.9027353689337959}
{'gen': 32, 'nevals': 259, 'min': 0.8739857224577965, 'avg': 0.9019006658098654}
{'gen': 33, 'nevals': 260, 'min': 0.8739857224577965, 'avg': 0.9011099773643686}
{'gen': 34, 'nevals': 254, 'min': 0.8739857224577965, 'avg': 0.9009580772214804}
{'gen': 35, 'nevals': 258, 'min': 0.8739857224577965, 'avg': 0.8984238842602205}
{'gen': 36, 'nevals': 242, 'min': 0.8739857224577965, 'avg': 0.8972039654855314}
{'gen': 37, 'nevals': 271, 'min': 0.8739857224577965, 'avg': 0.8961219904894183}
{'gen': 38, 'nevals': 268, 'min': 0.8711831458765261, 'avg': 0.8952489771703775}
{'gen': 39, 'nevals': 236, 'min': 0.8711831458765261, 'avg': 0.8947534876152059}
{'gen': 40, 'nevals': 261, 'min': 0.8711831458765261, 'avg': 0.8935452394449199}
{'gen': 41, 'nevals': 258, 'min': 0.8682032988017958, 'avg': 0.8923309642735956}
{'gen': 42, 'nevals': 256, 'min': 0.8682032988017958, 'avg': 0.8915544994878633}
{'gen': 43, 'nevals': 256, 'min': 0.8682032988017958, 'avg': 0.8895730381624791}
{'gen': 44, 'nevals': 244, 'min': 0.8622004980744445, 'avg': 0.8873555335491975}
{'gen': 45, 'nevals': 270, 'min': 0.8605990251933406, 'avg': 0.8861659632739118}
{'gen': 46, 'nevals': 254, 'min': 0.8605990251933406, 'avg': 0.8841323400789738}
{'gen': 47, 'nevals': 260, 'min': 0.860124429938859, 'avg': 0.8823688404955086}
