{'gen': 0, 'nevals': 700, 'min': 23801.33097288676, 'avg': 28116.474663157893}
{'gen': 1, 'nevals': 615, 'min': 23801.33097288676, 'avg': 27623.599240510368}
{'gen': 2, 'nevals': 606, 'min': 23801.33097288676, 'avg': 27339.983630211897}
{'gen': 3, 'nevals': 606, 'min': 23801.33097288676, 'avg': 27157.000602506272}
{'gen': 4, 'nevals': 614, 'min': 23660.694194577354, 'avg': 26928.790307632717}
{'gen': 5, 'nevals': 622, 'min': 22838.693684210528, 'avg': 26754.381966689452}
{'gen': 6, 'nevals': 572, 'min': 22838.693684210528, 'avg': 26438.8565063568}
{'gen': 7, 'nevals': 604, 'min': 22838.693684210528, 'avg': 26284.936751469588}
{'gen': 8, 'nevals': 620, 'min': 22838.693684210528, 'avg': 26057.79091674641}
{'gen': 9, 'nevals': 607, 'min': 22731.844338118022, 'avg': 25912.724248029164}
{'gen': 10, 'nevals': 608, 'min': 22731.844338118022, 'avg': 25854.915616313516}
{'gen': 11, 'nevals': 626, 'min': 22431.731323763954, 'avg': 25716.983365686945}
{'gen': 12, 'nevals': 612, 'min': 22141.446858054227, 'avg': 25587.80073889269}
{'gen': 13, 'nevals': 616, 'min': 22141.446858054227, 'avg': 25374.096331875142}
{'gen': 14, 'nevals': 616, 'min': 22078.964720893142, 'avg': 25296.070658054225}
{'gen': 15, 'nevals': 609, 'min': 22078.964720893142, 'avg': 25133.51318514468}
{'gen': 16, 'nevals': 618, 'min': 22078.964720893142, 'avg': 24932.804420095694}
{'gen': 17, 'nevals': 584, 'min': 22078.964720893142, 'avg': 24815.718780542273}
{'gen': 18, 'nevals': 616, 'min': 21767.708580542265, 'avg': 24606.516372886763}
{'gen': 19, 'nevals': 602, 'min': 21600.336236044655, 'avg': 24474.28758509911}
{'gen': 20, 'nevals': 615, 'min': 21517.35224880383, 'avg': 24313.19737302347}
{'gen': 21, 'nevals': 610, 'min': 21228.682392344497, 'avg': 24215.684434358627}
{'gen': 22, 'nevals': 593, 'min': 21160.307527910685, 'avg': 24053.78985946685}
{'gen': 23, 'nevals': 616, 'min': 21160.307527910685, 'avg': 23954.823036956026}
{'gen': 24, 'nevals': 615, 'min': 21160.307527910685, 'avg': 23802.841077967645}
{'gen': 25, 'nevals': 594, 'min': 20776.726858054226, 'avg': 23642.52027199818}
{'gen': 26, 'nevals': 617, 'min': 20749.774003189792, 'avg': 23487.272304716338}
{'gen': 27, 'nevals': 618, 'min': 20749.774003189792, 'avg': 23428.202649532923}
{'gen': 28, 'nevals': 630, 'min': 20325.197320574163, 'avg': 23284.95661394395}
{'gen': 29, 'nevals': 598, 'min': 20325.197320574163, 'avg': 23147.06473374345}
{'gen': 30, 'nevals': 622, 'min': 20231.85799043062, 'avg': 23034.17477293233}
{'gen': 31, 'nevals': 596, 'min': 20231.85799043062, 'avg': 22915.67186215539}
{'gen': 32, 'nevals': 622, 'min': 19131.263476874003, 'avg': 22816.446394212806}
{'gen': 33, 'nevals': 607, 'min': 19131.263476874003, 'avg': 22637.545303485986}
{'gen': 34, 'nevals': 604, 'min': 19131.263476874003, 'avg': 22500.581028298016}
{'gen': 35, 'nevals': 605, 'min': 19131.263476874003, 'avg': 22371.402472226022}
{'gen': 36, 'nevals': 622, 'min': 19131.263476874003, 'avg': 22274.002803144223}
{'gen': 37, 'nevals': 608, 'min': 19009.756172248803, 'avg': 22117.332206789702}
{'gen': 38, 'nevals': 622, 'min': 19009.756172248803, 'avg': 21963.838312918662}
{'gen': 39, 'nevals': 605, 'min': 18363.373301435407, 'avg': 21901.58596368193}
{'gen': 40, 'nevals': 616, 'min': 18363.373301435407, 'avg': 21704.3915476874}
{'gen': 41, 'nevals': 594, 'min': 18363.373301435407, 'avg': 21604.880803645476}
{'gen': 42, 'nevals': 611, 'min': 18363.373301435407, 'avg': 21465.194817179312}
{'gen': 43, 'nevals': 601, 'min': 18363.373301435407, 'avg': 21393.290951515148}
{'gen': 44, 'nevals': 593, 'min': 18363.373301435407, 'avg': 21313.432571838683}
{'gen': 45, 'nevals': 610, 'min': 18363.373301435407, 'avg': 21157.172706949194}
