{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 267, 'min': 23102.828580542264, 'avg': 27813.062289526846}
{'gen': 2, 'nevals': 242, 'min': 22418.01486443381, 'avg': 27594.761229133437}
{'gen': 3, 'nevals': 250, 'min': 22418.01486443381, 'avg': 27358.061024455077}
{'gen': 4, 'nevals': 249, 'min': 22418.01486443381, 'avg': 27158.573885486443}
{'gen': 5, 'nevals': 252, 'min': 19992.143285486443, 'avg': 27000.732970441255}
{'gen': 6, 'nevals': 255, 'min': 19992.143285486443, 'avg': 26592.418290164806}
{'gen': 7, 'nevals': 240, 'min': 19992.143285486443, 'avg': 26237.515636895267}
{'gen': 8, 'nevals': 249, 'min': 19633.72529505582, 'avg': 26077.283048272195}
{'gen': 9, 'nevals': 256, 'min': 19633.72529505582, 'avg': 26089.51126570973}
{'gen': 10, 'nevals': 240, 'min': 18955.101658692183, 'avg': 25868.43803849016}
{'gen': 11, 'nevals': 239, 'min': 18955.101658692183, 'avg': 25699.894170228603}
{'gen': 12, 'nevals': 258, 'min': 18580.964720893142, 'avg': 25368.345721956404}
{'gen': 13, 'nevals': 262, 'min': 18580.964720893142, 'avg': 24901.131429877725}
{'gen': 14, 'nevals': 250, 'min': 18394.589250398723, 'avg': 24281.66788856991}
{'gen': 15, 'nevals': 236, 'min': 18394.589250398723, 'avg': 23694.272075279107}
{'gen': 16, 'nevals': 252, 'min': 18353.541371610845, 'avg': 23356.0152225412}
{'gen': 17, 'nevals': 254, 'min': 18268.781499202552, 'avg': 22778.55677086656}
{'gen': 18, 'nevals': 260, 'min': 17901.66414673046, 'avg': 22323.695731419455}
{'gen': 19, 'nevals': 247, 'min': 17901.66414673046, 'avg': 21771.248306432746}
{'gen': 20, 'nevals': 250, 'min': 17532.717320574164, 'avg': 21241.433440297715}
{'gen': 21, 'nevals': 243, 'min': 17452.817129186602, 'avg': 20726.123715364167}
{'gen': 22, 'nevals': 248, 'min': 16962.986698564593, 'avg': 20215.23166953748}
{'gen': 23, 'nevals': 246, 'min': 16962.986698564593, 'avg': 19752.595236682617}
{'gen': 24, 'nevals': 246, 'min': 16661.43658692185, 'avg': 19297.77875470494}
{'gen': 25, 'nevals': 250, 'min': 16661.43658692185, 'avg': 18905.27893067517}
{'gen': 26, 'nevals': 247, 'min': 15808.426124401914, 'avg': 18609.505182668792}
{'gen': 27, 'nevals': 258, 'min': 15808.426124401914, 'avg': 18391.94375459862}
{'gen': 28, 'nevals': 248, 'min': 15554.40918660287, 'avg': 18227.08728474216}
