{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 252, 'min': 23113.373397129188, 'avg': 27884.623693141948}
{'gen': 2, 'nevals': 260, 'min': 21853.99620414673, 'avg': 27661.486147687403}
{'gen': 3, 'nevals': 261, 'min': 21853.99620414673, 'avg': 27437.196523019673}
{'gen': 4, 'nevals': 244, 'min': 21853.99620414673, 'avg': 27357.20647400319}
{'gen': 5, 'nevals': 248, 'min': 21853.99620414673, 'avg': 27182.76520818714}
{'gen': 6, 'nevals': 240, 'min': 21853.99620414673, 'avg': 26983.46482137161}
{'gen': 7, 'nevals': 240, 'min': 21853.99620414673, 'avg': 26695.57414417863}
{'gen': 8, 'nevals': 243, 'min': 21775.729633173843, 'avg': 26593.649107389687}
{'gen': 9, 'nevals': 248, 'min': 21775.729633173843, 'avg': 26282.921482509304}
{'gen': 10, 'nevals': 238, 'min': 21620.053716108454, 'avg': 26404.522887612973}
{'gen': 11, 'nevals': 254, 'min': 21558.085326953747, 'avg': 26281.336971610846}
{'gen': 12, 'nevals': 260, 'min': 21125.562424242424, 'avg': 25970.695502392347}
{'gen': 13, 'nevals': 242, 'min': 21125.562424242424, 'avg': 25969.8129062201}
{'gen': 14, 'nevals': 252, 'min': 21125.562424242424, 'avg': 25892.467513343963}
{'gen': 15, 'nevals': 254, 'min': 19762.741180223285, 'avg': 25555.012335247207}
{'gen': 16, 'nevals': 258, 'min': 19762.741180223285, 'avg': 25381.876265497078}
{'gen': 17, 'nevals': 266, 'min': 19762.741180223285, 'avg': 25394.233890271134}
{'gen': 18, 'nevals': 260, 'min': 19762.741180223285, 'avg': 25280.521804891017}
{'gen': 19, 'nevals': 257, 'min': 19762.741180223285, 'avg': 25354.929483572567}
{'gen': 20, 'nevals': 248, 'min': 19762.741180223285, 'avg': 25081.173972567783}
{'gen': 21, 'nevals': 262, 'min': 19762.741180223285, 'avg': 24934.645773312066}
{'gen': 22, 'nevals': 240, 'min': 19762.741180223285, 'avg': 24866.203372461456}
{'gen': 23, 'nevals': 252, 'min': 19762.741180223285, 'avg': 24842.38234949495}
{'gen': 24, 'nevals': 246, 'min': 19762.741180223285, 'avg': 24623.458022434876}
{'gen': 25, 'nevals': 254, 'min': 19762.741180223285, 'avg': 24391.505554598618}
{'gen': 26, 'nevals': 260, 'min': 19762.741180223285, 'avg': 24151.73871079213}
{'gen': 27, 'nevals': 254, 'min': 17953.382009569377, 'avg': 23985.128404359388}
{'gen': 28, 'nevals': 252, 'min': 17953.382009569377, 'avg': 23879.27714832536}
{'gen': 29, 'nevals': 242, 'min': 17953.382009569377, 'avg': 23689.06192099947}
{'gen': 30, 'nevals': 248, 'min': 17953.382009569377, 'avg': 23517.828327379055}
{'gen': 31, 'nevals': 229, 'min': 17953.382009569377, 'avg': 23181.70013343966}
