{'gen': 0, 'nevals': 300, 'min': 23113.373397129188, 'avg': 28292.232622860178}
{'gen': 1, 'nevals': 254, 'min': 22896.086570972886, 'avg': 27427.324153960657}
{'gen': 2, 'nevals': 256, 'min': 22615.677671451354, 'avg': 27018.04150164806}
{'gen': 3, 'nevals': 248, 'min': 21944.708261563, 'avg': 26746.148883678896}
{'gen': 4, 'nevals': 254, 'min': 21944.708261563, 'avg': 26320.262698458264}
{'gen': 5, 'nevals': 245, 'min': 20863.87527910686, 'avg': 25924.2921138756}
{'gen': 6, 'nevals': 256, 'min': 20863.87527910686, 'avg': 25726.59801860712}
{'gen': 7, 'nevals': 260, 'min': 20774.153779904307, 'avg': 25367.48799255715}
{'gen': 8, 'nevals': 248, 'min': 20774.153779904307, 'avg': 25258.127166613504}
{'gen': 9, 'nevals': 253, 'min': 20689.882807017544, 'avg': 25038.70854237108}
{'gen': 10, 'nevals': 251, 'min': 20689.882807017544, 'avg': 25052.717548219032}
{'gen': 11, 'nevals': 250, 'min': 20689.882807017544, 'avg': 24784.458871238705}
{'gen': 12, 'nevals': 252, 'min': 20689.882807017544, 'avg': 24468.111319404572}
{'gen': 13, 'nevals': 258, 'min': 19969.26216905901, 'avg': 24185.325624561407}
{'gen': 14, 'nevals': 252, 'min': 19969.26216905901, 'avg': 23895.593704518873}
{'gen': 15, 'nevals': 239, 'min': 19969.26216905901, 'avg': 23725.23316757044}
{'gen': 16, 'nevals': 243, 'min': 19840.063859649123, 'avg': 23551.11761456672}
{'gen': 17, 'nevals': 249, 'min': 19471.574641148327, 'avg': 23408.327919829877}
{'gen': 18, 'nevals': 242, 'min': 19471.574641148327, 'avg': 23238.07170611377}
{'gen': 19, 'nevals': 250, 'min': 19329.119936204148, 'avg': 23025.636689420524}
{'gen': 20, 'nevals': 268, 'min': 18418.37537480064, 'avg': 22796.96783923445}
{'gen': 21, 'nevals': 242, 'min': 18418.37537480064, 'avg': 22610.32745178097}
{'gen': 22, 'nevals': 259, 'min': 18418.37537480064, 'avg': 22275.133639340776}
{'gen': 23, 'nevals': 242, 'min': 18418.37537480064, 'avg': 21983.926027325888}
{'gen': 24, 'nevals': 250, 'min': 17900.743540669857, 'avg': 21951.99793407762}
{'gen': 25, 'nevals': 246, 'min': 17900.743540669857, 'avg': 21596.463847527913}
{'gen': 26, 'nevals': 262, 'min': 17589.967623604465, 'avg': 21331.625314619883}
{'gen': 27, 'nevals': 262, 'min': 17471.062009569378, 'avg': 21125.100717171717}
{'gen': 28, 'nevals': 248, 'min': 17471.062009569378, 'avg': 20857.18095576821}
{'gen': 29, 'nevals': 239, 'min': 17151.687240829346, 'avg': 20562.996312280702}
{'gen': 30, 'nevals': 266, 'min': 17151.687240829346, 'avg': 20371.70973556619}
{'gen': 31, 'nevals': 244, 'min': 16374.46644338118, 'avg': 20065.01628825093}
{'gen': 32, 'nevals': 254, 'min': 16374.46644338118, 'avg': 19952.780788623077}
{'gen': 33, 'nevals': 258, 'min': 16374.46644338118, 'avg': 19715.122674960126}
{'gen': 34, 'nevals': 244, 'min': 15201.604944178629, 'avg': 19338.264401807548}
{'gen': 35, 'nevals': 254, 'min': 15201.604944178629, 'avg': 19066.99813110048}
{'gen': 36, 'nevals': 254, 'min': 15201.604944178629, 'avg': 18813.62332089314}
{'gen': 37, 'nevals': 250, 'min': 15201.604944178629, 'avg': 18541.923631897927}
{'gen': 38, 'nevals': 240, 'min': 15201.604944178629, 'avg': 18238.836620627324}
{'gen': 39, 'nevals': 256, 'min': 15201.604944178629, 'avg': 18096.42793312068}
{'gen': 40, 'nevals': 256, 'min': 14571.92341307815, 'avg': 17864.199889845822}
{'gen': 41, 'nevals': 246, 'min': 14571.92341307815, 'avg': 17734.73943200425}
{'gen': 42, 'nevals': 260, 'min': 14571.92341307815, 'avg': 17520.829956725145}
{'gen': 43, 'nevals': 260, 'min': 14571.92341307815, 'avg': 17279.741898564596}
{'gen': 44, 'nevals': 252, 'min': 14571.92341307815, 'avg': 17220.578239447103}
{'gen': 45, 'nevals': 250, 'min': 14298.167368421053, 'avg': 17094.40290122275}
{'gen': 46, 'nevals': 248, 'min': 14075.784657097289, 'avg': 16982.15166007443}
{'gen': 47, 'nevals': 248, 'min': 14075.784657097289, 'avg': 16743.825516533758}
{'gen': 48, 'nevals': 248, 'min': 14006.596236044657, 'avg': 16479.587266772993}
{'gen': 49, 'nevals': 250, 'min': 13822.43990430622, 'avg': 16289.134546517811}
{'gen': 50, 'nevals': 256, 'min': 13680.375853269537, 'avg': 16153.227364593304}
{'gen': 51, 'nevals': 250, 'min': 13264.435215311005, 'avg': 15909.259731206806}
{'gen': 52, 'nevals': 244, 'min': 12864.751483253589, 'avg': 15683.968217224883}
{'gen': 53, 'nevals': 258, 'min': 12723.900669856459, 'avg': 15604.323794045722}
