{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 250, 'min': 0.9024230893246703, 'avg': 0.9197157524001185}
{'gen': 2, 'nevals': 256, 'min': 0.9014460483074228, 'avg': 0.9188599560971586}
{'gen': 3, 'nevals': 247, 'min': 0.9014460483074228, 'avg': 0.9178197987232134}
{'gen': 4, 'nevals': 258, 'min': 0.899035286822411, 'avg': 0.9173673778517047}
{'gen': 5, 'nevals': 266, 'min': 0.899035286822411, 'avg': 0.9174998477116193}
{'gen': 6, 'nevals': 256, 'min': 0.8965752763201629, 'avg': 0.9168515560192534}
{'gen': 7, 'nevals': 250, 'min': 0.8965752763201629, 'avg': 0.9161230867338982}
{'gen': 8, 'nevals': 268, 'min': 0.8965752763201629, 'avg': 0.916431187280958}
{'gen': 9, 'nevals': 244, 'min': 0.8965752763201629, 'avg': 0.9158440396601151}
{'gen': 10, 'nevals': 262, 'min': 0.8934138873467176, 'avg': 0.9150871772695416}
{'gen': 11, 'nevals': 242, 'min': 0.8934138873467176, 'avg': 0.9144888722847082}
{'gen': 12, 'nevals': 253, 'min': 0.8921674054056872, 'avg': 0.9136463461699112}
{'gen': 13, 'nevals': 250, 'min': 0.8921674054056872, 'avg': 0.9137904512958273}
{'gen': 14, 'nevals': 264, 'min': 0.8921674054056872, 'avg': 0.9138535959235522}
{'gen': 15, 'nevals': 249, 'min': 0.8921674054056872, 'avg': 0.9131779112369413}
{'gen': 16, 'nevals': 242, 'min': 0.8921674054056872, 'avg': 0.913572283671673}
{'gen': 17, 'nevals': 254, 'min': 0.8921674054056872, 'avg': 0.9135703623757674}
{'gen': 18, 'nevals': 228, 'min': 0.884409757901083, 'avg': 0.9115067522497636}
{'gen': 19, 'nevals': 251, 'min': 0.884409757901083, 'avg': 0.9107116299197776}
{'gen': 20, 'nevals': 244, 'min': 0.884409757901083, 'avg': 0.9109304730313177}
{'gen': 21, 'nevals': 257, 'min': 0.884409757901083, 'avg': 0.9094727316633615}
{'gen': 22, 'nevals': 256, 'min': 0.884409757901083, 'avg': 0.9087976146908768}
{'gen': 23, 'nevals': 250, 'min': 0.8832111014746231, 'avg': 0.908088268956951}
{'gen': 24, 'nevals': 256, 'min': 0.8832111014746231, 'avg': 0.907241084943319}
{'gen': 25, 'nevals': 243, 'min': 0.8832111014746231, 'avg': 0.9065282849206157}
{'gen': 26, 'nevals': 260, 'min': 0.8832111014746231, 'avg': 0.9054679894560248}
{'gen': 27, 'nevals': 238, 'min': 0.8832111014746231, 'avg': 0.9043700241771103}
{'gen': 28, 'nevals': 259, 'min': 0.8804312833360188, 'avg': 0.9029298712147685}
{'gen': 29, 'nevals': 256, 'min': 0.8804312833360188, 'avg': 0.9026803265167871}
{'gen': 30, 'nevals': 245, 'min': 0.8804312833360188, 'avg': 0.8999263216421628}
{'gen': 31, 'nevals': 254, 'min': 0.8788266459379143, 'avg': 0.8979393460973988}
{'gen': 32, 'nevals': 244, 'min': 0.8775469003778672, 'avg': 0.8948049446711203}
{'gen': 33, 'nevals': 246, 'min': 0.8734495520436555, 'avg': 0.8931656313105703}
{'gen': 34, 'nevals': 256, 'min': 0.8734495520436555, 'avg': 0.8915375160188164}
{'gen': 35, 'nevals': 244, 'min': 0.8696265658131902, 'avg': 0.8888488479363118}
{'gen': 36, 'nevals': 238, 'min': 0.867726123518116, 'avg': 0.8866129306658036}
{'gen': 37, 'nevals': 262, 'min': 0.867726123518116, 'avg': 0.8849043126901046}
{'gen': 38, 'nevals': 252, 'min': 0.8667780298460631, 'avg': 0.8829790250657016}
{'gen': 39, 'nevals': 257, 'min': 0.8667780298460631, 'avg': 0.8820247155607437}
{'gen': 40, 'nevals': 240, 'min': 0.8636301519174661, 'avg': 0.8801787513179202}
{'gen': 41, 'nevals': 256, 'min': 0.8627083739475061, 'avg': 0.879127611053482}
{'gen': 42, 'nevals': 259, 'min': 0.8594948027603162, 'avg': 0.8773928168368532}
{'gen': 43, 'nevals': 242, 'min': 0.8577240930933022, 'avg': 0.8758685404368369}
{'gen': 44, 'nevals': 238, 'min': 0.8577240930933022, 'avg': 0.873898399878545}
{'gen': 45, 'nevals': 256, 'min': 0.8577240930933022, 'avg': 0.8723842607040596}
{'gen': 46, 'nevals': 244, 'min': 0.8567117623632468, 'avg': 0.8706306152243131}
{'gen': 47, 'nevals': 255, 'min': 0.8530075177345569, 'avg': 0.8697172195453593}
{'gen': 48, 'nevals': 257, 'min': 0.8530075177345569, 'avg': 0.8687111450310294}
{'gen': 49, 'nevals': 250, 'min': 0.8507898261194328, 'avg': 0.8670874890757115}
{'gen': 50, 'nevals': 244, 'min': 0.8496157539858256, 'avg': 0.8655864043209333}
{'gen': 51, 'nevals': 259, 'min': 0.8496157539858256, 'avg': 0.8641225436402652}
{'gen': 52, 'nevals': 248, 'min': 0.8496157539858256, 'avg': 0.8625271171219244}
{'gen': 53, 'nevals': 254, 'min': 0.8486080317302873, 'avg': 0.8613328482868303}
{'gen': 54, 'nevals': 250, 'min': 0.845559368994606, 'avg': 0.8601192937106709}
{'gen': 55, 'nevals': 262, 'min': 0.845559368994606, 'avg': 0.8591650373677249}
{'gen': 56, 'nevals': 248, 'min': 0.8436405264508456, 'avg': 0.8581153401852676}
{'gen': 57, 'nevals': 262, 'min': 0.840219856058221, 'avg': 0.8566675528890071}
{'gen': 58, 'nevals': 250, 'min': 0.840219856058221, 'avg': 0.8553668852280019}
{'gen': 59, 'nevals': 264, 'min': 0.840219856058221, 'avg': 0.8538526442886674}
{'gen': 60, 'nevals': 253, 'min': 0.8369469915890894, 'avg': 0.8520728175478083}
{'gen': 61, 'nevals': 250, 'min': 0.835787865563396, 'avg': 0.8503049039682713}
{'gen': 62, 'nevals': 231, 'min': 0.8341481547083648, 'avg': 0.8486886013064519}
{'gen': 63, 'nevals': 264, 'min': 0.8337062180570579, 'avg': 0.8469708468351232}
{'gen': 64, 'nevals': 244, 'min': 0.8264577770813472, 'avg': 0.8456598271723093}
{'gen': 65, 'nevals': 251, 'min': 0.8264577770813472, 'avg': 0.8439671869942065}
{'gen': 66, 'nevals': 248, 'min': 0.820998174467047, 'avg': 0.8424188274096104}
{'gen': 67, 'nevals': 251, 'min': 0.820998174467047, 'avg': 0.840629802961874}
{'gen': 68, 'nevals': 248, 'min': 0.820998174467047, 'avg': 0.8386368027759958}
{'gen': 69, 'nevals': 250, 'min': 0.820998174467047, 'avg': 0.8355277173407566}
{'gen': 70, 'nevals': 250, 'min': 0.8187194327683163, 'avg': 0.833013268058963}
{'gen': 71, 'nevals': 238, 'min': 0.8153916011893396, 'avg': 0.8310359232402114}
