{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 266, 'min': 0.9060496096950508, 'avg': 0.921400118958688}
{'gen': 2, 'nevals': 255, 'min': 0.8977020755227109, 'avg': 0.919831256795814}
{'gen': 3, 'nevals': 256, 'min': 0.8977020755227109, 'avg': 0.9195254212642264}
{'gen': 4, 'nevals': 250, 'min': 0.8977020755227109, 'avg': 0.9197223779724407}
{'gen': 5, 'nevals': 254, 'min': 0.8977020755227109, 'avg': 0.9195993010179417}
{'gen': 6, 'nevals': 248, 'min': 0.8977020755227109, 'avg': 0.9196353945874557}
{'gen': 7, 'nevals': 255, 'min': 0.8975650613744526, 'avg': 0.9186948539398907}
{'gen': 8, 'nevals': 246, 'min': 0.8975650613744526, 'avg': 0.91835157306392}
{'gen': 9, 'nevals': 249, 'min': 0.8975650613744526, 'avg': 0.9183227546134504}
{'gen': 10, 'nevals': 260, 'min': 0.8975650613744526, 'avg': 0.9189373252779819}
{'gen': 11, 'nevals': 238, 'min': 0.8975650613744526, 'avg': 0.9186678935297103}
{'gen': 12, 'nevals': 254, 'min': 0.8975650613744526, 'avg': 0.918110868783488}
{'gen': 13, 'nevals': 250, 'min': 0.8975650613744526, 'avg': 0.9174741655636303}
{'gen': 14, 'nevals': 256, 'min': 0.8975650613744526, 'avg': 0.9168701222165188}
{'gen': 15, 'nevals': 256, 'min': 0.8899623550826434, 'avg': 0.9165055693194133}
{'gen': 16, 'nevals': 240, 'min': 0.8899623550826434, 'avg': 0.9162362952259483}
{'gen': 17, 'nevals': 239, 'min': 0.8899623550826434, 'avg': 0.9157470885739414}
{'gen': 18, 'nevals': 241, 'min': 0.8899623550826434, 'avg': 0.9152090564788161}
{'gen': 19, 'nevals': 266, 'min': 0.8899623550826434, 'avg': 0.914458434211816}
{'gen': 20, 'nevals': 260, 'min': 0.8899623550826434, 'avg': 0.9149667179101455}
