{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 252, 'min': 0.9060057471150261, 'avg': 0.9212525870480105}
{'gen': 2, 'nevals': 260, 'min': 0.9032248537717176, 'avg': 0.9207350749659649}
{'gen': 3, 'nevals': 261, 'min': 0.9030572061480784, 'avg': 0.9208408624365741}
{'gen': 4, 'nevals': 244, 'min': 0.8985517387553872, 'avg': 0.9200268270278775}
{'gen': 5, 'nevals': 248, 'min': 0.8985517387553872, 'avg': 0.9203614895389819}
{'gen': 6, 'nevals': 240, 'min': 0.8985517387553872, 'avg': 0.9194758846648668}
{'gen': 7, 'nevals': 240, 'min': 0.8985517387553872, 'avg': 0.9198385364883033}
{'gen': 8, 'nevals': 243, 'min': 0.8985517387553872, 'avg': 0.91942362336911}
{'gen': 9, 'nevals': 248, 'min': 0.8985517387553872, 'avg': 0.9191981230145425}
{'gen': 10, 'nevals': 238, 'min': 0.8985517387553872, 'avg': 0.9181842517030103}
{'gen': 11, 'nevals': 254, 'min': 0.898341900888557, 'avg': 0.9178501817146859}
{'gen': 12, 'nevals': 260, 'min': 0.8979596475816809, 'avg': 0.9180016641803328}
{'gen': 13, 'nevals': 242, 'min': 0.8979596475816809, 'avg': 0.9174106870430027}
{'gen': 14, 'nevals': 252, 'min': 0.8956991899793618, 'avg': 0.9173007692752373}
{'gen': 15, 'nevals': 254, 'min': 0.8956991899793618, 'avg': 0.9177026854033884}
{'gen': 16, 'nevals': 258, 'min': 0.8956991899793618, 'avg': 0.917022525988461}
{'gen': 17, 'nevals': 266, 'min': 0.8956991899793618, 'avg': 0.9174359947782307}
{'gen': 18, 'nevals': 260, 'min': 0.8956991899793618, 'avg': 0.9171728463417606}
{'gen': 19, 'nevals': 257, 'min': 0.8951119580383218, 'avg': 0.9168614462849145}
{'gen': 20, 'nevals': 248, 'min': 0.8951119580383218, 'avg': 0.9167013032516433}
{'gen': 21, 'nevals': 262, 'min': 0.8945246876087278, 'avg': 0.9161980766933144}
{'gen': 22, 'nevals': 240, 'min': 0.8945246876087278, 'avg': 0.9162322495501373}
{'gen': 23, 'nevals': 252, 'min': 0.8945246876087278, 'avg': 0.9157885510443543}
{'gen': 24, 'nevals': 246, 'min': 0.8945246876087278, 'avg': 0.9153816869580279}
{'gen': 25, 'nevals': 254, 'min': 0.8945246876087278, 'avg': 0.9150214284937215}
{'gen': 26, 'nevals': 260, 'min': 0.8945246876087278, 'avg': 0.9148410548649516}
{'gen': 27, 'nevals': 254, 'min': 0.8945246876087278, 'avg': 0.914590073379998}
{'gen': 28, 'nevals': 252, 'min': 0.8945246876087278, 'avg': 0.9145095596361369}
{'gen': 29, 'nevals': 242, 'min': 0.8945246876087278, 'avg': 0.914492466893249}
{'gen': 30, 'nevals': 248, 'min': 0.8935655318468241, 'avg': 0.9145061114136674}
{'gen': 31, 'nevals': 229, 'min': 0.8935655318468241, 'avg': 0.9142965408743596}
{'gen': 32, 'nevals': 252, 'min': 0.8935655318468241, 'avg': 0.9137080328767582}
{'gen': 33, 'nevals': 242, 'min': 0.8935655318468241, 'avg': 0.9136245966576749}
{'gen': 34, 'nevals': 250, 'min': 0.8935655318468241, 'avg': 0.9133009440690699}
{'gen': 35, 'nevals': 246, 'min': 0.8935655318468241, 'avg': 0.9132346687487467}
{'gen': 36, 'nevals': 250, 'min': 0.8935655318468241, 'avg': 0.9127655401062208}
{'gen': 37, 'nevals': 254, 'min': 0.8935655318468241, 'avg': 0.9131387914016326}
{'gen': 38, 'nevals': 252, 'min': 0.8910487476739366, 'avg': 0.9123102295656408}
{'gen': 39, 'nevals': 248, 'min': 0.8893346493367787, 'avg': 0.912981969499884}
{'gen': 40, 'nevals': 263, 'min': 0.8893346493367787, 'avg': 0.9131033150193176}
{'gen': 41, 'nevals': 242, 'min': 0.8893346493367787, 'avg': 0.9125560396161696}
{'gen': 42, 'nevals': 256, 'min': 0.8893346493367787, 'avg': 0.912230084949143}
{'gen': 43, 'nevals': 254, 'min': 0.8893346493367787, 'avg': 0.9121564661092869}
{'gen': 44, 'nevals': 256, 'min': 0.8889759189535954, 'avg': 0.912439582870752}
{'gen': 45, 'nevals': 254, 'min': 0.8889759189535954, 'avg': 0.9119362828049085}
{'gen': 46, 'nevals': 250, 'min': 0.8889759189535954, 'avg': 0.9108450075650323}
{'gen': 47, 'nevals': 253, 'min': 0.8865012442875888, 'avg': 0.9099060213891138}
{'gen': 48, 'nevals': 246, 'min': 0.8808711198351409, 'avg': 0.9088678033332561}
{'gen': 49, 'nevals': 245, 'min': 0.8808711198351409, 'avg': 0.9082218255030193}
{'gen': 50, 'nevals': 258, 'min': 0.8808711198351409, 'avg': 0.9076155405977261}
{'gen': 51, 'nevals': 266, 'min': 0.876636342659976, 'avg': 0.9064762783934619}
{'gen': 52, 'nevals': 240, 'min': 0.8730783765773575, 'avg': 0.9050537699062519}
{'gen': 53, 'nevals': 253, 'min': 0.8687848089837503, 'avg': 0.9037484703168411}
{'gen': 54, 'nevals': 232, 'min': 0.8669918582359389, 'avg': 0.9025078964424741}
{'gen': 55, 'nevals': 255, 'min': 0.8669918582359389, 'avg': 0.9016018934691715}
{'gen': 56, 'nevals': 262, 'min': 0.8669918582359389, 'avg': 0.8992617201714038}
{'gen': 57, 'nevals': 264, 'min': 0.8653733427557148, 'avg': 0.8971513416701318}
{'gen': 58, 'nevals': 256, 'min': 0.8653733427557148, 'avg': 0.8951664212525958}
{'gen': 59, 'nevals': 250, 'min': 0.8636771980450217, 'avg': 0.8925318611926286}
{'gen': 60, 'nevals': 255, 'min': 0.8572018709650611, 'avg': 0.889977593354587}
{'gen': 61, 'nevals': 258, 'min': 0.8572018709650611, 'avg': 0.8870119815911748}
{'gen': 62, 'nevals': 254, 'min': 0.8572018709650611, 'avg': 0.8850945169284397}
{'gen': 63, 'nevals': 246, 'min': 0.8572018709650611, 'avg': 0.8822226276773466}
{'gen': 64, 'nevals': 252, 'min': 0.8568164716163862, 'avg': 0.8794389390661725}
{'gen': 65, 'nevals': 240, 'min': 0.8556358580949831, 'avg': 0.8772749722995472}
{'gen': 66, 'nevals': 257, 'min': 0.8507290501729999, 'avg': 0.8752030488516649}
{'gen': 67, 'nevals': 246, 'min': 0.8507290501729999, 'avg': 0.8729562021157543}
{'gen': 68, 'nevals': 254, 'min': 0.8505178144122998, 'avg': 0.8710777565729707}
{'gen': 69, 'nevals': 264, 'min': 0.8483413661482451, 'avg': 0.8687670272443498}
{'gen': 70, 'nevals': 258, 'min': 0.845781238872651, 'avg': 0.8663341460236786}
{'gen': 71, 'nevals': 265, 'min': 0.8448456417804696, 'avg': 0.8640152720786929}
{'gen': 72, 'nevals': 264, 'min': 0.8444173919292799, 'avg': 0.8619734722862059}
{'gen': 73, 'nevals': 260, 'min': 0.8444173919292799, 'avg': 0.860243896791169}
{'gen': 74, 'nevals': 256, 'min': 0.8424616598357482, 'avg': 0.8584507824581697}
{'gen': 75, 'nevals': 256, 'min': 0.8394066487793806, 'avg': 0.85672920588857}
{'gen': 76, 'nevals': 248, 'min': 0.8394066487793806, 'avg': 0.8549591595354883}
{'gen': 77, 'nevals': 258, 'min': 0.8394066487793806, 'avg': 0.8532747837253456}
{'gen': 78, 'nevals': 248, 'min': 0.8394066487793806, 'avg': 0.851829066692529}
{'gen': 79, 'nevals': 261, 'min': 0.838425588164802, 'avg': 0.8506849819411333}
{'gen': 80, 'nevals': 247, 'min': 0.8375996595123802, 'avg': 0.8493841159388764}
{'gen': 81, 'nevals': 254, 'min': 0.8366807208502095, 'avg': 0.8481330639225002}
{'gen': 82, 'nevals': 246, 'min': 0.8366807208502095, 'avg': 0.8467625460577266}
{'gen': 83, 'nevals': 258, 'min': 0.8348035168818436, 'avg': 0.8454734551290253}
{'gen': 84, 'nevals': 251, 'min': 0.8336917127557094, 'avg': 0.8443820386028252}
{'gen': 85, 'nevals': 260, 'min': 0.8309402800695621, 'avg': 0.8431655394038865}
{'gen': 86, 'nevals': 250, 'min': 0.8308986288931819, 'avg': 0.8419488432793867}
{'gen': 87, 'nevals': 246, 'min': 0.8301856591808686, 'avg': 0.8405983577949845}
{'gen': 88, 'nevals': 247, 'min': 0.8295472428478652, 'avg': 0.8395780343736188}
{'gen': 89, 'nevals': 245, 'min': 0.8293732373163409, 'avg': 0.8385417530259577}
{'gen': 90, 'nevals': 249, 'min': 0.8284956926316897, 'avg': 0.8375039812003695}
{'gen': 91, 'nevals': 260, 'min': 0.8280094800749784, 'avg': 0.8365224662337497}
{'gen': 92, 'nevals': 258, 'min': 0.8255309433230364, 'avg': 0.8355134690258439}
{'gen': 93, 'nevals': 250, 'min': 0.8255309433230364, 'avg': 0.8346219750665007}
{'gen': 94, 'nevals': 256, 'min': 0.8250327749391644, 'avg': 0.8336651739736519}
{'gen': 95, 'nevals': 248, 'min': 0.824190714621113, 'avg': 0.8327425097238306}
{'gen': 96, 'nevals': 266, 'min': 0.8241581259117047, 'avg': 0.8317598184738942}
{'gen': 97, 'nevals': 248, 'min': 0.8234782518572253, 'avg': 0.8308290743162612}
{'gen': 98, 'nevals': 252, 'min': 0.8226087278294374, 'avg': 0.8299033522300562}
{'gen': 99, 'nevals': 246, 'min': 0.8223425129130648, 'avg': 0.8290411716686006}
{'gen': 100, 'nevals': 260, 'min': 0.8214846631370222, 'avg': 0.8282549657039452}
{'gen': 101, 'nevals': 265, 'min': 0.8214846631370222, 'avg': 0.8274871621799952}
{'gen': 102, 'nevals': 256, 'min': 0.8208740568704154, 'avg': 0.8267179268290948}
{'gen': 103, 'nevals': 250, 'min': 0.8208740568704154, 'avg': 0.8260014099411906}
{'gen': 104, 'nevals': 258, 'min': 0.8202609264199944, 'avg': 0.8253441185964903}
{'gen': 105, 'nevals': 257, 'min': 0.8201422889830701, 'avg': 0.8246797538294262}
{'gen': 106, 'nevals': 248, 'min': 0.8195260637666695, 'avg': 0.8240801145963312}
{'gen': 107, 'nevals': 253, 'min': 0.8194626280682428, 'avg': 0.8234823377027842}
{'gen': 108, 'nevals': 243, 'min': 0.8185220346575192, 'avg': 0.8229172717345915}
{'gen': 109, 'nevals': 252, 'min': 0.8185220346575192, 'avg': 0.8223631491488855}
{'gen': 110, 'nevals': 250, 'min': 0.8179486401451098, 'avg': 0.8218872431296844}
{'gen': 111, 'nevals': 249, 'min': 0.8179030975767408, 'avg': 0.8213927204345365}
{'gen': 112, 'nevals': 256, 'min': 0.8177772435616872, 'avg': 0.8209637675847902}
{'gen': 113, 'nevals': 246, 'min': 0.8176708060269329, 'avg': 0.8205430356810198}
{'gen': 114, 'nevals': 240, 'min': 0.8175303398893949, 'avg': 0.8201371826843017}
{'gen': 115, 'nevals': 258, 'min': 0.8175001766625344, 'avg': 0.8197779427098222}
{'gen': 116, 'nevals': 245, 'min': 0.8174043354175708, 'avg': 0.8194335368384228}
{'gen': 117, 'nevals': 258, 'min': 0.8170462735973466, 'avg': 0.8191161401193866}
{'gen': 118, 'nevals': 254, 'min': 0.8169257076736252, 'avg': 0.8188432724107532}
{'gen': 119, 'nevals': 250, 'min': 0.8169257076736252, 'avg': 0.8185850521164233}
{'gen': 120, 'nevals': 254, 'min': 0.8167802780282671, 'avg': 0.8183369475609177}
{'gen': 121, 'nevals': 250, 'min': 0.8166307076600251, 'avg': 0.8181022298223712}
{'gen': 122, 'nevals': 262, 'min': 0.8164168698843757, 'avg': 0.8178986452253665}
{'gen': 123, 'nevals': 245, 'min': 0.8155058917241197, 'avg': 0.8177084442214629}
{'gen': 124, 'nevals': 250, 'min': 0.8155058917241197, 'avg': 0.817521452493746}
{'gen': 125, 'nevals': 248, 'min': 0.8149762055854983, 'avg': 0.8173517373392887}
{'gen': 126, 'nevals': 240, 'min': 0.8149762055854983, 'avg': 0.8171766009744503}
{'gen': 127, 'nevals': 244, 'min': 0.8149762055854983, 'avg': 0.8170167763519375}
{'gen': 128, 'nevals': 266, 'min': 0.814660297761607, 'avg': 0.8168542246981186}
{'gen': 129, 'nevals': 247, 'min': 0.814660297761607, 'avg': 0.8166873082141859}
{'gen': 130, 'nevals': 264, 'min': 0.814660297761607, 'avg': 0.8165233427826725}
{'gen': 131, 'nevals': 254, 'min': 0.814660297761607, 'avg': 0.8163498662440772}
{'gen': 132, 'nevals': 259, 'min': 0.8146598785911636, 'avg': 0.8161713542717912}
{'gen': 133, 'nevals': 252, 'min': 0.8146217505046489, 'avg': 0.8159939354450254}
{'gen': 134, 'nevals': 262, 'min': 0.8143657727925475, 'avg': 0.8158241688541223}
{'gen': 135, 'nevals': 245, 'min': 0.8143657727925475, 'avg': 0.8156591412971321}
{'gen': 136, 'nevals': 261, 'min': 0.8143657727925475, 'avg': 0.8155000302114371}
{'gen': 137, 'nevals': 260, 'min': 0.8143657727925475, 'avg': 0.8153439035385194}
{'gen': 138, 'nevals': 256, 'min': 0.8143653676134649, 'avg': 0.8151943344804952}
{'gen': 139, 'nevals': 256, 'min': 0.8140044839435794, 'avg': 0.8150462739555644}
{'gen': 140, 'nevals': 252, 'min': 0.8139633575090559, 'avg': 0.8148995792828279}
{'gen': 141, 'nevals': 254, 'min': 0.8139633575090559, 'avg': 0.8147681285537348}
{'gen': 142, 'nevals': 243, 'min': 0.8139308161124933, 'avg': 0.814656925796611}
{'gen': 143, 'nevals': 246, 'min': 0.8136162317880636, 'avg': 0.8145634024938939}
{'gen': 144, 'nevals': 246, 'min': 0.8135130079353312, 'avg': 0.8144688672510121}
{'gen': 145, 'nevals': 264, 'min': 0.8135126027562486, 'avg': 0.8144003559794023}
{'gen': 146, 'nevals': 248, 'min': 0.8134730197479667, 'avg': 0.8143276037152365}
{'gen': 147, 'nevals': 260, 'min': 0.8134510154034312, 'avg': 0.8142513724803283}
{'gen': 148, 'nevals': 242, 'min': 0.8134180833282553, 'avg': 0.8141733546449991}
{'gen': 149, 'nevals': 252, 'min': 0.8134176781491727, 'avg': 0.8140946088333775}
{'gen': 150, 'nevals': 249, 'min': 0.8133853564038149, 'avg': 0.8140165362100409}
{'gen': 151, 'nevals': 258, 'min': 0.8133853564038149, 'avg': 0.8139404185298491}
{'gen': 152, 'nevals': 236, 'min': 0.8133853564038149, 'avg': 0.8138671249837233}
{'gen': 153, 'nevals': 254, 'min': 0.8133716643706322, 'avg': 0.8137953149287565}
{'gen': 154, 'nevals': 264, 'min': 0.8133170916187596, 'avg': 0.8137257658910408}
{'gen': 155, 'nevals': 249, 'min': 0.8133170916187596, 'avg': 0.8136574865870755}
{'gen': 156, 'nevals': 260, 'min': 0.813316686439677, 'avg': 0.8135927151580287}
{'gen': 157, 'nevals': 258, 'min': 0.8132953857454094, 'avg': 0.8135375727005141}
{'gen': 158, 'nevals': 256, 'min': 0.8132953857454094, 'avg': 0.8134911809413253}
{'gen': 159, 'nevals': 258, 'min': 0.8132953857454094, 'avg': 0.8134488471103676}
{'gen': 160, 'nevals': 250, 'min': 0.8132704681032618, 'avg': 0.8134200702183504}
{'gen': 161, 'nevals': 256, 'min': 0.8132533310007154, 'avg': 0.8133983064502393}
{'gen': 162, 'nevals': 250, 'min': 0.8132400026353716, 'avg': 0.813380573579314}
{'gen': 163, 'nevals': 246, 'min': 0.8132400026353716, 'avg': 0.8133648656124722}
{'gen': 164, 'nevals': 258, 'min': 0.8132063520518248, 'avg': 0.8133496296839121}
{'gen': 165, 'nevals': 257, 'min': 0.8129603336985491, 'avg': 0.8133346512975849}
{'gen': 166, 'nevals': 252, 'min': 0.8129435348407206, 'avg': 0.8133194396152836}
{'gen': 167, 'nevals': 240, 'min': 0.8129435348407206, 'avg': 0.8133037421355036}
{'gen': 168, 'nevals': 268, 'min': 0.8129435348407206, 'avg': 0.8132868286693399}
{'gen': 169, 'nevals': 262, 'min': 0.8129435348407206, 'avg': 0.8132688049783788}
{'gen': 170, 'nevals': 244, 'min': 0.8129435348407206, 'avg': 0.8132506560620705}
{'gen': 171, 'nevals': 244, 'min': 0.8129435348407206, 'avg': 0.813234029812738}
