{'gen': 0, 'nevals': 300, 'min': 0.9060496096950508, 'avg': 0.9222209026269758}
{'gen': 1, 'nevals': 250, 'min': 0.9024230893246703, 'avg': 0.9197157524001185}
{'gen': 2, 'nevals': 256, 'min': 0.9014460483074228, 'avg': 0.9188599560971586}
{'gen': 3, 'nevals': 253, 'min': 0.9014460483074228, 'avg': 0.9177592418156348}
{'gen': 4, 'nevals': 236, 'min': 0.9014460483074228, 'avg': 0.917189052321018}
{'gen': 5, 'nevals': 239, 'min': 0.9014460483074228, 'avg': 0.9176691483368664}
{'gen': 6, 'nevals': 265, 'min': 0.8968796332961823, 'avg': 0.9174688449504989}
{'gen': 7, 'nevals': 242, 'min': 0.8931836553024564, 'avg': 0.9162149718413543}
{'gen': 8, 'nevals': 260, 'min': 0.8931836553024564, 'avg': 0.9163902917265614}
{'gen': 9, 'nevals': 246, 'min': 0.8931836553024564, 'avg': 0.915919710289815}
{'gen': 10, 'nevals': 244, 'min': 0.8931836553024564, 'avg': 0.9159739683736305}
{'gen': 11, 'nevals': 248, 'min': 0.8931836553024564, 'avg': 0.9153153647626479}
{'gen': 12, 'nevals': 250, 'min': 0.8931836553024564, 'avg': 0.9148146974059921}
{'gen': 13, 'nevals': 240, 'min': 0.8931836553024564, 'avg': 0.9150953889599799}
{'gen': 14, 'nevals': 250, 'min': 0.8931836553024564, 'avg': 0.915018262638038}
{'gen': 15, 'nevals': 260, 'min': 0.8931836553024564, 'avg': 0.9142509074727893}
{'gen': 16, 'nevals': 252, 'min': 0.8931836553024564, 'avg': 0.9140389434375759}
{'gen': 17, 'nevals': 262, 'min': 0.892911151916672, 'avg': 0.9130589081173315}
{'gen': 18, 'nevals': 246, 'min': 0.892911151916672, 'avg': 0.9125542479895823}
{'gen': 19, 'nevals': 258, 'min': 0.892911151916672, 'avg': 0.9122471500470999}
{'gen': 20, 'nevals': 243, 'min': 0.892911151916672, 'avg': 0.9119644574603081}
{'gen': 21, 'nevals': 248, 'min': 0.8927123339486989, 'avg': 0.9113058476381495}
{'gen': 22, 'nevals': 262, 'min': 0.8908272948503458, 'avg': 0.9112944105045673}
{'gen': 23, 'nevals': 256, 'min': 0.8906711225616518, 'avg': 0.9103009591404138}
{'gen': 24, 'nevals': 248, 'min': 0.8906711225616518, 'avg': 0.9099806357517377}
{'gen': 25, 'nevals': 262, 'min': 0.8888197790483017, 'avg': 0.909253210434778}
{'gen': 26, 'nevals': 261, 'min': 0.8888197790483017, 'avg': 0.9086519725181859}
{'gen': 27, 'nevals': 247, 'min': 0.8863072131839881, 'avg': 0.9079219006986641}
{'gen': 28, 'nevals': 252, 'min': 0.8863072131839881, 'avg': 0.9065661162316729}
{'gen': 29, 'nevals': 266, 'min': 0.8863072131839881, 'avg': 0.9059886342487035}
{'gen': 30, 'nevals': 260, 'min': 0.8861439882100167, 'avg': 0.9048597892323003}
{'gen': 31, 'nevals': 268, 'min': 0.8798559591884005, 'avg': 0.9036123157538518}
{'gen': 32, 'nevals': 255, 'min': 0.8798559591884005, 'avg': 0.9021198417540061}
{'gen': 33, 'nevals': 252, 'min': 0.8798559591884005, 'avg': 0.8994233801903636}
{'gen': 34, 'nevals': 254, 'min': 0.8746514866528249, 'avg': 0.8971338374434803}
{'gen': 35, 'nevals': 250, 'min': 0.8746514866528249, 'avg': 0.8951184082386896}
{'gen': 36, 'nevals': 248, 'min': 0.8746514866528249, 'avg': 0.8935603789589169}
{'gen': 37, 'nevals': 250, 'min': 0.8746514866528249, 'avg': 0.8913331171477314}
{'gen': 38, 'nevals': 253, 'min': 0.8713603331330168, 'avg': 0.8898797797613524}
{'gen': 39, 'nevals': 254, 'min': 0.8713603331330168, 'avg': 0.889287137294571}
{'gen': 40, 'nevals': 244, 'min': 0.8713603331330168, 'avg': 0.888269063122151}
{'gen': 41, 'nevals': 254, 'min': 0.8673601613772303, 'avg': 0.8861508970874657}
{'gen': 42, 'nevals': 264, 'min': 0.8673601613772303, 'avg': 0.885197803349814}
{'gen': 43, 'nevals': 248, 'min': 0.8660903703885858, 'avg': 0.8828867395949915}
{'gen': 44, 'nevals': 260, 'min': 0.8660903703885858, 'avg': 0.8815570292024476}
{'gen': 45, 'nevals': 256, 'min': 0.866006837068961, 'avg': 0.8799849441365482}
{'gen': 46, 'nevals': 254, 'min': 0.860366701306025, 'avg': 0.8780694874451128}
{'gen': 47, 'nevals': 244, 'min': 0.8582127245275728, 'avg': 0.8771136301749944}
{'gen': 48, 'nevals': 260, 'min': 0.8582127245275728, 'avg': 0.8753739387585973}
{'gen': 49, 'nevals': 262, 'min': 0.8550382215432134, 'avg': 0.8744353933810334}
{'gen': 50, 'nevals': 247, 'min': 0.8550382215432134, 'avg': 0.8726178549915202}
{'gen': 51, 'nevals': 249, 'min': 0.8545890507571561, 'avg': 0.8709510479573749}
{'gen': 52, 'nevals': 240, 'min': 0.8536338021642305, 'avg': 0.8700438160161842}
{'gen': 53, 'nevals': 256, 'min': 0.8464684372491852, 'avg': 0.8684926737969988}
{'gen': 54, 'nevals': 264, 'min': 0.8464684372491852, 'avg': 0.8670371374969846}
{'gen': 55, 'nevals': 264, 'min': 0.8464684372491852, 'avg': 0.8656381006583284}
{'gen': 56, 'nevals': 260, 'min': 0.8461881177779317, 'avg': 0.8641593076635642}
{'gen': 57, 'nevals': 256, 'min': 0.8461881177779317, 'avg': 0.8628948131996409}
{'gen': 58, 'nevals': 256, 'min': 0.8455999433106162, 'avg': 0.8618404001084191}
{'gen': 59, 'nevals': 252, 'min': 0.8378607225893211, 'avg': 0.8600705932221081}
{'gen': 60, 'nevals': 260, 'min': 0.8378607225893211, 'avg': 0.8583666245979366}
{'gen': 61, 'nevals': 258, 'min': 0.8378607225893211, 'avg': 0.8567169425832901}
{'gen': 62, 'nevals': 258, 'min': 0.8378607225893211, 'avg': 0.855504621221836}
{'gen': 63, 'nevals': 260, 'min': 0.8378607225893211, 'avg': 0.8544890858548381}
{'gen': 64, 'nevals': 254, 'min': 0.8373273730080105, 'avg': 0.8529368992487776}
{'gen': 65, 'nevals': 246, 'min': 0.8327756055877081, 'avg': 0.8515911957813906}
{'gen': 66, 'nevals': 259, 'min': 0.8327756055877081, 'avg': 0.8497193839719661}
{'gen': 67, 'nevals': 251, 'min': 0.8327756055877081, 'avg': 0.8482476199101021}
{'gen': 68, 'nevals': 252, 'min': 0.8252549795666466, 'avg': 0.8463606664563884}
{'gen': 69, 'nevals': 260, 'min': 0.8239773254124052, 'avg': 0.8449856236989465}
{'gen': 70, 'nevals': 256, 'min': 0.8239773254124052, 'avg': 0.8431653258151606}
{'gen': 71, 'nevals': 254, 'min': 0.8221013190456818, 'avg': 0.8406618826281064}
