{'gen': 0, 'nevals': 500, 'min': 24029.469633173845, 'avg': 28870.36051700159}
{'gen': 1, 'nevals': 424, 'min': 23930.9673046252, 'avg': 28236.709613907497}
{'gen': 2, 'nevals': 433, 'min': 23047.421722488038, 'avg': 27614.753614354067}
{'gen': 3, 'nevals': 436, 'min': 22637.471802232856, 'avg': 27332.159041275918}
{'gen': 4, 'nevals': 431, 'min': 22637.471802232856, 'avg': 26990.06323444976}
{'gen': 5, 'nevals': 436, 'min': 21789.07183413078, 'avg': 26628.354482870815}
{'gen': 6, 'nevals': 436, 'min': 21576.625263157894, 'avg': 26319.87235266348}
{'gen': 7, 'nevals': 414, 'min': 21576.625263157894, 'avg': 25913.45235617225}
{'gen': 8, 'nevals': 439, 'min': 20950.97620414673, 'avg': 25706.24607891547}
{'gen': 9, 'nevals': 438, 'min': 20950.97620414673, 'avg': 25447.67429952153}
{'gen': 10, 'nevals': 428, 'min': 20472.336267942585, 'avg': 25226.705911132372}
{'gen': 11, 'nevals': 436, 'min': 20472.336267942585, 'avg': 25136.80040325359}
{'gen': 12, 'nevals': 428, 'min': 20085.8950877193, 'avg': 24941.37024848485}
{'gen': 13, 'nevals': 444, 'min': 20085.8950877193, 'avg': 24848.922299202553}
{'gen': 14, 'nevals': 447, 'min': 20085.8950877193, 'avg': 24582.092024880378}
{'gen': 15, 'nevals': 448, 'min': 19984.033429027113, 'avg': 24359.94765626794}
{'gen': 16, 'nevals': 423, 'min': 19984.033429027113, 'avg': 24165.722591578946}
{'gen': 17, 'nevals': 418, 'min': 17839.342998405104, 'avg': 23959.965241722486}
{'gen': 18, 'nevals': 420, 'min': 17839.342998405104, 'avg': 23695.32991476874}
{'gen': 19, 'nevals': 419, 'min': 17839.342998405104, 'avg': 23434.05488095694}
{'gen': 20, 'nevals': 428, 'min': 17839.342998405104, 'avg': 23196.233453460925}
{'gen': 21, 'nevals': 428, 'min': 17839.342998405104, 'avg': 23037.3538985008}
{'gen': 22, 'nevals': 438, 'min': 17839.342998405104, 'avg': 22857.356107304626}
{'gen': 23, 'nevals': 442, 'min': 17839.342998405104, 'avg': 22714.949618564595}
{'gen': 24, 'nevals': 428, 'min': 17839.342998405104, 'avg': 22529.652597384367}
{'gen': 25, 'nevals': 441, 'min': 17684.29272727273, 'avg': 22294.69445658692}
{'gen': 26, 'nevals': 440, 'min': 17684.29272727273, 'avg': 22096.183527783094}
{'gen': 27, 'nevals': 426, 'min': 17684.29272727273, 'avg': 22016.050413779907}
{'gen': 28, 'nevals': 434, 'min': 17684.29272727273, 'avg': 21880.621120063795}
{'gen': 29, 'nevals': 456, 'min': 17684.29272727273, 'avg': 21706.19858213716}
{'gen': 30, 'nevals': 431, 'min': 17684.29272727273, 'avg': 21643.87076982456}
{'gen': 31, 'nevals': 429, 'min': 17684.29272727273, 'avg': 21320.265753620417}
{'gen': 32, 'nevals': 432, 'min': 17433.373046251992, 'avg': 21071.23397952153}
{'gen': 33, 'nevals': 436, 'min': 16973.290590111643, 'avg': 20885.48582475279}
{'gen': 34, 'nevals': 438, 'min': 16973.290590111643, 'avg': 20690.466312982455}
{'gen': 35, 'nevals': 443, 'min': 16973.290590111643, 'avg': 20411.92719955343}
{'gen': 36, 'nevals': 434, 'min': 16707.967719298245, 'avg': 20076.71396874003}
{'gen': 37, 'nevals': 423, 'min': 16707.967719298245, 'avg': 19821.92715062201}
{'gen': 38, 'nevals': 432, 'min': 16302.267559808612, 'avg': 19579.686232344495}
{'gen': 39, 'nevals': 432, 'min': 16224.199011164274, 'avg': 19306.95699955343}
{'gen': 40, 'nevals': 431, 'min': 16224.199011164274, 'avg': 19141.303443572568}
{'gen': 41, 'nevals': 412, 'min': 16015.794003189792, 'avg': 18857.69543215311}
{'gen': 42, 'nevals': 446, 'min': 15185.94133971292, 'avg': 18738.912590685806}
{'gen': 43, 'nevals': 429, 'min': 15185.94133971292, 'avg': 18626.503207336522}
{'gen': 44, 'nevals': 435, 'min': 15185.94133971292, 'avg': 18610.303085933014}
{'gen': 45, 'nevals': 438, 'min': 15185.94133971292, 'avg': 18351.399278022327}
{'gen': 46, 'nevals': 449, 'min': 15185.94133971292, 'avg': 18164.911574226477}
{'gen': 47, 'nevals': 440, 'min': 14896.363859649124, 'avg': 18009.713487081342}
