{'gen': 0, 'nevals': 300, 'min': 18122.14410601266, 'avg': 29426.633335574898}
{'gen': 1, 'nevals': 248, 'min': 17284.666930379746, 'avg': 26671.481253757913}
{'gen': 2, 'nevals': 261, 'min': 16476.05326344937, 'avg': 25174.03565664557}
{'gen': 3, 'nevals': 248, 'min': 13059.048575949368, 'avg': 23534.27265743671}
{'gen': 4, 'nevals': 259, 'min': 13059.048575949368, 'avg': 22711.833862803272}
{'gen': 5, 'nevals': 257, 'min': 13059.048575949368, 'avg': 21652.521328059072}
{'gen': 6, 'nevals': 268, 'min': 13059.048575949368, 'avg': 20674.351876384495}
{'gen': 7, 'nevals': 252, 'min': 12317.966356803798, 'avg': 19512.853132515822}
{'gen': 8, 'nevals': 261, 'min': 11421.591337025317, 'avg': 18825.7752595596}
{'gen': 9, 'nevals': 237, 'min': 9268.850118670885, 'avg': 17750.86044732331}
{'gen': 10, 'nevals': 241, 'min': 9268.850118670885, 'avg': 16957.256592101792}
{'gen': 11, 'nevals': 251, 'min': 9124.270826740507, 'avg': 16009.254497890299}
{'gen': 12, 'nevals': 252, 'min': 9124.270826740507, 'avg': 15257.853092299578}
{'gen': 13, 'nevals': 261, 'min': 9124.270826740507, 'avg': 14728.15295767405}
{'gen': 14, 'nevals': 252, 'min': 9042.313844936709, 'avg': 13726.784737935126}
{'gen': 15, 'nevals': 258, 'min': 7642.490110759493, 'avg': 13012.6875503692}
{'gen': 16, 'nevals': 269, 'min': 7642.490110759493, 'avg': 12427.9130443038}
{'gen': 17, 'nevals': 261, 'min': 7546.719897151898, 'avg': 11666.611773931962}
{'gen': 18, 'nevals': 263, 'min': 6602.08536392405, 'avg': 11227.170480814872}
{'gen': 19, 'nevals': 262, 'min': 6602.08536392405, 'avg': 10528.610516086497}
{'gen': 20, 'nevals': 250, 'min': 6602.08536392405, 'avg': 10075.349260021098}
{'gen': 21, 'nevals': 251, 'min': 6602.08536392405, 'avg': 9624.396745253165}
{'gen': 22, 'nevals': 257, 'min': 6602.08536392405, 'avg': 9250.181484572786}
{'gen': 23, 'nevals': 253, 'min': 6480.125949367089, 'avg': 9001.157593618143}
{'gen': 24, 'nevals': 264, 'min': 6342.58963607595, 'avg': 8821.671008702531}
{'gen': 25, 'nevals': 254, 'min': 6106.411095727848, 'avg': 8466.372864912975}
{'gen': 26, 'nevals': 247, 'min': 6023.8373615506325, 'avg': 8157.647782898207}
{'gen': 27, 'nevals': 263, 'min': 6023.8373615506325, 'avg': 7880.315214530589}
{'gen': 28, 'nevals': 258, 'min': 5728.710779272152, 'avg': 7654.741220530063}
{'gen': 29, 'nevals': 254, 'min': 5728.710779272152, 'avg': 7463.246004812764}
{'gen': 30, 'nevals': 261, 'min': 5728.710779272152, 'avg': 7189.531913370254}
{'gen': 31, 'nevals': 254, 'min': 5625.598299050633, 'avg': 7012.375186049578}
{'gen': 32, 'nevals': 255, 'min': 5571.552630537974, 'avg': 6897.658132845464}
{'gen': 33, 'nevals': 263, 'min': 5525.033603639241, 'avg': 6731.243768723629}
{'gen': 34, 'nevals': 253, 'min': 5284.153777689873, 'avg': 6618.625434335443}
{'gen': 35, 'nevals': 238, 'min': 5284.153777689873, 'avg': 6421.760451740506}
{'gen': 36, 'nevals': 272, 'min': 5284.153777689873, 'avg': 6247.044915545886}
{'gen': 37, 'nevals': 258, 'min': 5169.6153876582275, 'avg': 6114.951009427742}
{'gen': 38, 'nevals': 239, 'min': 5169.6153876582275, 'avg': 5923.613321598101}
{'gen': 39, 'nevals': 258, 'min': 5139.702749208861, 'avg': 5895.026426160337}
{'gen': 40, 'nevals': 254, 'min': 5115.887776898734, 'avg': 5807.969506395041}
{'gen': 41, 'nevals': 251, 'min': 4982.327037183544, 'avg': 5716.83582318038}
{'gen': 42, 'nevals': 244, 'min': 4862.762757120253, 'avg': 5646.796056962025}
{'gen': 43, 'nevals': 265, 'min': 4862.762757120253, 'avg': 5540.373392207278}
{'gen': 44, 'nevals': 256, 'min': 4806.4525712025315, 'avg': 5467.696476859177}
{'gen': 45, 'nevals': 253, 'min': 4806.4525712025315, 'avg': 5381.5719611023205}
{'gen': 46, 'nevals': 256, 'min': 4716.643591772152, 'avg': 5291.485855287447}
{'gen': 47, 'nevals': 255, 'min': 4678.425454905063, 'avg': 5224.097164359177}
{'gen': 48, 'nevals': 255, 'min': 4645.873338607595, 'avg': 5162.722073707806}
{'gen': 49, 'nevals': 232, 'min': 4613.575257120253, 'avg': 5058.926595068566}
{'gen': 50, 'nevals': 265, 'min': 4522.358287183544, 'avg': 4980.545933478375}
{'gen': 51, 'nevals': 257, 'min': 4522.358287183544, 'avg': 4889.556447521098}
{'gen': 52, 'nevals': 263, 'min': 4518.279133702532, 'avg': 4828.8547830959915}
{'gen': 53, 'nevals': 264, 'min': 4452.490625, 'avg': 4772.053583267406}
{'gen': 54, 'nevals': 260, 'min': 4356.652511867089, 'avg': 4722.3570356671935}
{'gen': 55, 'nevals': 250, 'min': 4356.652511867089, 'avg': 4653.533599419831}
{'gen': 56, 'nevals': 259, 'min': 4280.018651107595, 'avg': 4608.580644712553}
{'gen': 57, 'nevals': 252, 'min': 4242.911748417721, 'avg': 4556.229123285865}
{'gen': 58, 'nevals': 261, 'min': 4183.283920094937, 'avg': 4513.691637856013}
{'gen': 59, 'nevals': 254, 'min': 4168.764537183544, 'avg': 4467.1157993802735}
{'gen': 60, 'nevals': 250, 'min': 4117.320510284811, 'avg': 4418.7489198971525}
{'gen': 61, 'nevals': 261, 'min': 4115.399723101265, 'avg': 4382.309932687236}
{'gen': 62, 'nevals': 258, 'min': 4091.7643789556964, 'avg': 4324.165534216772}
{'gen': 63, 'nevals': 259, 'min': 4079.812045094937, 'avg': 4266.019188818565}
{'gen': 64, 'nevals': 263, 'min': 4072.0819620253164, 'avg': 4219.693551160337}
{'gen': 65, 'nevals': 260, 'min': 4040.422132120253, 'avg': 4181.854781381857}
{'gen': 66, 'nevals': 257, 'min': 4011.239537183544, 'avg': 4150.81521077268}
{'gen': 67, 'nevals': 269, 'min': 4006.1441455696204, 'avg': 4123.241870187237}
{'gen': 68, 'nevals': 258, 'min': 3985.8010284810125, 'avg': 4103.569775316456}
{'gen': 69, 'nevals': 262, 'min': 3967.709216772152, 'avg': 4078.736708135549}
{'gen': 70, 'nevals': 254, 'min': 3944.58417721519, 'avg': 4053.406501780064}
{'gen': 71, 'nevals': 255, 'min': 3916.2259098101267, 'avg': 4033.6277784810122}
