{'gen': 0, 'nevals': 800, 'min': 0.9222676854735595, 'avg': 0.9444833856463417}
{'gen': 1, 'nevals': 692, 'min': 0.9222676854735595, 'avg': 0.9427685413687376}
{'gen': 2, 'nevals': 703, 'min': 0.9222676854735595, 'avg': 0.9421388360379737}
{'gen': 3, 'nevals': 692, 'min': 0.9222676854735595, 'avg': 0.9417372234678137}
{'gen': 4, 'nevals': 720, 'min': 0.9222676854735595, 'avg': 0.9416589919625471}
{'gen': 5, 'nevals': 699, 'min': 0.9222676854735595, 'avg': 0.9416266594206565}
{'gen': 6, 'nevals': 710, 'min': 0.9222676854735595, 'avg': 0.9414484523672962}
{'gen': 7, 'nevals': 703, 'min': 0.9222676854735595, 'avg': 0.9408077510084921}
{'gen': 8, 'nevals': 710, 'min': 0.9222676854735595, 'avg': 0.941125112648481}
{'gen': 9, 'nevals': 699, 'min': 0.9222676854735595, 'avg': 0.9407946534199303}
{'gen': 10, 'nevals': 714, 'min': 0.9205941755593858, 'avg': 0.9406454798639021}
{'gen': 11, 'nevals': 695, 'min': 0.9205941755593858, 'avg': 0.9407846326870005}
{'gen': 12, 'nevals': 698, 'min': 0.9205941755593858, 'avg': 0.940785895232683}
{'gen': 13, 'nevals': 711, 'min': 0.9201554553986104, 'avg': 0.940748873665155}
{'gen': 14, 'nevals': 696, 'min': 0.9201554553986104, 'avg': 0.9401978039042789}
{'gen': 15, 'nevals': 704, 'min': 0.9201554553986104, 'avg': 0.9401847463945511}
{'gen': 16, 'nevals': 709, 'min': 0.9201554553986104, 'avg': 0.9402229886039131}
{'gen': 17, 'nevals': 712, 'min': 0.9201554553986104, 'avg': 0.940087776570298}
{'gen': 18, 'nevals': 688, 'min': 0.9201554553986104, 'avg': 0.9397287010047283}
{'gen': 19, 'nevals': 708, 'min': 0.9201554553986104, 'avg': 0.9398998332432533}
{'gen': 20, 'nevals': 691, 'min': 0.9186169153352923, 'avg': 0.9395766091121578}
{'gen': 21, 'nevals': 692, 'min': 0.9186169153352923, 'avg': 0.9394483475704615}
{'gen': 22, 'nevals': 724, 'min': 0.9186169153352923, 'avg': 0.9392496007072012}
{'gen': 23, 'nevals': 688, 'min': 0.9186169153352923, 'avg': 0.939125634470026}
{'gen': 24, 'nevals': 678, 'min': 0.9186169153352923, 'avg': 0.9390901767206858}
{'gen': 25, 'nevals': 709, 'min': 0.9186169153352923, 'avg': 0.9391505224964692}
{'gen': 26, 'nevals': 708, 'min': 0.9154875518007778, 'avg': 0.9392519932050771}
{'gen': 27, 'nevals': 702, 'min': 0.9154875518007778, 'avg': 0.9392031473514215}
{'gen': 28, 'nevals': 686, 'min': 0.9154875518007778, 'avg': 0.9390634137855955}
{'gen': 29, 'nevals': 717, 'min': 0.9154875518007778, 'avg': 0.9385050435086296}
{'gen': 30, 'nevals': 702, 'min': 0.9154875518007778, 'avg': 0.939087809616381}
{'gen': 31, 'nevals': 694, 'min': 0.9154875518007778, 'avg': 0.9383306633378007}
{'gen': 32, 'nevals': 701, 'min': 0.9154875518007778, 'avg': 0.9385943251393901}
{'gen': 33, 'nevals': 717, 'min': 0.9154875518007778, 'avg': 0.9383977121038263}
{'gen': 34, 'nevals': 722, 'min': 0.9154875518007778, 'avg': 0.938439861290633}
{'gen': 35, 'nevals': 709, 'min': 0.9154875518007778, 'avg': 0.9381186402337721}
{'gen': 36, 'nevals': 704, 'min': 0.915140354230628, 'avg': 0.9381391289924388}
{'gen': 37, 'nevals': 709, 'min': 0.915140354230628, 'avg': 0.9379714427816761}
{'gen': 38, 'nevals': 704, 'min': 0.915140354230628, 'avg': 0.9378591712860396}
{'gen': 39, 'nevals': 722, 'min': 0.9142427062840596, 'avg': 0.9376169124856562}
{'gen': 40, 'nevals': 704, 'min': 0.9142427062840596, 'avg': 0.9372776268000399}
{'gen': 41, 'nevals': 716, 'min': 0.9142427062840596, 'avg': 0.9374383965558529}
{'gen': 42, 'nevals': 702, 'min': 0.9142427062840596, 'avg': 0.9368654899982546}
{'gen': 43, 'nevals': 695, 'min': 0.9142427062840596, 'avg': 0.9374297173924694}
