gen,nevals,time,min,avg
0,250,0.0322,103540.0,108201.804
1,209,0.2538,103540.0,107163.212
2,215,0.4798,101968.0,106297.028
3,216,0.7093,101968.0,105342.696
4,208,0.9133,101449.0,104549.66
5,217,1.1351,99291.0,103866.108
6,214,1.3604,99291.0,103163.768
7,210,1.5664,99391.0,102519.424
8,213,1.775,98926.0,101863.128
9,220,2.0004,97930.0,101390.72
10,207,2.2015,97258.0,100757.724
11,209,2.4053,96316.0,99969.884
12,216,2.6069,95824.0,99266.712
13,211,2.8119,93964.0,98675.816
14,217,3.0209,93652.0,97924.88
15,212,3.2239,93652.0,97158.704
16,220,3.4353,93123.0,96360.088
17,216,3.6411,92435.0,95635.328
18,209,3.8453,92385.0,94887.312
19,219,4.0609,91294.0,94406.644
20,214,4.2715,90587.0,93697.868
21,215,4.4755,90090.0,93046.96
22,214,4.6854,89393.0,92414.792
23,213,4.8955,89093.0,91784.2
24,207,5.0902,87927.0,91170.416
25,210,5.2935,87539.0,90456.936
26,214,5.5087,87539.0,89833.268
27,215,5.7249,86441.0,89229.772
28,206,5.9262,86190.0,88675.368
29,218,6.1368,85844.0,88115.604
30,211,6.3447,85194.0,87438.896
31,210,6.5477,83930.0,86807.728
32,220,6.8037,82966.0,86224.724
33,206,7.0042,82673.0,85685.168
34,215,7.2308,82371.0,85125.764
35,222,7.447,82132.0,84617.604
36,207,7.6528,81916.0,83933.836
37,216,7.8634,80929.0,83368.124
38,215,8.0697,80415.0,82887.68
39,215,8.2728,80295.0,82274.64
40,213,8.488,79753.0,81769.24
41,214,8.697,78951.0,81220.972
42,211,8.8945,77967.0,80783.944
43,212,9.0944,77961.0,80271.852
44,201,9.2924,76803.0,79800.076
45,217,9.4977,76803.0,79185.628
46,210,9.6957,76116.0,78715.944
47,208,9.9008,75745.0,78161.588
48,221,10.1114,74807.0,77608.628
49,217,10.3203,74356.0,77033.216
50,214,10.5296,74343.0,76431.42
51,209,10.7323,73295.0,75866.688
52,217,10.9354,72410.0,75349.988
53,204,11.1336,72410.0,74745.944
54,211,11.3381,71882.0,74186.472
55,209,11.5355,71103.0,73690.74
56,213,11.7476,70413.0,73178.556
57,220,11.9586,70413.0,72724.88
58,213,12.1628,70044.0,72302.108
59,211,12.3729,69991.0,71796.452
60,219,12.5919,69135.0,71291.14
61,209,12.7936,68452.0,70790.612
62,211,12.9918,68256.0,70393.172
63,217,13.2037,67307.0,69832.396
64,212,13.4035,66757.0,69370.304
65,218,13.6255,66757.0,68977.972
66,212,13.8337,65849.0,68467.44
67,212,14.0327,65849.0,67933.788
68,216,14.2488,65849.0,67521.104
69,221,14.4643,65287.0,67127.192
70,211,14.6634,64778.0,66787.984
71,211,14.8711,64025.0,66397.152
72,214,15.0803,63593.0,65948.216
73,215,15.2728,63369.0,65425.532
74,217,15.4886,63369.0,65099.968
75,216,15.6925,63129.0,64681.092
76,213,15.8999,62292.0,64283.176
77,213,16.1056,62006.0,63899.056
78,216,16.3107,61373.0,63536.968
79,213,16.5198,61106.0,63187.424
80,215,16.7267,60871.0,62835.792
81,209,16.9391,60593.0,62410.244
82,216,17.1461,60535.0,62030.94
83,211,17.366,60012.0,61588.264
84,214,17.583,59679.0,61213.14
85,212,17.7886,59205.0,60903.7
86,215,18.0016,59047.0,60532.348
87,211,18.2098,58682.0,60165.308
88,211,18.4138,58224.0,59863.724
89,204,18.6169,57861.0,59503.152
90,214,18.8161,57430.0,59099.32
91,209,19.0217,57056.0,58719.432
92,216,19.237,56648.0,58417.016
93,207,19.4415,56005.0,58031.936
94,217,19.6586,56005.0,57651.144
95,209,19.8568,55662.0,57307.124
96,214,20.0678,55349.0,57003.692
97,212,20.2696,54890.0,56594.44
98,208,20.4744,54805.0,56156.06
99,215,20.6901,54110.0,55771.044
100,217,20.8993,53925.0,55396.364
101,217,21.4086,53334.0,54984.856
102,209,21.6043,52863.0,54584.56
103,213,21.8175,52752.0,54298.116
104,213,22.0356,52405.0,53888.836
105,216,22.2522,51585.0,53512.268
106,212,22.4741,51585.0,53162.448
107,215,22.696,51625.0,52830.104
108,217,22.9387,51009.0,52497.948
109,216,23.1754,50242.0,52124.516
110,217,23.417,50242.0,51713.712
111,217,23.6476,49801.0,51394.952
112,212,23.8577,49781.0,51127.488
113,216,24.0913,49396.0,50835.352
114,217,24.3164,49089.0,50525.08
115,208,24.5472,49089.0,50275.016
116,215,24.7769,48904.0,50024.036
117,212,25.0021,48556.0,49709.624
118,210,25.2093,48200.0,49397.384
119,212,25.4257,47920.0,49144.624
120,208,25.6273,47480.0,48861.576
121,213,25.8511,47120.0,48634.672
122,214,26.0822,46826.0,48352.24
123,216,26.3245,46678.0,48044.02
124,217,26.5665,46543.0,47713.636
125,213,26.796,46183.0,47403.124
126,213,27.0229,46027.0,47112.932
127,212,27.2701,45748.0,46829.38
128,212,27.5095,45629.0,46554.336
129,219,27.7564,45342.0,46324.496
130,221,28.0065,45006.0,46060.584
131,210,28.2281,44918.0,45782.84
132,220,28.483,44437.0,45547.976
133,217,28.7226,44391.0,45323.484
134,206,28.9227,43942.0,45049.908
135,218,29.1468,43549.0,44822.012
136,215,29.3611,43527.0,44587.348
137,214,29.5746,43282.0,44345.412
138,210,29.8199,42932.0,44114.664
139,212,30.0629,42483.0,43841.74
140,214,30.2932,42304.0,43594.012
141,210,30.5021,42083.0,43272.176
142,215,30.7107,41965.0,42997.168
143,215,30.9227,41631.0,42772.768
144,212,31.1461,41578.0,42515.88
145,220,31.3732,41149.0,42277.764
146,207,31.5718,41017.0,42033.772
147,213,31.7914,40685.0,41837.656
148,210,32.0065,40685.0,41604.992
149,203,32.2144,40507.0,41375.204
150,217,32.4352,40402.0,41156.48
151,214,32.6596,40220.0,40960.548
152,217,32.8959,39960.0,40764.016
153,216,33.1348,39477.0,40610.984
154,209,33.3641,39472.0,40434.372
155,216,33.5974,39375.0,40255.276
156,219,33.8211,38936.0,40034.604
157,209,34.0359,38850.0,39839.144
158,215,34.2556,38834.0,39685.952
159,216,34.4777,38670.0,39473.252
160,216,34.6927,38509.0,39281.868
161,213,34.9154,38295.0,39076.988
162,218,35.1384,37964.0,38890.364
163,218,35.3651,37964.0,38681.456
164,214,35.5814,37572.0,38470.124
165,215,35.7984,37242.0,38295.612
166,213,36.0064,37165.0,38090.476
167,212,36.2243,37165.0,37916.468
168,217,36.4526,36729.0,37721.148
169,212,36.6754,36729.0,37531.592
170,216,36.8964,36774.0,37370.912
171,211,37.1132,36577.0,37206.636
172,219,37.3351,36370.0,37054.684
173,218,37.5609,36306.0,36885.26
174,213,37.7769,35985.0,36725.176
175,217,38.009,35938.0,36581.216
176,208,38.2174,35748.0,36399.804
177,217,38.4551,35748.0,36247.312
178,214,38.7077,35481.0,36076.312
179,212,38.9333,35258.0,35949.444
180,220,39.1675,35211.0,35845.18
181,213,39.3913,34904.0,35707.94
182,215,39.6096,34838.0,35551.56
183,208,39.8302,34452.0,35416.184
184,213,40.0533,34452.0,35281.132
185,216,40.2779,34452.0,35145.372
186,214,40.4904,34375.0,35008.88
187,221,40.7266,34261.0,34866.78
188,217,40.969,34144.0,34706.476
189,211,41.1935,33975.0,34540.376
190,208,41.4447,33928.0,34407.712
191,208,41.6798,33727.0,34288.288
192,213,41.9195,33562.0,34153.592
193,214,42.1697,33544.0,34036.42
194,212,42.3952,33406.0,33890.168
195,213,42.6098,33263.0,33739.408
196,213,42.828,33097.0,33604.104
197,211,43.0542,32960.0,33464.804
198,216,43.2944,32813.0,33345.14
199,211,43.5055,32813.0,33220.956
200,216,43.7255,32545.0,33100.952
201,210,44.0706,32487.0,32985.632
202,215,44.2907,32335.0,32876.972
203,208,44.529,32331.0,32763.512
204,212,44.7593,32175.0,32672.352
205,214,44.9864,32175.0,32566.984
206,222,45.2442,32091.0,32477.372
207,213,45.4718,32043.0,32370.86
208,221,45.6942,31720.0,32270.944
209,215,45.9066,31720.0,32179.26
210,212,46.1266,31716.0,32093.032
211,222,46.3434,31564.0,31991.492
212,213,46.5538,31476.0,31899.672
213,215,46.7798,31454.0,31813.68
214,213,46.9929,31396.0,31725.332
215,216,47.2092,31247.0,31646.14
216,216,47.4317,31196.0,31554.952
217,218,47.6562,31107.0,31476.428
218,208,47.8631,31035.0,31401.32
219,209,48.1058,31035.0,31326.408
220,215,48.349,30841.0,31249.664
221,214,48.562,30841.0,31157.404
222,218,48.7881,30764.0,31089.268
223,209,48.9976,30645.0,31008.74
224,218,49.2124,30514.0,30922.056
225,215,49.4376,30514.0,30842.924
226,215,49.6532,30442.0,30776.588
227,216,49.8701,30429.0,30709.204
228,215,50.0864,30355.0,30633.232
229,216,50.3045,30309.0,30567.168
230,203,50.5086,30221.0,30485.516
231,212,50.7097,30167.0,30422.952
232,216,50.9338,30121.0,30361.88
233,215,51.1482,30085.0,30302.24
234,215,51.3586,30022.0,30243.396
235,213,51.5659,29894.0,30185.42
