gen,nevals,time,min,avg
0,250,0.0328,103540.0,108201.804
1,211,0.09,103540.0,107171.204
2,218,0.1464,102603.0,106396.828
3,219,0.2001,102603.0,105638.584
4,211,0.2516,101004.0,104823.872
5,214,0.307,100002.0,104216.848
6,203,0.3554,100002.0,103470.844
7,216,0.417,98647.0,102802.068
8,217,0.4708,98396.0,101996.26
9,206,0.5234,98035.0,101215.816
10,212,0.5718,97166.0,100521.82
11,212,0.6265,96430.0,99859.648
12,216,0.6839,96241.0,99137.332
13,212,0.7337,95202.0,98534.988
14,212,0.7844,94749.0,97998.028
15,211,0.8328,94461.0,97397.544
16,210,0.8811,93078.0,96679.604
17,213,0.9378,92926.0,96019.476
18,219,0.9912,93027.0,95489.084
19,219,1.0442,90837.0,94980.544
20,222,1.1008,90837.0,94305.936
21,213,1.1532,90716.0,93684.436
22,216,1.2023,90383.0,92971.72
23,218,1.2561,89602.0,92296.308
24,213,1.3044,88630.0,91726.3
25,212,1.3556,87322.0,91128.02
26,213,1.4068,87322.0,90494.74
27,213,1.457,87195.0,89811.64
28,211,1.5052,85286.0,89206.372
29,215,1.5571,85286.0,88502.576
30,214,1.6075,85133.0,87987.208
31,209,1.6555,85035.0,87461.012
32,214,1.7098,84231.0,86782.944
33,211,1.7576,84215.0,86171.844
34,213,1.8095,83577.0,85710.712
35,217,1.8552,82667.0,85200.344
36,211,1.9091,81435.0,84688.364
37,216,1.9604,81435.0,84256.584
38,213,2.0112,80429.0,83508.028
39,215,2.0617,80429.0,82921.156
40,211,2.108,80025.0,82299.704
41,209,2.1579,79136.0,81744.256
42,214,2.2095,78134.0,81197.976
43,219,2.2593,78134.0,80593.94
44,212,2.3083,77861.0,80048.632
45,211,2.3549,77173.0,79547.6
46,212,2.4064,76692.0,79057.448
47,218,2.4587,76106.0,78427.812
48,213,2.5095,75427.0,77809.072
49,215,2.5654,75137.0,77252.492
50,211,2.6178,73901.0,76676.088
51,219,2.6689,72582.0,76151.16
52,215,2.7188,72582.0,75619.04
53,208,2.7685,73035.0,75193.776
54,221,2.8165,72746.0,74784.344
55,209,2.8679,72094.0,74337.52
56,215,2.9171,72003.0,73910.376
57,211,2.9656,71203.0,73448.732
58,212,3.0186,71203.0,72983.824
59,218,3.0695,70543.0,72591.672
60,212,3.1223,70179.0,72168.784
61,213,3.172,69889.0,71707.216
62,212,3.2276,69657.0,71286.932
63,216,3.2837,68893.0,70870.532
64,219,3.3343,68471.0,70419.62
65,219,3.3846,67484.0,69999.192
66,215,3.4372,66662.0,69525.068
67,207,3.4896,66282.0,68951.9
68,211,3.5414,66282.0,68437.044
69,211,3.5917,66257.0,68106.944
70,213,3.6475,65790.0,67630.696
71,217,3.7018,65429.0,67138.684
72,211,3.7538,64852.0,66631.636
73,212,3.8056,64121.0,66141.224
74,210,3.8583,64121.0,65701.512
75,218,3.9085,62976.0,65351.544
76,215,3.9615,62976.0,64929.28
77,209,4.021,62697.0,64515.42
78,217,4.0735,62452.0,64092.852
79,214,4.1258,61930.0,63702.476
80,217,4.1784,61525.0,63266.116
81,215,4.2303,60729.0,62800.412
82,213,4.2836,60316.0,62429.184
83,211,4.3326,60058.0,61969.608
84,218,4.384,59538.0,61556.984
85,223,4.4344,59538.0,61177.436
86,214,4.4819,58731.0,60842.3
87,217,4.5367,58310.0,60520.048
88,212,4.5846,58310.0,60113.404
89,215,4.6395,58072.0,59584.66
90,216,4.6926,57456.0,59138.64
91,211,4.7463,56964.0,58743.784
92,217,4.7973,56855.0,58374.448
93,211,4.8453,56168.0,58010.152
94,218,4.8995,56168.0,57537.084
95,211,4.9492,55749.0,57139.704
96,210,4.9992,55370.0,56791.2
97,217,5.0479,54779.0,56381.876
98,212,5.0975,54533.0,56027.192
99,213,5.1404,53730.0,55665.992
100,213,5.1942,53730.0,55283.032
101,215,5.5282,53222.0,54895.984
102,214,5.5784,52711.0,54499.588
103,208,5.6302,52711.0,54186.564
104,216,5.6785,52123.0,53845.656
105,220,5.7258,51270.0,53434.54
106,218,5.7776,51270.0,53144.468
107,214,5.8256,51270.0,52775.804
108,213,5.8727,50538.0,52396.2
109,217,5.9248,50538.0,52015.224
110,210,5.9742,50471.0,51670.856
111,215,6.0237,49959.0,51307.492
112,209,6.0707,49778.0,51010.812
113,213,6.1182,49648.0,50717.428
114,209,6.1699,49411.0,50464.1
115,210,6.2195,48860.0,50186.328
116,215,6.2638,48546.0,49889.696
117,215,6.3174,48475.0,49580.108
118,213,6.3681,48238.0,49339.396
119,210,6.4157,47767.0,49053.744
120,215,6.4659,47767.0,48829.448
121,208,6.5179,47257.0,48530.62
122,215,6.5691,46630.0,48250.768
123,216,6.6181,46630.0,48039.232
124,218,6.6664,46347.0,47764.44
125,206,6.7117,46202.0,47476.764
126,217,6.7584,45920.0,47245.496
127,215,6.8126,45518.0,46943.692
128,214,6.8677,45510.0,46643.26
129,213,6.9268,45345.0,46402.196
130,211,6.9776,45078.0,46129.42
131,216,7.0305,44875.0,45852.328
132,218,7.0807,44480.0,45567.844
133,210,7.1267,44163.0,45323.512
134,212,7.2118,43958.0,45039.78
135,219,7.287,43802.0,44743.568
136,213,7.3506,43677.0,44500.056
137,215,7.4479,43315.0,44268.372
138,213,7.5077,43050.0,44048.576
139,213,7.5782,42800.0,43795.612
140,215,7.6407,42591.0,43573.472
141,214,7.6971,42201.0,43320.48
142,210,7.7656,42111.0,43071.384
143,219,7.8267,41745.0,42838.2
144,210,7.8864,41659.0,42619.664
145,214,7.9458,41546.0,42404.572
146,214,8.0051,41309.0,42172.78
147,211,8.0651,40892.0,41936.612
148,213,8.1348,40736.0,41716.788
149,217,8.1939,40572.0,41505.592
150,213,8.2444,40500.0,41312.96
151,210,8.2943,40291.0,41111.516
152,216,8.3462,40085.0,40915.584
153,214,8.3944,39887.0,40713.604
154,214,8.4526,39770.0,40494.696
155,220,8.5096,39596.0,40264.568
156,215,8.5636,39226.0,40065.556
157,210,8.6142,39215.0,39870.308
158,212,8.6649,38769.0,39697.448
159,216,8.7215,38769.0,39483.288
160,214,8.7714,38774.0,39305.66
161,217,8.8263,38593.0,39140.108
162,218,8.8794,38312.0,38993.544
163,213,8.9312,38134.0,38808.156
164,214,8.9821,38043.0,38646.448
165,206,9.0345,37844.0,38466.056
166,214,9.0954,37585.0,38305.42
167,217,9.1538,37403.0,38147.344
168,217,9.2118,37369.0,37991.516
169,218,9.2748,37192.0,37842.508
170,207,9.3294,37162.0,37697.624
171,208,9.3834,36706.0,37540.74
172,213,9.4417,36661.0,37385.06
173,215,9.4986,36608.0,37210.72
174,217,9.5633,36438.0,37044.956
175,213,9.6238,36306.0,36891.708
176,214,9.6742,35943.0,36753.548
177,212,9.7259,35943.0,36599.768
178,207,9.778,35885.0,36446.404
179,216,9.8291,35678.0,36319.644
180,216,9.8859,35653.0,36161.26
181,213,9.9541,35564.0,36066.34
182,216,10.008,35324.0,35943.052
183,212,10.0627,35192.0,35792.54
184,215,10.1138,35190.0,35643.952
185,220,10.1653,34924.0,35501.688
186,214,10.2152,34840.0,35378.204
187,213,10.2729,34816.0,35232.216
188,220,10.3348,34621.0,35108.264
189,209,10.4029,34497.0,34972.992
190,214,10.4596,34414.0,34846.524
191,211,10.519,34142.0,34744.176
192,210,10.5742,34142.0,34622.108
193,214,10.6245,34086.0,34522.636
194,217,10.677,33972.0,34386.032
195,212,10.7294,33869.0,34290.432
196,219,10.7799,33753.0,34194.832
197,219,10.8306,33702.0,34113.808
198,211,10.8815,33447.0,33999.16
199,207,10.9317,33507.0,33887.692
200,217,10.988,33297.0,33799.512
201,220,11.1576,33297.0,33662.232
202,215,11.2176,33204.0,33552.288
203,212,11.2701,33152.0,33464.6
204,206,11.3222,32909.0,33379.216
205,211,11.3725,32909.0,33285.488
206,215,11.4234,32888.0,33202.104
207,202,11.4712,32828.0,33122.152
208,218,11.5218,32694.0,33058.4
209,218,11.5713,32588.0,32972.104
210,212,11.6171,32530.0,32889.392
211,208,11.6641,32492.0,32796.852
212,203,11.7106,32402.0,32710.54
213,219,11.7568,32212.0,32641.576
214,216,11.8067,32212.0,32565.132
215,208,11.853,32212.0,32492.516
216,215,11.9,32063.0,32416.584
217,216,11.9521,32036.0,32340.604
218,217,12.0025,31961.0,32253.956
219,215,12.0525,31874.0,32175.872
220,219,12.1043,31851.0,32107.54
221,206,12.1521,31799.0,32041.952
222,214,12.1998,31773.0,31981.588
223,218,12.2503,31666.0,31914.028
224,217,12.2991,31608.0,31846.508
225,218,12.348,31594.0,31788.748
226,211,12.3976,31436.0,31719.896
227,220,12.45,31379.0,31656.092
228,211,12.4993,31299.0,31594.228
229,212,12.5485,31291.0,31522.512
230,220,12.5994,31187.0,31462.392
231,214,12.6472,31170.0,31403.392
232,209,12.6978,31132.0,31356.312
233,217,12.7452,31055.0,31305.532
234,212,12.7929,31029.0,31249.248
235,211,12.8422,30972.0,31188.732
236,215,12.8931,30826.0,31144.248
237,213,12.943,30826.0,31093.648
238,216,12.9917,30822.0,31039.56
239,208,13.0376,30822.0,30994.92
240,221,13.089,30748.0,30947.14
241,210,13.1344,30716.0,30892.772
242,218,13.187,30617.0,30841.392
243,218,13.237,30611.0,30783.588
244,206,13.286,30538.0,30737.94
245,217,13.3424,30499.0,30680.652
246,210,13.4074,30481.0,30637.9
247,208,13.4682,30417.0,30595.984
248,211,13.5285,30369.0,30559.624
249,218,13.5886,30359.0,30512.532
250,210,13.6401,30325.0,30475.98
251,207,13.7259,30275.0,30432.052
252,214,13.8043,30262.0,30389.736
253,214,13.8817,30211.0,30357.564
254,215,14.0059,30193.0,30317.124
255,216,14.078,30164.0,30282.868
256,210,14.1409,30113.0,30246.616
257,217,14.2099,30076.0,30215.744
258,202,14.2747,30020.0,30183.568
259,204,14.3296,30020.0,30151.572
260,217,14.3826,29992.0,30118.644
261,214,14.4352,29968.0,30089.872
262,213,14.4893,29935.0,30061.992
263,211,14.5438,29927.0,30033.692
264,218,14.5915,29875.0,30005.204
265,207,14.6551,29853.0,29982.236
266,220,14.7122,29836.0,29957.176
267,213,14.7649,29825.0,29925.732
268,216,14.8158,29789.0,29898.692
269,214,14.8656,29780.0,29874.06
270,217,14.918,29750.0,29848.344
271,215,14.967,29711.0,29822.428
272,221,15.0176,29667.0,29790.752
273,211,15.0678,29625.0,29765.624
274,216,15.1191,29616.0,29731.12
275,208,15.1711,29568.0,29701.488
276,215,15.2177,29538.0,29665.82
277,216,15.2668,29520.0,29638.532
278,216,15.3099,29489.0,29607.816
279,216,15.3614,29446.0,29576.904
280,207,15.4077,29426.0,29550.22
281,218,15.4557,29423.0,29518.26
282,216,15.5088,29351.0,29493.164
283,207,15.5594,29339.0,29465.876
284,216,15.6057,29323.0,29432.224
285,209,15.6543,29293.0,29401.836
286,210,15.703,29244.0,29375.824
287,208,15.7487,29241.0,29347.976
288,215,15.8023,29165.0,29322.392
289,218,15.8539,29161.0,29293.588
290,212,15.903,29157.0,29268.088
291,211,15.9499,29125.0,29241.984
292,216,15.999,29077.0,29216.636
293,213,16.0474,29071.0,29188.932
294,216,16.0982,28997.0,29160.044
295,212,16.1487,28997.0,29128.592
296,213,16.1999,28983.0,29101.408
297,214,16.2556,28958.0,29071.444
298,208,16.3134,28958.0,29045.12
299,209,16.3726,28920.0,29017.164
300,209,16.425,28902.0,28995.968
301,216,16.599,28855.0,28971.64
302,210,16.6585,28822.0,28944.056
303,212,16.7271,28806.0,28913.28
304,211,16.7809,28788.0,28888.864
305,217,16.8341,28746.0,28864.18
306,212,16.8863,28746.0,28833.516
307,211,16.9449,28701.0,28809.916
308,215,17.0055,28667.0,28784.912
309,207,17.0595,28653.0,28755.272
310,214,17.1156,28634.0,28725.948
311,215,17.1663,28602.0,28700.504
312,217,17.2128,28591.0,28677.1
313,207,17.2598,28569.0,28659.032
314,212,17.3078,28515.0,28635.7
315,216,17.3618,28494.0,28614.844
316,213,17.4112,28480.0,28593.652
317,211,17.4604,28479.0,28571.184
318,216,17.5095,28447.0,28547.808
319,210,17.5596,28426.0,28523.252
320,205,17.6055,28368.0,28499.212
321,202,17.6529,28368.0,28477.404
322,211,17.7007,28359.0,28454.88
323,209,17.7489,28338.0,28429.592
324,216,17.7973,28296.0,28402.976
325,216,17.8464,28288.0,28380.508
326,205,17.8939,28249.0,28355.596
327,208,17.9429,28245.0,28333.0
328,213,17.991,28191.0,28308.26
329,214,18.0408,28191.0,28285.968
330,207,18.0911,28168.0,28258.292
331,215,18.1424,28148.0,28237.82
332,213,18.1898,28136.0,28215.524
333,216,18.2414,28095.0,28195.92
334,216,18.2934,28083.0,28176.144
335,208,18.3397,28019.0,28155.224
336,213,18.3905,28019.0,28132.136
337,218,18.438,27996.0,28104.076
338,211,18.4848,27947.0,28076.328
339,210,18.5299,27934.0,28047.696
340,211,18.5811,27913.0,28022.856
341,204,18.6301,27868.0,27993.292
342,213,18.683,27868.0,27970.352
343,215,18.73,27824.0,27940.736
344,219,18.7798,27824.0,27914.368
345,217,18.8308,27762.0,27887.912
346,214,18.8783,27741.0,27866.788
347,215,18.9327,27741.0,27844.484
348,213,18.9821,27744.0,27825.808
349,217,19.0401,27714.0,27807.76
350,214,19.1007,27684.0,27787.312
351,217,19.161,27684.0,27767.736
352,217,19.2193,27650.0,27746.852
353,207,19.2708,27632.0,27725.592
354,214,19.3304,27594.0,27700.584
355,213,19.4073,27567.0,27676.0
356,215,19.46,27539.0,27648.512
357,215,19.517,27515.0,27624.276
358,217,19.583,27478.0,27593.036
359,216,19.6428,27478.0,27567.12
360,216,19.7038,27413.0,27540.532
361,214,19.7592,27409.0,27509.952
362,210,19.8107,27369.0,27485.488
363,210,19.8578,27314.0,27455.812
364,218,19.91,27291.0,27427.84
365,219,19.9617,27265.0,27400.968
366,213,20.0125,27233.0,27367.34
367,209,20.0676,27232.0,27335.404
368,212,20.1213,27193.0,27308.116
369,215,20.1705,27188.0,27276.664
370,212,20.2216,27167.0,27249.092
371,211,20.2713,27096.0,27225.108
372,208,20.3194,27096.0,27200.344
373,217,20.3707,27078.0,27174.464
374,212,20.4187,27044.0,27147.268
375,213,20.469,27024.0,27125.012
376,212,20.5184,26998.0,27100.276
377,215,20.5683,26978.0,27079.644
378,213,20.6175,26978.0,27055.156
379,212,20.6644,26976.0,27038.764
380,212,20.7303,26933.0,27022.756
381,212,20.7855,26901.0,27001.636
382,217,20.8385,26901.0,26981.4
383,211,20.887,26849.0,26963.716
384,216,20.9374,26849.0,26943.924
