gen,nevals,time,min,avg
0,250,0.0501,33038.0,34192.276
1,212,0.5121,32972.0,33978.988
2,216,1.014,32343.0,33712.672
3,219,1.5196,32343.0,33567.472
4,219,2.0066,31963.0,33465.876
5,214,2.4864,31963.0,33318.768
6,207,2.9689,31963.0,33198.212
7,216,3.5157,31810.0,33092.1
8,214,4.0421,31810.0,32960.72
9,212,4.5187,31716.0,32798.096
10,218,5.0162,31698.0,32704.828
11,215,5.4803,31698.0,32630.576
12,214,5.9403,31522.0,32483.544
13,211,6.3814,31522.0,32322.24
14,215,6.8356,31046.0,32251.992
15,213,7.2962,31046.0,32186.648
16,212,7.756,31041.0,32030.404
17,215,8.2642,31103.0,31866.468
18,218,8.7546,30892.0,31744.9
19,219,9.2408,30787.0,31585.04
20,213,9.7164,30556.0,31482.84
21,214,10.1805,30362.0,31374.544
22,220,10.6577,30192.0,31223.896
23,217,11.128,30149.0,31125.52
24,216,11.5877,30094.0,30977.224
25,209,12.0376,29643.0,30841.488
26,221,12.5329,29570.0,30678.132
27,217,13.0315,29570.0,30545.172
28,217,13.5641,29543.0,30399.324
29,218,14.0294,29498.0,30218.464
30,212,14.5047,29349.0,30104.184
31,210,14.9523,28838.0,29963.152
32,219,15.4353,28838.0,29867.104
33,216,15.916,28838.0,29700.624
34,217,16.4047,28842.0,29557.768
35,217,16.9017,28534.0,29459.724
36,213,17.405,28367.0,29335.568
37,208,17.883,28367.0,29222.664
38,214,18.3685,28322.0,29096.468
39,210,18.84,28251.0,28998.124
40,218,19.3604,28031.0,28877.392
41,215,19.8146,27932.0,28730.696
42,217,20.2984,27733.0,28546.56
43,211,20.7729,27677.0,28389.884
44,211,21.2398,27476.0,28226.504
45,219,21.7807,27409.0,28131.88
46,216,22.2661,27214.0,27991.152
47,212,22.7464,27151.0,27872.896
48,219,23.2271,27075.0,27740.828
49,221,23.7293,26916.0,27603.304
50,215,24.2004,26703.0,27469.78
51,215,24.667,26703.0,27382.832
52,215,25.1132,26556.0,27250.76
53,211,25.5642,26456.0,27104.848
54,216,26.0236,26367.0,26995.228
55,212,26.4841,26171.0,26864.352
56,221,26.9914,26111.0,26739.064
57,217,27.4481,25995.0,26617.192
58,212,27.9095,25917.0,26511.368
59,214,28.3788,25759.0,26368.004
60,204,28.8262,25651.0,26270.288
61,213,29.2841,25515.0,26190.492
62,215,29.735,25421.0,26052.688
63,203,30.1667,25319.0,25936.956
64,215,30.6627,25157.0,25820.332
65,214,31.1343,25038.0,25739.26
66,213,31.5843,25038.0,25611.384
67,213,32.0417,24841.0,25508.112
68,206,32.518,24829.0,25404.292
69,217,33.0112,24660.0,25304.624
70,218,33.486,24571.0,25180.372
71,211,33.9377,24543.0,25077.988
72,214,34.3918,24382.0,24984.748
73,208,34.8111,24382.0,24876.976
74,209,35.2654,24166.0,24768.564
75,220,35.7455,23942.0,24647.288
76,215,36.2123,23899.0,24520.736
77,212,36.6619,23845.0,24397.912
78,209,37.1015,23571.0,24276.352
79,210,37.5612,23571.0,24198.416
80,214,38.031,23525.0,24073.156
81,215,38.4979,23338.0,23966.296
82,212,38.9627,23274.0,23853.108
83,214,39.4254,23140.0,23711.244
84,218,39.8863,22950.0,23616.232
85,220,40.3858,22950.0,23481.496
86,217,40.856,22937.0,23383.44
87,217,41.3306,22635.0,23302.016
88,214,41.7956,22611.0,23200.22
89,217,42.2832,22358.0,23074.84
90,209,42.7296,22358.0,22953.332
91,215,43.2018,22347.0,22838.632
92,221,43.6997,22255.0,22748.2
93,218,44.179,22090.0,22628.28
94,216,44.6261,22002.0,22512.712
95,215,45.0785,21792.0,22406.996
96,214,45.5386,21688.0,22294.444
97,214,46.0092,21688.0,22186.18
98,217,46.4791,21554.0,22058.016
99,219,46.958,21435.0,21944.864
100,215,47.4219,21261.0,21853.336
101,213,48.2327,21261.0,21765.092
102,214,48.7023,21145.0,21656.972
103,206,49.1437,21064.0,21575.14
104,215,49.62,20808.0,21460.46
105,205,50.0599,20808.0,21359.032
106,210,50.5148,20848.0,21269.74
107,209,51.0189,20788.0,21191.128
108,215,51.4975,20723.0,21108.216
109,214,51.9889,20617.0,21029.428
110,214,52.4594,20531.0,20937.984
111,204,52.9064,20460.0,20846.684
112,214,53.3875,20377.0,20779.984
113,214,53.859,20227.0,20685.972
114,216,54.3419,20195.0,20568.828
115,215,54.8104,20040.0,20467.448
116,207,55.2718,19960.0,20383.296
117,206,55.7237,19876.0,20290.14
118,211,56.1765,19759.0,20208.328
119,213,56.6512,19759.0,20143.356
120,213,57.1387,19572.0,20069.512
121,214,57.601,19573.0,19985.044
122,215,58.0935,19423.0,19885.888
123,217,58.5837,19335.0,19800.572
124,211,59.0593,19325.0,19717.144
125,212,59.5233,19172.0,19623.388
126,216,59.9894,19172.0,19532.636
127,223,60.4859,19049.0,19452.212
128,214,61.0003,19017.0,19371.388
129,215,61.4833,18919.0,19289.064
130,217,61.9653,18872.0,19206.892
131,212,62.4466,18778.0,19128.98
132,216,62.9225,18657.0,19063.92
133,211,63.448,18554.0,18975.344
134,207,63.9049,18554.0,18876.488
135,210,64.4371,18486.0,18821.072
136,211,64.9754,18463.0,18750.388
137,222,65.4884,18347.0,18693.668
138,207,65.9394,18347.0,18623.26
139,219,66.4384,18183.0,18546.452
140,212,66.9246,18183.0,18486.636
141,215,67.413,18145.0,18417.956
142,202,67.9307,17994.0,18350.584
143,210,68.4229,17985.0,18285.472
144,214,68.9394,17894.0,18220.068
145,220,69.4648,17847.0,18151.98
146,220,69.9767,17834.0,18099.1
147,211,70.4774,17620.0,18031.212
148,214,70.9663,17620.0,17964.964
149,208,71.446,17621.0,17898.944
150,221,71.9678,17484.0,17841.008
151,208,72.4235,17484.0,17776.92
152,211,72.8926,17428.0,17714.992
153,210,73.3514,17317.0,17656.86
154,213,73.8256,17264.0,17585.752
155,217,74.3213,17189.0,17531.036
156,212,74.8359,17153.0,17472.076
157,211,75.3829,17100.0,17404.272
158,216,75.8665,17036.0,17347.476
159,209,76.3455,17036.0,17285.588
160,209,76.8211,16987.0,17230.704
161,209,77.3164,16903.0,17179.312
162,213,77.8184,16759.0,17112.144
163,214,78.34,16759.0,17042.284
164,212,78.8389,16718.0,16986.392
165,213,79.3265,16712.0,16931.772
166,221,79.901,16607.0,16868.496
167,208,80.3877,16573.0,16818.624
168,215,80.8826,16545.0,16759.3
169,217,81.3938,16473.0,16705.132
170,211,81.8831,16401.0,16652.44
171,212,82.3892,16384.0,16603.016
