gen,nevals,time,min,avg
0,250,0.0577,33038.0,34192.276
1,212,0.4648,32972.0,33978.988
2,216,0.9234,32343.0,33712.672
3,219,1.388,32343.0,33567.472
4,219,1.8036,31963.0,33465.876
5,214,2.2097,31963.0,33318.768
6,207,2.6042,31963.0,33198.212
7,216,3.0335,31810.0,33092.1
8,214,3.4629,31810.0,32960.72
9,212,3.88,31716.0,32798.096
10,218,4.3069,31698.0,32704.828
11,215,4.7052,31698.0,32630.576
12,214,5.098,31522.0,32483.544
13,211,5.4753,31522.0,32322.24
14,215,5.8777,31046.0,32251.992
15,213,6.2665,31046.0,32186.648
16,212,6.6485,31041.0,32030.404
17,215,7.0506,31103.0,31866.468
18,218,7.4743,30892.0,31744.9
19,219,7.8903,30787.0,31585.04
20,213,8.2932,30556.0,31482.84
21,214,8.7272,30362.0,31374.544
22,220,9.1501,30192.0,31223.896
23,217,9.5778,30149.0,31125.52
24,216,9.9817,30094.0,30977.224
25,209,10.3799,29643.0,30841.488
26,221,10.8099,29570.0,30678.132
27,217,11.2192,29570.0,30545.172
28,217,11.6368,29543.0,30399.324
29,218,12.034,29498.0,30218.464
30,212,12.4346,29349.0,30104.184
31,210,12.8161,28838.0,29963.152
32,219,13.2158,28838.0,29867.104
33,216,13.6135,28838.0,29700.624
34,217,14.0341,28842.0,29557.768
35,217,14.4561,28534.0,29459.724
36,213,14.8604,28367.0,29335.568
37,208,15.2551,28367.0,29222.664
38,214,15.6526,28322.0,29096.468
39,210,16.047,28251.0,28998.124
40,218,16.4683,28031.0,28877.392
41,215,16.8484,27932.0,28730.696
42,217,17.2625,27733.0,28546.56
43,211,17.658,27677.0,28389.884
44,211,18.0807,27476.0,28226.504
45,219,18.5137,27409.0,28131.88
46,216,18.9307,27214.0,27991.152
47,212,19.3462,27151.0,27872.896
48,219,19.7676,27075.0,27740.828
49,221,20.1929,26916.0,27603.304
50,215,20.5947,26703.0,27469.78
51,215,20.9976,26703.0,27382.832
52,215,21.3916,26556.0,27250.76
53,211,21.7844,26456.0,27104.848
54,216,22.1844,26367.0,26995.228
55,212,22.5783,26171.0,26864.352
56,221,22.9918,26111.0,26739.064
57,217,23.3865,25995.0,26617.192
58,212,23.7873,25917.0,26511.368
59,214,24.1995,25759.0,26368.004
60,204,24.6001,25651.0,26270.288
61,213,25.0004,25515.0,26190.492
62,215,25.396,25421.0,26052.688
63,203,25.7732,25319.0,25936.956
64,215,26.2061,25157.0,25820.332
65,214,26.6154,25038.0,25739.26
66,213,27.0069,25038.0,25611.384
67,213,27.4018,24841.0,25508.112
68,206,27.8144,24829.0,25404.292
69,217,28.2511,24660.0,25304.624
70,218,28.6766,24571.0,25180.372
71,211,29.0669,24543.0,25077.988
72,214,29.4923,24382.0,24984.748
73,208,29.8674,24382.0,24876.976
74,209,30.2608,24166.0,24768.564
75,220,30.6768,23942.0,24647.288
76,215,31.0729,23899.0,24520.736
77,212,31.47,23845.0,24397.912
78,209,31.8516,23571.0,24276.352
79,210,32.2498,23571.0,24198.416
80,214,32.6648,23525.0,24073.156
81,215,33.071,23338.0,23966.296
82,212,33.5406,23274.0,23853.108
83,214,34.0116,23140.0,23711.244
84,218,34.461,22950.0,23616.232
85,220,34.9657,22950.0,23481.496
86,217,35.4241,22937.0,23383.44
87,217,35.8643,22635.0,23302.016
88,214,36.2955,22611.0,23200.22
89,217,36.7314,22358.0,23074.84
90,209,37.1426,22358.0,22953.332
91,215,37.61,22347.0,22838.632
92,221,38.1262,22255.0,22748.2
93,218,38.6116,22090.0,22628.28
94,216,39.0656,22002.0,22512.712
95,215,39.5355,21792.0,22406.996
96,214,40.0073,21688.0,22294.444
97,214,40.4623,21688.0,22186.18
98,217,40.9675,21554.0,22058.016
99,219,41.4742,21435.0,21944.864
100,215,41.9433,21261.0,21853.336
101,213,42.9399,21261.0,21765.092
102,214,43.4132,21145.0,21656.972
103,206,43.8708,21064.0,21575.14
104,215,44.3278,20808.0,21460.46
105,205,44.7618,20808.0,21359.032
106,210,45.2149,20848.0,21269.74
107,209,45.6581,20788.0,21191.128
108,215,46.0907,20723.0,21108.216
109,214,46.5609,20617.0,21029.428
110,214,47.0562,20531.0,20937.984
111,204,47.4935,20460.0,20846.684
112,214,48.0005,20377.0,20779.984
113,214,48.4712,20227.0,20685.972
114,216,48.9294,20195.0,20568.828
115,215,49.363,20040.0,20467.448
116,207,49.7955,19960.0,20383.296
117,206,50.2343,19876.0,20290.14
118,211,50.6741,19759.0,20208.328
119,213,51.1216,19759.0,20143.356
120,213,51.5871,19572.0,20069.512
121,214,52.0433,19573.0,19985.044
122,215,52.5069,19423.0,19885.888
123,217,52.9448,19335.0,19800.572
124,211,53.3829,19325.0,19717.144
125,212,53.811,19172.0,19623.388
126,216,54.2781,19172.0,19532.636
127,223,54.7481,19049.0,19452.212
128,214,55.2029,19017.0,19371.388
129,215,55.6661,18919.0,19289.064
130,217,56.1191,18872.0,19206.892
131,212,56.5676,18778.0,19128.98
132,216,57.0207,18657.0,19063.92
133,211,57.4685,18554.0,18975.344
134,207,57.8864,18554.0,18876.488
135,210,58.3186,18486.0,18821.072
136,211,58.7348,18463.0,18750.388
137,222,59.1756,18347.0,18693.668
138,207,59.6104,18347.0,18623.26
139,219,60.0848,18183.0,18546.452
140,212,60.5461,18183.0,18486.636
141,215,61.0148,18145.0,18417.956
142,202,61.4478,17994.0,18350.584
143,210,61.8587,17985.0,18285.472
144,214,62.2893,17894.0,18220.068
145,220,62.7456,17847.0,18151.98
146,220,63.1947,17834.0,18099.1
147,211,63.6434,17620.0,18031.212
148,214,64.0861,17620.0,17964.964
149,208,64.5128,17621.0,17898.944
150,221,64.9835,17484.0,17841.008
151,208,65.4217,17484.0,17776.92
152,211,65.872,17428.0,17714.992
153,210,66.3024,17317.0,17656.86
154,213,66.7686,17264.0,17585.752
155,217,67.2221,17189.0,17531.036
156,212,67.6561,17153.0,17472.076
157,211,68.0972,17100.0,17404.272
