gen,nevals,time,min,avg
0,250,0.0586,124506.0,130319.144
1,210,0.5881,123836.0,128941.584
2,214,1.1479,123232.0,127791.632
3,216,1.7621,121845.0,126742.388
4,216,2.3126,121280.0,125879.2
5,216,2.8682,120072.0,124772.58
6,216,3.4449,119397.0,123859.368
7,218,4.0062,117934.0,123002.856
8,218,4.6227,116234.0,122403.452
9,214,5.2037,116234.0,121756.992
10,211,5.7244,116234.0,120804.248
11,210,6.246,115624.0,119824.204
12,218,6.8354,114441.0,119043.52
13,211,7.3598,114441.0,118315.424
14,215,7.8841,111987.0,117608.104
15,217,8.4305,110658.0,116665.66
16,213,8.9553,110658.0,115772.692
17,210,9.4833,110164.0,114851.688
18,213,10.0054,109470.0,114111.344
19,218,10.544,107984.0,113191.912
20,201,11.0543,107984.0,112107.472
21,214,11.5897,105883.0,111264.96
22,211,12.1192,106022.0,110342.056
23,217,12.652,104928.0,109468.984
24,210,13.1659,104332.0,108617.2
25,218,13.7144,103741.0,107760.284
26,210,14.2479,101704.0,106923.872
27,209,14.7708,101704.0,106339.16
28,209,15.3177,100774.0,105582.028
29,222,15.9027,100774.0,104883.736
30,215,16.4295,99372.0,104177.008
31,214,16.9435,99255.0,103352.76
32,218,17.4787,97904.0,102867.336
33,217,18.0304,97904.0,101901.572
34,213,18.5572,97571.0,101040.3
35,213,19.0866,96569.0,100195.832
36,215,19.6339,95618.0,99634.608
37,211,20.1606,95142.0,98970.156
38,212,20.7104,94279.0,98101.128
39,214,21.294,93457.0,97310.28
40,211,21.8336,93059.0,96597.144
41,211,22.3791,92811.0,95817.988
42,217,22.942,92004.0,95277.76
43,219,23.4678,90113.0,94648.236
44,215,24.0073,90113.0,93839.16
45,216,24.5381,89356.0,93153.568
46,213,25.0762,89312.0,92398.656
47,210,25.5937,88391.0,91665.516
48,212,26.136,88217.0,90890.3
49,211,26.6692,87691.0,90311.616
50,216,27.2188,86093.0,89804.892
51,214,27.7335,86093.0,89145.028
52,212,28.2401,85422.0,88393.536
53,211,28.7588,83756.0,87749.608
54,215,29.2945,83756.0,87115.492
55,211,29.7961,82594.0,86447.16
