gen,nevals,time,min,avg
0,250,0.1081,124506.0,130319.144
1,210,0.7467,123836.0,128941.584
2,214,1.4133,123232.0,127791.632
3,216,2.0706,121845.0,126742.388
4,216,2.7029,121280.0,125879.2
5,216,3.3089,120072.0,124772.58
6,216,3.96,119397.0,123859.368
7,218,4.5592,117934.0,123002.856
8,218,5.1823,116234.0,122403.452
9,214,5.8218,116234.0,121756.992
10,211,6.4188,116234.0,120804.248
11,210,6.9875,115624.0,119824.204
12,218,7.7103,114441.0,119043.52
13,211,8.3212,114441.0,118315.424
14,215,8.9621,111987.0,117608.104
15,217,9.5757,110658.0,116665.66
16,213,10.1709,110658.0,115772.692
17,210,10.7645,110164.0,114851.688
18,213,11.3427,109470.0,114111.344
19,218,11.9281,107984.0,113191.912
20,201,12.4902,107984.0,112107.472
21,214,13.0575,105883.0,111264.96
22,211,13.6553,106022.0,110342.056
23,217,14.2791,104928.0,109468.984
24,210,14.84,104332.0,108617.2
25,218,15.4226,103741.0,107760.284
26,210,16.0353,101704.0,106923.872
27,209,16.633,101704.0,106339.16
28,209,17.2,100774.0,105582.028
29,222,17.8302,100774.0,104883.736
30,215,18.4253,99372.0,104177.008
31,214,19.026,99255.0,103352.76
32,218,19.6337,97904.0,102867.336
33,217,20.2532,97904.0,101901.572
34,213,20.8811,97571.0,101040.3
35,213,21.7306,96569.0,100195.832
36,215,22.4641,95618.0,99634.608
37,211,23.0764,95142.0,98970.156
38,212,23.7155,94279.0,98101.128
39,214,24.3675,93457.0,97310.28
40,211,24.9888,93059.0,96597.144
41,211,25.618,92811.0,95817.988
42,217,26.2761,92004.0,95277.76
43,219,26.8888,90113.0,94648.236
44,215,27.6807,90113.0,93839.16
45,216,28.3036,89356.0,93153.568
46,213,28.9538,89312.0,92398.656
47,210,29.5739,88391.0,91665.516
48,212,30.1975,88217.0,90890.3
49,211,30.8226,87691.0,90311.616
50,216,31.465,86093.0,89804.892
51,214,32.1393,86093.0,89145.028
52,212,32.7426,85422.0,88393.536
53,211,33.3175,83756.0,87749.608
54,215,33.9184,83756.0,87115.492
55,211,34.508,82594.0,86447.16
56,209,35.0851,82594.0,85705.54
57,217,35.6967,81864.0,85035.964
58,212,36.3189,81387.0,84360.06
59,216,37.0289,80733.0,83662.38
60,213,37.768,79650.0,82969.368
61,208,38.6565,79488.0,82198.332
62,217,39.6075,77540.0,81543.08
63,215,40.5946,77540.0,81009.964
64,219,41.7155,77151.0,80389.588
65,214,42.5577,76983.0,79763.312
66,210,43.1968,76565.0,79221.808
67,220,43.9167,75976.0,78717.224
68,219,44.5754,75428.0,78069.636
69,211,45.1663,74529.0,77468.064
70,219,45.8229,73915.0,76963.964
71,219,46.5284,73615.0,76355.76
72,214,47.1819,73055.0,75724.888
73,212,47.797,73055.0,75113.312
74,214,48.4196,71612.0,74621.44
75,222,49.0933,70557.0,74069.292
76,205,49.6961,70154.0,73570.736
77,212,50.314,70154.0,73132.9
78,213,50.9252,70154.0,72615.632
79,217,51.5941,69914.0,72152.916
80,210,52.2258,68684.0,71664.548
81,202,52.7984,68586.0,71075.68
82,217,53.4374,68259.0,70647.372
83,220,54.0749,67983.0,70140.672
84,217,54.7215,67280.0,69608.124
85,213,55.3654,65977.0,69047.392
86,217,56.0243,65723.0,68517.332
