gen,nevals,time,min,avg
0,250,0.1334,103540.0,108201.804
1,215,1.865,103540.0,106956.512
2,217,3.4941,102750.0,106036.072
3,210,5.0771,102316.0,105044.308
4,212,6.7076,101383.0,104249.8
5,210,8.3528,101136.0,103497.244
6,212,10.145,99650.0,102847.036
7,215,12.0001,99650.0,102125.056
8,215,14.0562,99246.0,101449.56
9,212,15.7762,97862.0,100800.392
10,211,17.4484,97724.0,100260.512
11,215,19.2083,96955.0,99661.456
12,209,21.0621,95890.0,99109.696
13,207,23.4512,95436.0,98351.424
14,217,25.8814,94681.0,97514.86
15,219,27.7938,94681.0,96909.368
16,214,29.7059,94091.0,96291.632
17,198,31.6216,92385.0,95746.576
18,218,33.417,91913.0,95164.108
19,218,35.281,91680.0,94510.752
20,209,37.0121,91360.0,93958.592
21,213,38.721,91015.0,93261.248
22,217,40.4637,90787.0,92708.02
23,214,42.1942,89881.0,92126.796
24,216,43.9988,89529.0,91572.144
25,217,45.7422,89114.0,91047.848
26,215,47.6782,88186.0,90620.78
27,211,49.4294,87899.0,90078.62
28,214,51.1284,87622.0,89676.82
29,215,52.8687,86602.0,89200.2
30,211,54.6005,86602.0,88792.52
31,212,56.3449,86285.0,88377.696
32,206,58.081,85527.0,87774.876
33,218,59.8165,85008.0,87311.212
34,208,61.5598,84402.0,86787.96
35,205,63.2746,83982.0,86305.068
36,212,65.0311,83674.0,85720.888
37,214,66.781,82986.0,85262.0
38,213,68.494,82986.0,84840.64
39,218,70.2721,82109.0,84407.988
40,212,72.0553,81349.0,83900.952
41,213,73.8082,81349.0,83489.66
42,209,75.5494,80972.0,83044.496
43,214,77.3252,80293.0,82635.192
44,214,79.0334,80235.0,82176.708
45,217,80.7986,79630.0,81710.976
46,218,82.5959,78959.0,81231.52
47,219,84.3465,78764.0,80776.66
48,215,86.165,78602.0,80358.732
49,218,87.9799,78244.0,79894.536
50,212,89.7121,77371.0,79433.596
51,208,91.7855,77320.0,79099.904
52,215,93.5677,77236.0,78743.412
53,218,95.3703,76594.0,78407.048
54,218,97.2045,76215.0,78040.624
55,206,98.9049,75368.0,77554.148
56,218,100.6752,75368.0,77097.596
57,210,102.4394,74974.0,76650.728
58,212,104.177,74410.0,76267.232
59,213,105.9214,73997.0,75904.684
60,214,107.6531,73531.0,75530.888
61,219,109.4293,73301.0,75117.448
62,215,111.1886,72536.0,74709.696
63,220,112.9862,72294.0,74215.648
64,222,114.7582,72171.0,73781.972
65,215,116.5155,72017.0,73413.916
66,214,118.3228,71019.0,73058.628
67,217,120.0794,71019.0,72726.124
68,204,121.8507,70788.0,72332.9
69,215,123.7858,70788.0,71958.696
70,211,125.5372,70170.0,71643.348
71,215,127.3019,69214.0,71249.508
72,214,129.0947,69214.0,70844.496
73,216,130.9507,68834.0,70497.6
74,208,132.7573,68680.0,70106.132
75,215,134.6607,68075.0,69763.232
76,211,136.4243,67354.0,69368.784
77,205,138.1838,67354.0,68982.832
78,215,139.9961,66872.0,68649.576
79,220,141.8158,66784.0,68317.736
80,212,143.6284,66185.0,67941.26
81,206,145.3655,66185.0,67626.884
82,216,147.2113,65622.0,67351.54
83,216,148.989,65445.0,67020.508
84,215,150.8525,64926.0,66671.664
85,213,152.6428,64926.0,66335.58
86,201,154.3319,64703.0,65926.548
87,215,156.0829,64234.0,65587.232
88,212,157.8399,63987.0,65292.652
89,209,159.543,63691.0,64998.408
90,213,161.3314,63578.0,64736.78
91,212,163.0639,63067.0,64458.192
92,209,164.7643,62963.0,64160.044
93,216,166.5049,62539.0,63903.392
94,214,168.2765,62242.0,63620.436
95,213,169.9998,62242.0,63389.488
96,218,171.7777,61455.0,63112.628
97,216,173.5348,61455.0,62816.92
98,205,175.2715,61455.0,62558.168
99,213,177.0133,61237.0,62289.356
100,211,178.7649,60800.0,62045.772
101,219,180.7193,60649.0,61810.492
102,212,182.4408,60470.0,61552.704
103,214,184.2301,60197.0,61279.692
104,222,186.063,59982.0,60994.904
105,210,187.7889,59577.0,60739.36
106,212,189.5084,59346.0,60475.412
107,208,191.2405,59079.0,60249.504
108,215,193.0123,58310.0,60032.168
109,215,194.7533,58310.0,59747.464
110,207,196.468,57993.0,59471.228
111,212,198.224,57993.0,59186.056
112,217,200.0087,57727.0,58965.268
113,212,201.7569,57722.0,58736.232
114,216,203.5108,57429.0,58483.228
115,217,205.2684,57220.0,58247.34
116,207,207.0174,56750.0,58008.252
117,216,208.7608,56345.0,57788.808
118,216,210.5173,56345.0,57516.932
119,214,212.3005,56086.0,57223.1
120,215,214.0912,55801.0,56960.448
121,220,215.8981,55662.0,56727.0
122,209,217.5585,55318.0,56529.192
123,214,219.2975,55185.0,56303.696
124,210,221.0044,54877.0,56065.48
125,210,222.7324,54781.0,55838.268
126,215,224.4936,54311.0,55584.416
127,210,226.2047,53855.0,55349.816
128,213,227.9867,53800.0,55129.192
129,209,229.7316,53800.0,54884.256
130,222,231.5297,52948.0,54646.16
131,207,233.242,52948.0,54389.772
132,214,235.0249,52948.0,54157.568
133,218,236.7933,52581.0,53923.272
134,209,238.5026,52581.0,53750.036
135,220,240.2446,52452.0,53492.216
136,215,241.995,52403.0,53253.992
137,210,243.7283,52312.0,53040.528
138,214,245.4948,52071.0,52839.804
139,204,247.1456,51939.0,52661.628
140,214,248.8883,51459.0,52475.42
141,216,250.673,51459.0,52296.156
142,220,252.4827,51313.0,52094.7
143,208,254.186,51189.0,51899.196
144,216,255.9575,50915.0,51707.928
145,214,257.6888,50747.0,51522.852
146,216,259.4396,50663.0,51354.156
147,214,261.1953,50275.0,51193.032
148,208,262.8896,50119.0,51017.136
149,206,264.6011,49991.0,50846.904
150,218,266.3715,49991.0,50668.204
151,208,268.2739,49872.0,50512.58
152,213,270.0253,49442.0,50359.732
153,208,271.7176,49439.0,50197.308
154,213,273.463,49163.0,50022.156
155,213,275.1941,49103.0,49849.04
156,213,276.9559,48923.0,49680.74
157,221,278.7759,48761.0,49510.84
158,207,280.4747,48748.0,49336.5
159,210,282.2307,48509.0,49191.272
160,216,284.0307,48418.0,49044.14
161,215,285.7782,48391.0,48881.576
162,215,287.5316,47941.0,48741.02
163,212,289.2857,47937.0,48566.508
164,215,291.0456,47808.0,48441.204
165,219,292.8367,47505.0,48276.868
166,207,294.574,47315.0,48116.944
167,213,296.2994,47315.0,47942.84
168,205,298.0076,47123.0,47780.868
169,209,299.8375,47004.0,47632.676
170,219,301.6312,46756.0,47460.188
171,213,303.3645,46675.0,47330.696
172,218,305.1034,46675.0,47188.72
173,209,306.7836,46243.0,47034.376
174,211,308.483,46243.0,46892.8
175,213,310.2056,46083.0,46746.036
176,217,311.9937,45949.0,46627.572
177,216,313.8014,45871.0,46507.66
178,213,315.5891,45745.0,46365.084
179,216,317.3228,45732.0,46230.684
180,219,319.0981,45423.0,46106.868
181,213,320.8797,45423.0,45961.524
182,204,322.5803,45346.0,45830.312
183,208,324.3001,45144.0,45726.572
184,216,326.0622,45083.0,45625.848
185,217,327.87,44975.0,45498.94
186,206,329.5833,44947.0,45387.276
187,219,331.3497,44712.0,45280.224
188,210,333.0613,44570.0,45150.484
189,206,334.7256,44501.0,45018.252
190,212,336.504,44501.0,44907.112
191,217,338.2849,44419.0,44795.436
192,222,340.128,44219.0,44714.06
193,211,341.8591,44150.0,44624.872
194,209,343.5652,44001.0,44507.644
195,215,345.3012,43901.0,44427.528
196,218,347.0687,43840.0,44325.808
197,217,348.8614,43661.0,44218.556
198,211,350.5954,43661.0,44109.192
199,207,352.3204,43574.0,43989.052
200,218,354.1115,43433.0,43890.928
201,211,356.0587,43373.0,43792.612
202,213,357.8212,43193.0,43681.612
203,212,359.5378,43084.0,43560.012
204,209,361.322,42951.0,43440.224
205,217,363.1728,42895.0,43343.144
206,210,364.8718,42778.0,43249.964
207,218,366.6512,42645.0,43153.5
208,215,368.3976,42645.0,43054.064
209,210,370.1471,42598.0,42971.428
210,213,371.9332,42320.0,42869.832
211,212,373.696,42320.0,42769.024
212,214,375.4547,42199.0,42667.672
213,212,377.1999,42179.0,42573.116
214,217,379.0018,42086.0,42476.332
215,211,380.7348,41843.0,42368.996
216,218,382.5268,41779.0,42267.336
217,216,384.3214,41779.0,42167.464
218,211,386.0676,41769.0,42080.192
219,215,387.7936,41585.0,42004.444
220,209,389.4829,41585.0,41927.664
221,216,391.2214,41507.0,41855.932
222,212,393.1325,41456.0,41774.576
223,209,394.9151,41371.0,41697.684
224,218,396.6642,41272.0,41628.452
225,210,398.3715,41272.0,41537.7
226,218,400.145,41110.0,41458.848
227,217,401.9427,41056.0,41387.56
228,213,403.6869,40939.0,41318.808
229,217,405.4413,40768.0,41247.04
230,216,407.216,40768.0,41149.808
231,207,408.9384,40748.0,41077.424
232,216,410.6721,40672.0,40998.472
233,214,412.4223,40603.0,40917.86
234,209,414.0976,40597.0,40850.432
235,208,415.7976,40545.0,40786.844
236,218,417.5686,40437.0,40732.116
237,202,419.2678,40424.0,40666.316
238,220,421.1419,40321.0,40603.876
239,211,423.0037,40251.0,40541.54
240,211,424.8736,40025.0,40469.604
241,212,426.6795,40025.0,40403.116
242,213,428.4212,40025.0,40327.596
243,211,430.2407,40018.0,40259.72
244,204,432.011,39930.0,40193.496
245,207,433.7595,39919.0,40131.076
246,208,435.5731,39882.0,40073.568
247,211,437.3696,39717.0,40023.408
