gen,nevals,time,min,avg
0,250,1.4446,25156.0,26180.528
1,215,2.948,24931.0,26001.66
2,218,4.51,24931.0,25870.968
3,216,6.0942,24736.0,25739.404
4,214,7.6242,24591.0,25659.848
5,213,9.3276,24537.0,25479.568
6,211,11.1071,24363.0,25371.66
7,216,12.9043,24156.0,25248.38
8,215,14.6283,24156.0,25161.824
9,212,16.4089,24156.0,25069.356
10,212,18.038,24151.0,24966.544
11,209,19.6922,23755.0,24909.052
12,213,21.3894,23755.0,24834.828
13,218,23.017,23643.0,24717.036
14,209,24.7854,23884.0,24644.86
15,214,26.401,23880.0,24552.276
16,214,28.0732,23699.0,24405.564
17,212,29.9076,23421.0,24342.768
18,214,31.5613,23383.0,24234.956
19,211,33.3219,23220.0,24154.528
20,210,34.8866,23220.0,24069.16
21,215,36.6137,23184.0,23979.188
22,210,38.1906,23184.0,23854.512
23,211,39.9483,23008.0,23746.264
24,218,41.7067,22907.0,23658.804
25,218,43.3644,22639.0,23552.384
26,214,45.031,22599.0,23434.62
27,206,46.6335,22489.0,23296.84
28,211,48.3373,22263.0,23145.968
29,211,50.0039,22050.0,23046.016
30,211,51.8489,22050.0,22943.436
31,215,53.657,22042.0,22838.316
32,218,55.4209,22042.0,22735.948
33,215,57.0756,21867.0,22672.244
34,215,58.7958,21761.0,22548.896
35,216,60.4503,21761.0,22436.72
36,217,62.1752,21688.0,22344.192
37,213,63.9136,21367.0,22216.912
38,213,65.6548,21362.0,22131.764
39,211,67.3018,21279.0,22062.112
40,216,68.885,21279.0,21940.544
41,215,70.5052,21176.0,21823.612
42,211,72.1524,20900.0,21718.296
43,211,73.7021,20673.0,21630.164
44,211,75.3224,20673.0,21510.672
45,213,76.9754,20801.0,21400.024
46,217,78.7416,20358.0,21309.708
47,215,80.36,20358.0,21195.104
48,218,82.1021,20499.0,21080.408
49,209,83.6821,20276.0,20962.148
50,215,85.3397,20244.0,20863.76
51,215,87.7279,20036.0,20757.236
52,218,89.6166,20011.0,20622.016
53,213,91.3297,19902.0,20513.752
54,216,93.1507,19902.0,20413.372
55,215,94.8927,19610.0,20315.348
56,213,96.7026,19359.0,20192.868
57,212,98.5233,19330.0,20083.892
58,216,100.2313,19330.0,19997.588
59,218,102.0757,19317.0,19923.092
60,216,103.7643,19318.0,19811.548
61,214,105.5658,19177.0,19722.284
62,216,107.2163,19087.0,19605.296
63,208,108.949,19010.0,19492.612
64,212,110.6782,18872.0,19376.716
65,218,112.3757,18761.0,19280.22
66,208,114.076,18729.0,19164.628
67,209,115.7444,18497.0,19062.536
68,214,117.397,18279.0,18972.524
69,218,119.068,18279.0,18896.316
70,219,120.7465,18310.0,18844.808
71,211,122.4286,18150.0,18738.664
72,213,124.2183,18127.0,18628.616
73,216,125.929,18054.0,18529.748
74,219,127.8092,17827.0,18434.196
75,216,129.4501,17612.0,18321.016
76,218,131.0941,17612.0,18217.148
77,209,132.6297,17473.0,18134.608
78,221,134.3559,17551.0,18037.94
79,208,136.0595,17521.0,17954.512
80,219,137.807,17492.0,17868.296
81,218,139.4907,17370.0,17789.924
82,206,141.1587,17302.0,17693.236
83,205,143.0332,17152.0,17607.952
84,222,144.7755,17139.0,17528.04
85,210,146.665,16979.0,17431.116
86,214,148.4186,16917.0,17324.028
87,215,150.0113,16838.0,17218.792
88,211,151.6272,16708.0,17137.816
89,220,153.3077,16555.0,17035.0
90,216,154.9502,16513.0,16943.008
91,216,156.6923,16402.0,16840.376
92,210,158.3396,16259.0,16749.72
93,215,159.9724,16214.0,16646.056
94,215,161.5894,16182.0,16570.912
95,215,163.2652,16048.0,16499.16
96,209,164.8392,16048.0,16419.448
97,214,166.486,15959.0,16336.18
98,213,168.1006,15922.0,16250.488
99,210,169.7283,15769.0,16169.812
100,218,171.3486,15718.0,16086.756
101,210,173.032,15685.0,16014.444
102,213,174.7367,15424.0,15951.444
103,222,176.4004,15424.0,15888.632
104,213,178.0305,15424.0,15807.588
105,208,179.6649,15328.0,15729.968
106,205,181.2572,15279.0,15651.188
107,216,182.9163,15230.0,15572.864
108,216,184.5888,15133.0,15508.696
109,216,186.2828,15031.0,15450.412
110,220,188.0112,15031.0,15383.72
111,212,189.688,14993.0,15307.44
112,215,191.2667,14943.0,15247.976
113,214,192.9597,14816.0,15178.272
114,216,194.6404,14771.0,15086.124
115,212,196.2241,14709.0,15019.944
116,216,197.9206,14587.0,14961.712
117,218,199.6814,14531.0,14888.668
118,213,201.2471,14531.0,14830.164
119,213,202.9057,14387.0,14781.572
120,214,204.6963,14308.0,14705.672
121,214,206.353,14282.0,14623.96
122,212,207.9168,14279.0,14561.364
123,211,209.5351,14219.0,14503.012
124,216,211.2864,14140.0,14445.216
125,214,212.9653,14087.0,14388.396
126,215,214.5991,14048.0,14319.452
127,207,216.1093,13972.0,14253.644
128,208,217.6903,13766.0,14197.808
129,214,219.1646,13766.0,14134.54
130,206,220.8203,13837.0,14083.292
131,216,222.41,13778.0,14031.756
132,214,224.0217,13734.0,13978.012
133,216,225.7785,13608.0,13933.516
134,217,227.3868,13582.0,13881.6
135,214,229.0311,13471.0,13816.512
136,211,230.6472,13471.0,13767.22
137,212,232.2922,13408.0,13702.392
138,217,233.8786,13408.0,13642.684
139,222,235.4187,13291.0,13584.74
140,218,236.999,13259.0,13535.292
141,211,238.5956,13215.0,13472.444
142,214,240.1679,13195.0,13415.94
143,211,241.7579,13121.0,13372.936
144,211,243.3051,13080.0,13313.824
145,208,244.8691,12988.0,13258.764
146,213,246.4252,12979.0,13214.436
147,211,247.9526,12866.0,13171.712
148,210,249.6848,12766.0,13120.748
149,219,251.3448,12758.0,13060.9
150,213,252.9719,12756.0,12998.12
151,216,254.7653,12685.0,12930.58
152,210,256.351,12623.0,12874.96
153,211,257.9332,12552.0,12810.088
154,217,259.6168,12532.0,12747.248
155,210,261.0605,12476.0,12697.192
156,218,262.7958,12398.0,12643.388
157,210,264.4034,12330.0,12590.004
158,212,266.0206,12302.0,12538.64
159,216,267.5313,12302.0,12492.856
160,215,269.1604,12253.0,12442.792
161,217,270.8446,12167.0,12385.312
162,207,272.4264,12095.0,12335.112
163,217,274.1167,12043.0,12284.608
164,215,275.6755,12019.0,12243.956
165,210,277.1717,11995.0,12201.116
166,218,278.6781,11910.0,12153.508
167,219,280.2005,11903.0,12108.304
168,218,281.7727,11880.0,12059.244
169,211,283.4784,11838.0,12008.604
170,217,285.1355,11784.0,11960.944
171,206,286.7732,11761.0,11915.176
172,214,288.5391,11679.0,11871.936
173,213,290.2966,11671.0,11830.564
174,211,291.8727,11635.0,11790.32
175,214,293.4548,11576.0,11751.936
176,218,295.0502,11484.0,11710.728
177,213,296.5981,11480.0,11670.208
178,214,298.2148,11450.0,11635.108
179,211,299.7605,11388.0,11593.372
180,209,301.3711,11388.0,11560.42
181,210,302.9144,11345.0,11521.58
182,212,304.4829,11258.0,11489.748
183,208,306.0494,11258.0,11454.256
184,221,307.7512,11216.0,11412.84
185,223,309.4299,11206.0,11368.088
186,212,311.0229,11182.0,11318.476
187,214,312.6444,11144.0,11289.956
188,209,314.2209,11093.0,11256.468
189,214,315.8144,11078.0,11221.628
190,218,317.3791,11045.0,11183.856
191,215,318.973,10994.0,11154.172
192,214,320.5744,10978.0,11118.452
193,211,322.1216,10910.0,11083.464
194,211,323.7425,10885.0,11045.008
195,216,325.317,10875.0,11014.152
196,217,327.0853,10838.0,10985.368
197,210,328.7273,10814.0,10948.16
198,215,330.3489,10710.0,10916.624
199,215,331.8826,10710.0,10885.708
200,214,333.5211,10708.0,10854.732
201,205,335.3027,10698.0,10817.7
202,220,336.8795,10663.0,10789.532
203,213,338.4398,10643.0,10764.384
204,215,340.0708,10535.0,10733.7
205,208,341.6095,10535.0,10706.164
206,210,343.2275,10512.0,10676.156
207,213,344.6878,10512.0,10642.32
208,210,346.2352,10489.0,10613.252
209,212,347.8665,10464.0,10585.948
210,214,349.4416,10437.0,10565.276
211,209,351.038,10429.0,10537.464
212,217,352.6916,10394.0,10511.484
213,215,354.3826,10380.0,10487.884
214,222,356.02,10347.0,10464.812
215,216,357.6232,10306.0,10437.852
216,211,359.2106,10306.0,10412.676
217,213,361.045,10251.0,10388.032
218,213,362.7576,10251.0,10362.804
219,217,364.4819,10221.0,10332.804
220,213,366.0588,10159.0,10307.16
221,211,367.6831,10159.0,10280.256
222,213,369.2418,10159.0,10259.036
223,215,370.7974,10130.0,10234.112
224,210,372.4734,10098.0,10211.612
225,216,374.1319,10072.0,10183.7
226,211,375.6932,10065.0,10154.912
227,215,377.3961,10036.0,10134.168
228,210,378.9637,9967.0,10109.548
229,212,380.5578,9974.0,10083.472
230,213,382.2631,9968.0,10062.404
231,216,383.9013,9939.0,10038.74
232,209,385.4507,9939.0,10018.4
233,218,387.11,9878.0,10001.244
234,206,388.6501,9878.0,9981.02
235,216,390.2155,9889.0,9965.532
236,204,391.7954,9830.0,9948.44
237,214,393.3434,9830.0,9930.668
238,213,395.0319,9797.0,9908.236
239,217,396.6676,9763.0,9889.748
240,215,398.1346,9763.0,9869.536
241,206,399.7504,9779.0,9849.736
242,218,401.3523,9774.0,9829.88
243,202,402.875,9734.0,9812.424
244,218,404.4549,9712.0,9794.78
245,212,405.9747,9702.0,9777.14
246,218,407.49,9673.0,9758.856
247,216,409.112,9671.0,9739.988
248,216,410.651,9644.0,9725.156
249,216,412.3271,9628.0,9710.444
250,212,413.9955,9628.0,9698.996
251,215,415.8483,9620.0,9683.792
252,216,417.5596,9602.0,9664.968
253,219,419.1078,9587.0,9650.62
254,211,420.5746,9567.0,9638.724
255,211,422.148,9547.0,9624.376
256,211,423.7415,9540.0,9607.424
257,216,425.3539,9525.0,9593.532
258,217,426.9873,9520.0,9579.208
259,208,428.6014,9504.0,9563.724
260,215,430.1968,9491.0,9549.4
261,210,431.6516,9460.0,9535.136
262,217,433.2077,9469.0,9523.568
263,216,434.8452,9442.0,9513.108
264,213,436.4123,9435.0,9499.088
265,214,438.0114,9415.0,9480.724
266,216,439.7002,9405.0,9466.532
267,214,441.3571,9391.0,9453.668
268,214,443.3888,9391.0,9441.724
269,218,445.3455,9380.0,9429.864
270,210,447.0762,9370.0,9416.692
271,215,448.7933,9355.0,9402.536
272,204,450.4732,9324.0,9392.168
273,216,452.1389,9288.0,9379.708
274,211,453.8172,9288.0,9368.076
275,220,455.542,9288.0,9357.724
276,210,457.1378,9288.0,9345.656
277,212,458.7032,9291.0,9333.856
278,214,460.2526,9275.0,9320.732
279,216,461.8325,9265.0,9308.092
280,212,463.4722,9261.0,9298.664
281,214,465.0634,9227.0,9289.324
282,210,466.5327,9226.0,9278.872
283,216,468.0892,9222.0,9271.0
284,210,469.6156,9215.0,9260.888
285,218,471.1387,9196.0,9249.456
286,217,472.6847,9196.0,9240.4
287,212,474.3021,9197.0,9230.416
288,212,475.8909,9178.0,9223.104
289,213,477.5272,9174.0,9212.972
290,214,479.1051,9167.0,9205.456
291,205,480.5245,9163.0,9197.476
292,209,482.0694,9151.0,9189.192
293,210,483.6647,9145.0,9179.768
294,218,485.2783,9127.0,9170.936
295,213,486.9955,9111.0,9163.236
296,211,488.4915,9111.0,9154.392
297,217,490.1322,9111.0,9147.704
298,211,491.6696,9111.0,9140.236
299,217,493.2094,9094.0,9132.672
300,206,494.6688,9094.0,9124.464
301,213,496.4061,9085.0,9117.576
302,220,498.0379,9073.0,9109.236
303,212,499.631,9069.0,9101.964
304,220,501.2117,9066.0,9094.388
305,215,502.8267,9059.0,9088.4
306,217,504.4523,9051.0,9081.24
307,211,506.0052,9042.0,9074.048
308,219,507.5731,9036.0,9066.388
309,217,509.2259,9016.0,9059.468
310,209,510.8594,9015.0,9052.348
311,215,512.46,9015.0,9044.356
312,213,514.2545,9011.0,9037.768
313,212,515.9544,9003.0,9031.616
314,208,517.5274,8999.0,9026.272
315,214,519.1901,8994.0,9019.272
316,214,520.8028,8980.0,9013.676
317,201,522.3196,8980.0,9006.62
318,207,523.951,8972.0,8999.96
319,217,525.7112,8961.0,8991.776
320,213,527.3331,8961.0,8986.784
321,218,528.8254,8955.0,8980.64
322,215,530.4961,8946.0,8974.588
323,213,532.2048,8942.0,8969.032
324,214,533.7649,8931.0,8962.62
325,216,535.2789,8931.0,8956.912
326,220,536.8617,8928.0,8951.644
327,212,538.3817,8923.0,8946.04
328,209,539.8306,8912.0,8940.328
329,219,541.3828,8912.0,8935.048
330,212,542.9301,8899.0,8928.316
331,215,544.429,8895.0,8922.776
332,221,546.052,8893.0,8916.792
333,213,547.5833,8886.0,8910.564
334,215,549.1695,8883.0,8904.824
335,208,550.7044,8875.0,8898.912
336,209,552.2554,8868.0,8893.904
337,209,553.7554,8868.0,8887.604
338,214,555.3349,8859.0,8882.3
339,211,556.9437,8859.0,8877.412
340,218,558.515,8852.0,8872.392
341,217,560.152,8849.0,8867.876
342,213,561.7266,8832.0,8863.544
343,215,563.3463,8831.0,8857.812
344,207,564.9973,8826.0,8852.572
345,213,566.7364,8820.0,8847.132
346,217,568.4494,8818.0,8841.408
347,216,570.3627,8809.0,8835.26
348,215,572.0097,8800.0,8830.16
349,216,573.6839,8800.0,8823.46
350,214,575.3511,8792.0,8817.692
351,214,577.2953,8783.0,8811.892
352,212,578.8026,8779.0,8806.736
353,210,580.309,8774.0,8801.38
354,215,581.8292,8771.0,8795.392
355,215,583.5452,8770.0,8789.88
356,217,585.1611,8760.0,8784.672
357,209,586.7273,8758.0,8778.788
358,207,588.302,8753.0,8773.94
359,204,589.8621,8747.0,8767.916
360,211,591.5397,8743.0,8762.516
361,216,593.1773,8736.0,8758.072
362,211,594.8024,8732.0,8752.92
363,217,596.5975,8718.0,8748.268
364,206,598.2639,8718.0,8742.704
365,211,599.9006,8718.0,8737.86
366,214,601.4581,8707.0,8731.992
367,215,603.0378,8701.0,8727.292
368,215,604.6383,8692.0,8721.856
369,215,606.2804,8698.0,8717.088
370,210,607.8763,8694.0,8711.796
371,211,609.4304,8684.0,8706.836
372,216,610.9551,8683.0,8701.908
373,216,612.5585,8677.0,8697.264
374,212,614.0662,8672.0,8692.916
375,214,615.67,8665.0,8687.916
376,211,617.2212,8663.0,8684.236
377,215,618.83,8657.0,8679.02
378,216,620.4107,8655.0,8674.084
379,212,622.0346,8646.0,8668.616
380,216,623.7107,8644.0,8663.076
381,213,625.2435,8636.0,8658.2
382,217,626.7981,8630.0,8652.72
383,221,628.3933,8630.0,8647.636
384,221,630.1111,8620.0,8642.812
385,214,631.6975,8617.0,8637.308
386,216,633.2405,8612.0,8632.764
387,212,634.7756,8606.0,8627.616
388,209,636.3231,8600.0,8622.36
389,212,637.9088,8595.0,8617.384
390,217,639.5202,8593.0,8612.176
391,209,641.1296,8587.0,8608.42
392,213,642.6919,8582.0,8604.18
393,206,644.2636,8579.0,8599.532
394,212,645.7941,8577.0,8595.192
395,217,647.4434,8560.0,8590.936
396,214,648.9532,8560.0,8585.732
397,220,650.5608,8555.0,8581.108
398,217,652.1993,8548.0,8576.092
399,220,653.8746,8545.0,8571.5
400,209,655.4642,8533.0,8565.152
401,213,657.3286,8530.0,8559.688
402,215,658.9531,8530.0,8553.452
403,215,660.5524,8528.0,8547.78
404,218,662.1397,8525.0,8543.084
405,214,663.7236,8517.0,8538.304
406,212,665.3624,8510.0,8533.42
407,217,666.9987,8504.0,8527.448
408,217,668.7428,8497.0,8522.304
409,217,670.4486,8494.0,8517.232
410,202,671.9278,8488.0,8512.336
411,215,673.5049,8488.0,8508.38
412,214,675.0387,8481.0,8504.508
413,216,676.6232,8475.0,8499.972
414,209,678.1086,8470.0,8496.192
415,213,679.6597,8468.0,8491.04
416,211,681.1909,8467.0,8486.232
417,211,682.6864,8463.0,8482.124
418,214,684.2569,8460.0,8478.128
419,220,685.943,8454.0,8473.424
420,218,687.5462,8448.0,8469.04
421,215,689.1792,8443.0,8465.308
422,210,690.781,8441.0,8460.236
423,218,692.3746,8437.0,8455.292
424,208,693.8445,8436.0,8451.02
425,214,695.3922,8422.0,8446.54
426,219,697.0121,8422.0,8442.372
427,214,698.5272,8422.0,8437.936
428,209,700.0194,8417.0,8433.876
429,216,701.5696,8411.0,8429.76
430,218,703.146,8408.0,8425.716
431,219,704.6863,8406.0,8421.328
432,210,706.2016,8397.0,8416.884
433,211,707.7527,8397.0,8413.112
434,212,709.3448,8389.0,8409.268
435,209,710.9205,8387.0,8405.012
436,217,712.5134,8382.0,8400.672
437,216,714.0943,8375.0,8395.664
438,215,715.6348,8375.0,8391.404
439,208,717.1167,8370.0,8386.288
440,217,718.6421,8363.0,8382.928
441,213,720.2035,8362.0,8377.74
442,217,721.7628,8352.0,8373.184
443,212,723.3695,8345.0,8368.268
444,207,724.9607,8340.0,8364.272
445,207,726.4596,8339.0,8360.36
446,213,728.0548,8334.0,8355.744
447,214,729.5861,8329.0,8351.128
448,218,731.0872,8329.0,8347.308
449,218,732.6152,8318.0,8343.06
450,217,734.194,8318.0,8337.816
451,217,735.974,8306.0,8332.64
452,209,737.4458,8306.0,8326.904
453,212,738.9275,8300.0,8321.408
454,222,740.543,8295.0,8316.292
455,217,742.0572,8292.0,8312.168
456,213,743.5622,8292.0,8307.452
457,217,745.0448,8283.0,8303.336
458,221,746.6017,8282.0,8298.932
459,207,748.0861,8278.0,8293.332
460,215,749.6791,8274.0,8289.256
461,219,751.2363,8268.0,8285.468
462,216,752.8079,8265.0,8281.644
463,213,754.3732,8258.0,8276.612
464,211,755.9172,8255.0,8272.168
465,214,757.4664,8241.0,8267.736
466,217,759.1564,8241.0,8263.392
467,211,760.7326,8231.0,8259.084
468,210,762.3853,8231.0,8253.492
469,210,764.0782,8228.0,8248.412
470,213,765.7449,8228.0,8243.476
471,218,767.4711,8211.0,8239.556
472,208,769.0968,8211.0,8234.836
473,214,770.6785,8204.0,8230.64
474,212,772.2823,8204.0,8225.564
475,210,773.8257,8196.0,8220.436
476,213,775.4437,8195.0,8215.588
477,218,777.1563,8191.0,8210.696
478,211,778.6806,8184.0,8205.66
479,212,780.1488,8177.0,8201.132
480,217,781.7699,8173.0,8196.456
481,218,783.3627,8171.0,8192.06
482,221,784.985,8167.0,8187.264
483,218,786.6327,8162.0,8182.56
484,213,788.2093,8155.0,8177.592
485,215,789.7763,8146.0,8173.008
486,213,791.3707,8146.0,8168.116
487,214,792.906,8144.0,8163.74
488,220,794.4695,8139.0,8159.412
489,206,795.9758,8134.0,8153.86
490,216,797.6082,8125.0,8149.2
491,214,799.1883,8119.0,8143.764
492,211,800.6756,8116.0,8138.872
493,215,802.1549,8113.0,8134.476
494,209,803.6462,8103.0,8129.94
495,222,805.1658,8103.0,8126.168
496,217,806.6798,8103.0,8120.78
497,213,808.1637,8083.0,8115.564
498,210,809.6971,8083.0,8109.892
499,216,811.2889,8077.0,8105.224
500,211,812.8425,8073.0,8099.256
501,218,814.7338,8065.0,8092.212
502,211,816.4208,8051.0,8085.516
503,206,817.8845,8049.0,8079.94
504,213,819.5246,8042.0,8073.264
505,215,821.1244,8039.0,8065.956
506,213,822.7492,8036.0,8058.22
507,208,824.5236,8025.0,8052.352
508,211,826.1114,8020.0,8046.604
509,210,827.6692,8013.0,8040.464
510,208,829.4673,8009.0,8034.836
511,213,831.1178,8007.0,8029.152
512,213,832.8931,8004.0,8024.156
513,215,834.5713,8004.0,8020.084
514,208,836.259,7996.0,8014.988
515,207,837.8992,7991.0,8010.656
516,217,839.754,7990.0,8006.064
517,213,841.4646,7980.0,8002.6
518,209,843.0404,7980.0,7997.876
519,207,844.727,7975.0,7993.464
520,209,846.2996,7969.0,7988.456
521,211,847.8821,7968.0,7984.872
522,216,849.4407,7963.0,7980.88
523,218,851.0429,7962.0,7977.444
524,211,852.5876,7954.0,7973.252
525,215,854.1372,7954.0,7969.38
526,217,855.8122,7948.0,7965.584
527,207,857.375,7944.0,7961.284
528,214,858.9657,7938.0,7956.796
529,219,860.7061,7934.0,7952.6
530,214,862.4099,7930.0,7948.704
531,214,863.9667,7928.0,7945.104
532,212,865.5781,7926.0,7940.78
533,210,867.071,7919.0,7937.456
534,211,868.596,7908.0,7933.692
535,208,870.1203,7908.0,7928.716
536,211,871.6482,7898.0,7923.916
537,207,873.1686,7898.0,7919.476
538,207,874.6475,7887.0,7914.008
539,211,876.2234,7887.0,7908.484
540,214,877.8026,7882.0,7903.78
541,222,879.5004,7882.0,7898.336
542,215,881.0981,7872.0,7892.216
543,208,882.6758,7864.0,7887.544
544,212,884.2235,7863.0,7882.604
545,209,885.8501,7860.0,7878.204
546,215,887.5041,7852.0,7874.256
547,213,889.1022,7847.0,7869.472
548,214,890.7786,7843.0,7863.188
549,209,892.3025,7834.0,7858.056
550,207,893.8164,7828.0,7852.548
551,217,895.8091,7821.0,7848.824
552,213,897.4256,7819.0,7843.748
553,209,898.9469,7815.0,7838.456
554,216,900.6165,7807.0,7832.956
555,213,902.1837,7802.0,7827.528
556,213,903.7536,7802.0,7822.872
557,213,905.2379,7791.0,7817.396
558,215,906.8175,7784.0,7812.368
559,220,908.395,7780.0,7806.004
560,214,909.8635,7773.0,7800.6
561,219,911.4504,7767.0,7793.936
562,218,913.1208,7764.0,7788.68
563,213,914.6108,7756.0,7783.52
564,221,916.3408,7750.0,7777.744
565,209,917.8078,7750.0,7772.472
566,218,919.3968,7741.0,7766.992
567,213,920.7761,7740.0,7761.352
568,210,922.2987,7733.0,7756.404
569,213,923.8325,7728.0,7750.68
570,209,925.3474,7723.0,7745.288
571,220,926.9222,7717.0,7741.344
572,215,928.4149,7713.0,7737.324
573,211,929.8724,7713.0,7732.628
574,208,931.4005,7700.0,7728.008
575,215,933.0659,7700.0,7723.72
576,219,934.7107,7702.0,7719.992
577,212,936.4776,7693.0,7715.436
578,210,938.103,7689.0,7711.536
579,218,939.7856,7687.0,7707.032
580,218,941.5446,7685.0,7703.46
581,210,943.1052,7685.0,7700.612
582,213,944.6754,7679.0,7696.116
583,214,946.3623,7676.0,7693.028
584,218,948.0138,7667.0,7687.856
585,216,949.7732,7667.0,7684.54
586,220,951.5094,7663.0,7680.96
587,216,953.0187,7657.0,7677.144
588,211,954.5831,7655.0,7673.276
589,211,956.0702,7652.0,7669.324
590,215,957.9117,7648.0,7666.384
591,216,959.5002,7648.0,7662.748
592,212,961.0369,7641.0,7658.96
593,204,962.5665,7639.0,7655.824
594,216,964.1629,7638.0,7652.684
595,213,965.7295,7632.0,7648.952
596,216,967.7273,7623.0,7645.116
597,203,969.3023,7622.0,7641.332
598,216,970.9406,7618.0,7637.244
599,220,972.6642,7613.0,7633.04
600,205,974.3015,7609.0,7628.812
601,215,976.2274,7609.0,7625.496
602,215,977.8546,7605.0,7621.472
603,214,979.4745,7600.0,7617.824
604,209,981.0127,7592.0,7613.544
605,213,982.5579,7582.0,7609.28
606,211,984.0735,7581.0,7605.092
607,211,985.6182,7576.0,7600.332
608,217,987.1362,7571.0,7595.02
609,213,988.6843,7567.0,7590.012
610,217,990.2016,7566.0,7584.508
611,208,991.6194,7561.0,7580.552
612,212,993.2289,7559.0,7576.436
613,207,994.6508,7545.0,7572.168
614,217,996.1918,7545.0,7568.276
615,214,997.7668,7545.0,7564.66
616,219,999.3011,7544.0,7560.984
617,214,1000.8174,7540.0,7556.792
618,214,1002.3771,7535.0,7552.14
619,208,1003.888,7531.0,7547.86
620,206,1005.4753,7527.0,7543.308
621,212,1007.0318,7515.0,7538.964
622,202,1008.4602,7515.0,7534.988
623,213,1009.9672,7510.0,7530.784
624,215,1011.4981,7505.0,7527.152
625,214,1013.044,7500.0,7522.448
626,214,1014.6279,7494.0,7518.368
627,217,1016.2059,7488.0,7513.92
628,215,1017.8638,7488.0,7509.736
629,216,1019.48,7488.0,7506.02
630,212,1021.0649,7484.0,7501.732
631,208,1022.609,7478.0,7497.516
632,210,1024.1727,7472.0,7492.744
633,212,1025.6927,7470.0,7488.624
634,207,1027.2326,7470.0,7485.1
635,210,1028.7945,7465.0,7480.8
636,211,1030.4238,7457.0,7476.84
637,211,1031.9654,7457.0,7473.464
638,212,1033.5176,7452.0,7469.216
639,217,1035.0954,7449.0,7465.828
640,214,1036.7219,7446.0,7462.112
641,213,1038.3116,7443.0,7458.424
642,211,1039.885,7440.0,7454.74
643,219,1041.4188,7435.0,7451.08
644,219,1042.9549,7427.0,7447.292
645,212,1044.5963,7427.0,7443.716
646,216,1046.1407,7423.0,7440.336
647,211,1047.6795,7423.0,7436.436
648,219,1049.2536,7411.0,7433.668
649,219,1050.7471,7411.0,7429.496
650,213,1052.2139,7410.0,7425.248
651,224,1054.1622,7408.0,7421.808
652,216,1055.6537,7405.0,7418.812
653,212,1057.3066,7394.0,7414.748
654,213,1058.8663,7385.0,7410.684
655,216,1060.3669,7385.0,7406.624
656,215,1061.9151,7383.0,7401.78
657,209,1063.4142,7380.0,7398.26
658,213,1064.969,7375.0,7394.14
659,214,1066.4998,7375.0,7390.892
660,216,1068.0378,7368.0,7386.692
661,212,1069.6515,7364.0,7382.624
662,216,1071.3183,7364.0,7378.676
663,220,1073.1304,7359.0,7374.992
664,215,1074.821,7357.0,7371.208
665,213,1076.4344,7352.0,7368.336
666,213,1077.9616,7350.0,7364.792
667,217,1079.55,7346.0,7360.768
668,212,1081.1216,7338.0,7357.316
669,209,1082.6596,7338.0,7353.568
670,218,1084.2803,7333.0,7350.228
671,210,1085.8223,7331.0,7346.66
672,216,1087.4028,7327.0,7342.5
673,211,1088.9931,7326.0,7339.032
674,209,1090.5246,7317.0,7335.556
675,215,1092.0634,7317.0,7332.712
676,216,1093.641,7309.0,7328.652
677,217,1095.2249,7300.0,7324.508
678,219,1096.9041,7300.0,7319.804
679,215,1098.4811,7301.0,7316.104
680,214,1100.0843,7294.0,7313.388
681,213,1101.5942,7291.0,7309.532
682,215,1103.0858,7291.0,7305.616
683,214,1104.7948,7285.0,7301.864
684,213,1106.4083,7276.0,7298.252
685,206,1107.8497,7276.0,7294.064
686,211,1109.377,7271.0,7290.368
687,214,1110.9408,7266.0,7286.212
688,212,1112.4831,7265.0,7282.36
689,215,1113.9374,7261.0,7277.8
690,204,1115.5102,7257.0,7274.224
691,206,1117.1797,7257.0,7270.932
692,213,1118.794,7252.0,7266.712
693,219,1120.5001,7247.0,7263.324
694,216,1122.257,7243.0,7260.5
695,215,1123.9121,7239.0,7256.48
696,216,1125.3913,7233.0,7253.052
